lane,sample,gnoto,symstate,treatment
B9,CS7,control,sym,CS
B10,CS8,control,sym,CS
B11,CS9,control,sym,CS
B12,CS10,control,sym,CS
C1,CS11,control,sym,CS
C2,CS12,control,sym,CS
C3,RS8,recovery,sym,RS
C4,RS9,recovery,sym,RS
C5,RS10,recovery,sym,RS
C6,RS11,recovery,sym,RS
C7,RS12,recovery,sym,RS
C8,RS13,recovery,sym,RS
C9,RS14,recovery,sym,RS
C10,PS7,plus2ab,sym,PS
C11,PS8,plus2ab,sym,PS
C12,PS9,plus2ab,sym,PS
D1,PS10,plus2ab,sym,PS
D2,PS11,plus2ab,sym,PS
D3,PS12,plus2ab,sym,PS
D4,AS8,plus0ab,sym,AS
D5,AS9,plus0ab,sym,AS
D6,AS10,plus0ab,sym,AS
D7,AS11,plus0ab,sym,AS
D8,AS12,plus0ab,sym,AS
D9,AS13,plus0ab,sym,AS
D10,CA7,control,apo,CA
D11,CA8,control,apo,CA
D12,CA9,control,apo,CA
E1,CA10,control,apo,CA
E2,CA11,control,apo,CA
E3,CA12,control,apo,CA
E4,RA7,recovery,apo,RA
E5,RA8,recovery,apo,RA
E6,RA9,recovery,apo,RA
E7,RA10,recovery,apo,RA
E8,RA11,recovery,apo,RA
E9,RA12,recovery,apo,RA
E10,PA7,plus2ab,apo,PA
E11,PA8,plus2ab,apo,PA
F1,PA10,plus2ab,apo,PA
F2,PA11,plus2ab,apo,PA
F3,PA12,plus2ab,apo,PA
F4,AA2,plus0ab,apo,AA
F5,AA3,plus0ab,apo,AA
F6,AA9,plus0ab,apo,AA
F7,AA10,plus0ab,apo,AA
F8,AA11,plus0ab,apo,AA
F9,AA12,plus0ab,apo,AA
F10,BLANK1,blank,blank,blank
F11,BLANK2,blank,blank,blank
F12,BLANK3,blank,blank,blank
G1,BLANK4,blank,blank,blank
G2,BLANK5,blank,blank,blank
