lane,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV11,ASV12,ASV13,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50,ASV51,ASV52,ASV53,ASV54,ASV55,ASV56,ASV57,ASV58,ASV59,ASV61,ASV62,ASV63,ASV64,ASV65,ASV66,ASV67,ASV68,ASV69,ASV70,ASV71,ASV73,ASV74,ASV75,ASV76,ASV77,ASV78,ASV79,ASV81,ASV82,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV90,ASV91,ASV92,ASV93,ASV94,ASV95,ASV96,ASV98,ASV99,ASV100,ASV101,ASV102,ASV103,ASV104,ASV106,ASV107,ASV108,ASV109,ASV110,ASV111,ASV112,ASV113,ASV114,ASV115,ASV116,ASV117,ASV118,ASV119,ASV120,ASV122,ASV123,ASV124,ASV125,ASV127,ASV128,ASV130,ASV131,ASV132,ASV133,ASV135,ASV136,ASV137,ASV138,ASV139,ASV140,ASV141,ASV142,ASV143,ASV144,ASV145,ASV146,ASV148,ASV150,ASV151,ASV152,ASV153,ASV154,ASV155,ASV157,ASV159,ASV160,ASV161,ASV162,ASV163,ASV164,ASV165,ASV166,ASV167,ASV168,ASV170,ASV171,ASV173,ASV176,ASV179,ASV180,ASV182,ASV183,ASV184,ASV185,ASV186,ASV187,ASV188,ASV189,ASV191,ASV192,ASV193,ASV194,ASV195,ASV196,ASV198,ASV199,ASV200,ASV201,ASV202,ASV203,ASV204,ASV205,ASV207,ASV209,ASV210,ASV211,ASV213,ASV214,ASV218,ASV219,ASV220,ASV221,ASV222,ASV223,ASV224,ASV225,ASV226,ASV234,ASV235,ASV236,ASV237,ASV238,ASV239,ASV240,ASV242,ASV243,ASV244,ASV247,ASV248,ASV249,ASV250,ASV251,ASV253,ASV255,ASV256,ASV257,ASV258,ASV259,ASV260,ASV261,ASV262,ASV263,ASV264,ASV265,ASV266,ASV267,ASV268,ASV269,ASV271,ASV274,ASV275,ASV276,ASV278,ASV279,ASV280,ASV282,ASV283,ASV284,ASV285,ASV288,ASV289,ASV291,ASV293,ASV294,ASV295,ASV297,ASV299,ASV301,ASV302,ASV303,ASV304,ASV305,ASV307,ASV308,ASV309,ASV310,ASV311,ASV312,ASV313,ASV315,ASV317,ASV318,ASV320,ASV321,ASV322,ASV323,sample,gnoto,symstate,treatment,is.neg
B10,0.227701620081894,0,0.114651949439202,0.0010681858643404,0.110379205981841,0.0963147587680256,0.0578600676517714,0.000890154886950329,0,0.019049314580737,0.0329357308171622,0.000356061954780132,0.0010681858643404,0.0251023678119993,0.000178030977390066,0.0129962613494748,0.000890154886950329,0.0275948014954602,0,0.00391668150258145,0,0.019049314580737,0.0122841374399145,0.0154886950329357,0.0176250667616165,0.00907957984689336,0.000534092932170198,0.00142424781912053,0,0.0126401993946947,0.0201175004450774,0,0,0,0.00712123909560263,0.0113939825529642,0,0,0.00284849563824105,0.000890154886950329,0,0.00818942495994303,0.000356061954780132,0.00996973473384369,0.0142424781912053,0,0.00142424781912053,0,0.000178030977390066,0,0.00890154886950329,0.00498486736692184,0.00765533202777283,0.00142424781912053,0.0072992700729927,0.000356061954780132,0,0.0010681858643404,0,0,0,0.00373865052519138,0.00320455759302119,0.000534092932170198,0.00284849563824105,0,0.00142424781912053,0.00356061954780132,0,0,0.00373865052519138,0.000890154886950329,0,0.000890154886950329,0.0010681858643404,0.000534092932170198,0,0.000178030977390066,0,0.00409471247997152,0.00373865052519138,0,0.000178030977390066,0,0.000178030977390066,0,0.0010681858643404,0,0.000356061954780132,0.00391668150258145,0,0,0.00373865052519138,0,0.00160227879651059,0.000178030977390066,0,0.000712123909560264,0,0,0.00267046466085099,0.000178030977390066,0.000356061954780132,0,0,0,0,0.000712123909560264,0.00124621684173046,0.000890154886950329,0.00462880541214171,0.00178030977390066,0,0.000712123909560264,0,0.000178030977390066,0,0,0.000712123909560264,0.000178030977390066,0.00142424781912053,0.00249243368346092,0,0,0,0.000890154886950329,0.00178030977390066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178030977390066,0,0.000178030977390066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0.000534092932170198,0,0.000356061954780132,0,0,0.000534092932170198,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0,0.000178030977390066,0.000178030977390066,0.000178030977390066,0,0,0,0,0,0,0.000534092932170198,0,0,0,0,0,0,0,0,0,0.0010681858643404,0,0,0.000356061954780132,0.000890154886950329,0,0,0,0,0,CS8,control,sym,CS,FALSE
B11,0.110735267936621,0,0.0562577888552608,0.000890154886950329,0.140644472138152,0.129072458607798,0.0283069254050205,0.000712123909560264,0.00356061954780132,0.0569699127648211,0.0375645362293039,0.000178030977390066,0.00302652661563112,0.0336478547267225,0,0.106640555456649,0,0.0261705536763397,0,0.0083674559373331,0.000356061954780132,0.0121061064625245,0.013530354281645,0.0165568808972761,0.013530354281645,0.0179811287163967,0,0.0010681858643404,0,0.0158447569877159,0.00765533202777283,0,0,0.00213637172868079,0.00498486736692184,0.0112159515755741,0,0,0.010859889620794,0,0,0.000534092932170198,0.000534092932170198,0.00801139398255296,0.00480683638953178,0.000534092932170198,0.00160227879651059,0,0,0,0.0103257966886238,0.0072992700729927,0.00694320811821257,0.000890154886950329,0.0067651771408225,0,0,0.00391668150258145,0,0.000356061954780132,0,0.00356061954780132,0.0105038276660139,0.000178030977390066,0.00249243368346092,0,0,0.00373865052519138,0,0,0.00195834075129072,0,0,0.000712123909560264,0,0,0,0,0,0.00249243368346092,0.00178030977390066,0,0.000712123909560264,0,0,0,0.00213637172868079,0.000356061954780132,0.000356061954780132,0.00213637172868079,0,0,0.000712123909560264,0,0.00445077443475165,0.000534092932170198,0,0.00231440270607086,0.000890154886950329,0,0.00409471247997152,0.000356061954780132,0,0,0,0,0,0.000356061954780132,0.00124621684173046,0.000712123909560264,0,0.00231440270607086,0,0.00391668150258145,0,0.00267046466085099,0,0,0.000890154886950329,0,0.0010681858643404,0,0,0,0,0.000534092932170198,0,0.00142424781912053,0,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0.00178030977390066,0,0.000178030977390066,0,0,0,0.000534092932170198,0,0,0.000712123909560264,0.000534092932170198,0,0,0.000712123909560264,0,0,0,0,0.000178030977390066,0,0,0,0,0,0,0,0,0,0,0,0,0.000890154886950329,0,0,0,0,0,0.000356061954780132,0,0.0010681858643404,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0.000178030977390066,0,0.000890154886950329,0,0,0,0,0,0,0,0,0.00338258857041125,0.000890154886950329,0,0.000890154886950329,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000712123909560264,0,0,0,0,0,CS9,control,sym,CS,FALSE
B12,0.00356061954780132,0.264554032401638,0,0.352857397187111,0.0151326330781556,0.0117500445077443,0,0.0083674559373331,0.0156667260103258,0,0.00694320811821257,0.0430834965283959,0.0145985401459854,0,0.00445077443475165,0,0.0156667260103258,0.00747730105038277,0,0.0172690048068364,0,0.00195834075129072,0.000356061954780132,0,0.00178030977390066,0,0.00213637172868079,0.0103257966886238,0.0614206871995727,0.00178030977390066,0,0.00872351789211323,0.0124621684173046,0.000356061954780132,0,0,0.0119280754851344,0.00498486736692184,0,0,0,0,0.0105038276660139,0,0.000712123909560264,0,0,0.00195834075129072,0,0,0,0,0,0,0,0,0.00623108420865231,0.00587502225387217,0,0,0.00178030977390066,0.00267046466085099,0,0,0,0,0,0,0.00356061954780132,0,0,0.00409471247997152,0.00391668150258145,0,0.0010681858643404,0.00231440270607086,0.00943564180167349,0.000890154886950329,0.00160227879651059,0.000890154886950329,0.00267046466085099,0,0,0,0.000534092932170198,0.000356061954780132,0,0,0,0,0,0.00587502225387217,0,0.000356061954780132,0,0,0.000178030977390066,0,0,0,0,0,0,0,0.00124621684173046,0.000356061954780132,0.00195834075129072,0,0,0,0,0,0,0,0,0,0,0.00160227879651059,0,0,0,0,0.000712123909560264,0.00142424781912053,0,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0.000178030977390066,0.0010681858643404,0.000712123909560264,0,0,0.000534092932170198,0,0.000534092932170198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231440270607086,0,0,0,0,0,0,0,0,0.00124621684173046,0,0.00178030977390066,0,0,0.00178030977390066,0,0,0,0,0,0.000712123909560264,0,0,0,0,0,0.00195834075129072,0,0,0,0.00445077443475165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010681858643404,0,0,0,0,0,0,0,0.000712123909560264,0,0,0,0,0.000356061954780132,0,0,0,0.00160227879651059,0.00178030977390066,0,0,0,0,0,0,0,0.000712123909560264,0,0,0,0,0.000178030977390066,0.00124621684173046,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CS10,control,sym,CS,FALSE
B9,0.194587858287342,0,0.104148121773189,0.00498486736692184,0.0101477657112338,0.0072992700729927,0.0413031867544953,0.00516289834431191,0.00409471247997152,0.129072458607798,0.00356061954780132,0,0.00231440270607086,0.00124621684173046,0.00142424781912053,0.094712479971515,0.000890154886950329,0.00231440270607086,0.00284849563824105,0.0615987181769628,0,0.00160227879651059,0.00213637172868079,0.00142424781912053,0.000890154886950329,0.00124621684173046,0.00356061954780132,0.00231440270607086,0,0.000890154886950329,0.0632009969734734,0,0.000178030977390066,0.00623108420865231,0.00142424781912053,0,0,0,0.0313334520206516,0,0,0.0110379205981841,0,0,0.00124621684173046,0.00534092932170198,0,0.000356061954780132,0.00213637172868079,0,0,0.0227879651059284,0,0.00142424781912053,0,0,0.000356061954780132,0.0121061064625245,0,0,0.000712123909560264,0.000712123909560264,0.0357842264554032,0,0,0.00623108420865231,0.0174470357842265,0,0,0,0.000534092932170198,0,0,0.00320455759302119,0,0,0,0,0,0,0,0,0.00213637172868079,0,0,0,0.000356061954780132,0,0.00302652661563112,0,0,0,0.00213637172868079,0,0,0,0,0,0,0,0,0.000712123909560264,0.000178030977390066,0,0,0.000178030977390066,0,0.00142424781912053,0.000178030977390066,0.00124621684173046,0,0.00516289834431191,0,0.0067651771408225,0,0.00320455759302119,0.000356061954780132,0,0.00320455759302119,0.00142424781912053,0.00445077443475165,0.000890154886950329,0.000178030977390066,0,0.000534092932170198,0.00445077443475165,0.00480683638953178,0.000712123909560264,0.000534092932170198,0,0.000356061954780132,0,0,0,0,0.000178030977390066,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0.000178030977390066,0,0.00338258857041125,0,0.000534092932170198,0,0,0,0.00302652661563112,0,0,0.00516289834431191,0.00551896029909204,0,0,0,0,0,0,0,0.00516289834431191,0,0,0,0,0,0,0,0,0,0,0,0,0.00391668150258145,0,0,0,0,0.000534092932170198,0.000534092932170198,0,0,0,0,0,0.000178030977390066,0.00427274345736158,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000890154886950329,0,0.000712123909560264,0,0.0010681858643404,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0.000890154886950329,0,0,0,0,0,0,0,0,0.000178030977390066,0.000356061954780132,0,0,0,0,0,0.00178030977390066,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0.00178030977390066,0.000178030977390066,0,0,0,0,0,CS7,control,sym,CS,FALSE
C1,0.10824283425316,0,0.0630229659960833,0.00249243368346092,0.138686131386861,0.142602812889443,0.0311554210432615,0.000534092932170198,0.00178030977390066,0.0642691828378138,0.0502047356239986,0.000356061954780132,0.000356061954780132,0.0311554210432615,0,0.0450418372796867,0,0.0226099341285384,0,0.00516289834431191,0.000178030977390066,0.0165568808972761,0.0158447569877159,0.0185152216485669,0.0206515933772476,0.0131742923268649,0.000178030977390066,0.00124621684173046,0,0.0165568808972761,0.0110379205981841,0,0,0.000534092932170198,0.010859889620794,0.0133523233042549,0,0,0.0131742923268649,0,0,0.00320455759302119,0,0.0121061064625245,0.00694320811821257,0.000712123909560264,0.00213637172868079,0,0.000356061954780132,0,0.010859889620794,0.00249243368346092,0.00640911518604237,0,0.00623108420865231,0,0,0.00338258857041125,0,0,0,0.0067651771408225,0.00338258857041125,0,0.00373865052519138,0,0,0.00445077443475165,0,0,0.00231440270607086,0,0,0.000890154886950329,0.000534092932170198,0.000356061954780132,0,0,0,0.00178030977390066,0.00231440270607086,0,0.000356061954780132,0,0,0,0.00142424781912053,0,0.00160227879651059,0.00373865052519138,0,0,0.0010681858643404,0,0.00231440270607086,0,0,0.00124621684173046,0.000178030977390066,0,0.00302652661563112,0.00124621684173046,0,0.00462880541214171,0,0,0,0.00427274345736158,0.0010681858643404,0.00124621684173046,0.00391668150258145,0.00267046466085099,0,0.00249243368346092,0,0.00409471247997152,0,0,0.00124621684173046,0.000534092932170198,0.00249243368346092,0,0,0,0,0.000356061954780132,0.00427274345736158,0.000534092932170198,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178030977390066,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0.000712123909560264,0.000356061954780132,0,0,0,0,0,0,0,0.000178030977390066,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0.00142424781912053,0,0,0,0.000356061954780132,0.000356061954780132,0.000534092932170198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178030977390066,0,0.000890154886950329,0,0.000890154886950329,0,0.000178030977390066,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0.000178030977390066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178030977390066,0,0,0,0,0,0,0.000178030977390066,0.000890154886950329,0,0,0,0,0,CS11,control,sym,CS,FALSE
C10,0.421399323482286,0,0.18906889798825,0,0.00373865052519138,0.0140644472138152,0.0799359088481396,0.0462880541214171,0,0.000356061954780132,0,0.00480683638953178,0.0210076553320278,0,0.00178030977390066,0,0.0397009079579847,0,0,0,0,0,0,0,0,0,0,0.0115720135303543,0,0,0.00213637172868079,0,0.0151326330781556,0.00302652661563112,0.00231440270607086,0,0,0,0,0.00391668150258145,0,0,0.00623108420865231,0,0,0,0,0.00231440270607086,0,0,0.00142424781912053,0,0.00480683638953178,0.0231440270607086,0.00142424781912053,0,0.00872351789211323,0.00231440270607086,0.0067651771408225,0,0,0,0,0.0119280754851344,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0.00409471247997152,0,0,0,0,0,0,0.00961367277906356,0,0,0.00249243368346092,0,0,0,0,0,0,0,0,0,0,0,0.00249243368346092,0,0,0,0,0.00284849563824105,0,0,0,0,0,0,0,0,0,0.00872351789211323,0,0,0.00267046466085099,0.00373865052519138,0,0.000356061954780132,0,0,0,0,0.000534092932170198,0.00231440270607086,0,0.00925761082428343,0,0,0.000890154886950329,0,0.00338258857041125,0,0,0,0,0,0,0,0,0,0,0,0.00284849563824105,0,0,0,0,0,0,0,0.00480683638953178,0,0,0,0,0,0.00178030977390066,0,0,0,0,0,0,0,0,0,0,0.00462880541214171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010681858643404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178030977390066,0,0,0,0,0,0,0,0,0,0,0,0,PS7,plus2ab,sym,PS,FALSE
C11,0.301228413743991,0.00498486736692184,0.155599074238918,0,0.0078333630051629,0.00872351789211323,0.0884813957628627,0.0430834965283959,0,0.00160227879651059,0.00534092932170198,0,0.0863450240341819,0,0.00551896029909204,0,0.040591062844935,0.00516289834431191,0,0.000178030977390066,0,0,0,0.00249243368346092,0,0.00445077443475165,0,0.0218978102189781,0,0.000356061954780132,0,0.00249243368346092,0.0103257966886238,0,0.00267046466085099,0,0,0,0,0.00605305323126224,0,0.0569699127648211,0,0,0.00462880541214171,0.00445077443475165,0.00195834075129072,0.0072992700729927,0,0,0,0,0.00391668150258145,0.00943564180167349,0,0,0,0,0,0,0,0,0,0.00267046466085099,0,0,0,0.000534092932170198,0,0,0,0,0,0,0,0.0240341819476589,0,0.00480683638953178,0,0.00320455759302119,0,0,0.00231440270607086,0,0.000534092932170198,0,0.00694320811821257,0,0,0,0,0,0,0,0,0,0,0.00124621684173046,0.000178030977390066,0,0,0,0.00712123909560263,0,0,0.00338258857041125,0,0,0,0,0,0,0,0,0,0,0.00391668150258145,0,0,0.00534092932170198,0,0,0,0,0,0,0.000712123909560264,0,0.00534092932170198,0,0,0.00391668150258145,0,0.00267046466085099,0,0,0,0,0,0,0,0,0,0,0,0.00445077443475165,0,0,0.000534092932170198,0,0,0,0,0,0,0,0.000890154886950329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00587502225387217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124621684173046,0,0,0,0,0,0,0,0,0,0.00409471247997152,0,0,0,0,0,0,0,0.00338258857041125,0,0,0,0,0,0,0,0,0,0,0.00462880541214171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195834075129072,0,0,0,0,PS8,plus2ab,sym,PS,FALSE
C12,0.290546555100588,0,0.148833897098095,0.130140644472138,0.000890154886950329,0.000534092932170198,0.0726366387751469,0.00213637172868079,0.0010681858643404,0.0261705536763397,0,0,0.0067651771408225,0,0,0.000712123909560264,0.021719779241588,0,0.035072102545843,0.0124621684173046,0.0174470357842265,0,0,0,0,0,0,0.000356061954780132,0.00445077443475165,0,0,0,0.0083674559373331,0.0115720135303543,0,0,0.00694320811821257,0,0.00462880541214171,0.000534092932170198,0.0142424781912053,0,0,0,0,0.000712123909560264,0,0.00142424781912053,0.0154886950329357,0.00854548691472316,0,0.00320455759302119,0,0.000712123909560264,0,0.0126401993946947,0.00213637172868079,0,0,0.00534092932170198,0.00284849563824105,0,0,0.00320455759302119,0,0,0.00320455759302119,0,0,0.00854548691472316,0,0,0,0.00907957984689336,0.00195834075129072,0.00142424781912053,0,0.000890154886950329,0.00516289834431191,0,0,0.00178030977390066,0.000356061954780132,0.00373865052519138,0.00195834075129072,0.00534092932170198,0,0,0.00551896029909204,0,0,0,0,0.00498486736692184,0,0.000534092932170198,0.00320455759302119,0,0,0.00356061954780132,0,0.0010681858643404,0.00142424781912053,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0,0.000534092932170198,0,0,0,0.00338258857041125,0.00160227879651059,0,0.000356061954780132,0,0,0,0.00284849563824105,0,0,0,0,0.0010681858643404,0,0.00302652661563112,0,0.000534092932170198,0,0,0.00142424781912053,0.000178030977390066,0.000178030977390066,0.00160227879651059,0.00178030977390066,0.000712123909560264,0.000356061954780132,0.00284849563824105,0.00178030977390066,0,0.000178030977390066,0.000534092932170198,0,0,0,0.000178030977390066,0,0,0,0,0,0,0,0,0.000712123909560264,0.000178030977390066,0,0.0103257966886238,0,0,0,0,0,0,0.000178030977390066,0,0.00302652661563112,0.00231440270607086,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0.00284849563824105,0,0.000534092932170198,0,0,0,0.00231440270607086,0,0,0,0.000534092932170198,0.00142424781912053,0,0,0,0,0,0,0,0,0.000712123909560264,0,0.00160227879651059,0,0,0,0.00284849563824105,0,0,0,0,0,0,0,0,0.000534092932170198,0,0,0,0,0,0,0,0,0,0,0.00124621684173046,0,0,0,0,0,0,0,0.000356061954780132,0.0010681858643404,0,0.000712123909560264,0,0,0,0.000534092932170198,0,0,0,0,0,0.000178030977390066,0.00178030977390066,0,0,0,0,PS9,plus2ab,sym,PS,FALSE
C2,0.220758411963682,0,0.113761794552252,0.0083674559373331,0.0186932526259569,0.0142424781912053,0.0457539611892469,0.00338258857041125,0.00427274345736158,0.151504361758946,0.00694320811821257,0.000712123909560264,0.00712123909560263,0.00320455759302119,0,0.0655153996795442,0.00409471247997152,0.00231440270607086,0,0.00872351789211323,0.000890154886950329,0.00391668150258145,0.00373865052519138,0.00142424781912053,0.00267046466085099,0.0010681858643404,0.0010681858643404,0.00249243368346092,0,0.000890154886950329,0.037920598184084,0,0.0010681858643404,0.00124621684173046,0.0010681858643404,0,0,0.000712123909560264,0.0340039166815026,0.000356061954780132,0,0.0397009079579847,0.000890154886950329,0,0.00302652661563112,0.00267046466085099,0,0.00231440270607086,0.000712123909560264,0,0.000890154886950329,0.00462880541214171,0,0.00587502225387217,0,0,0.00231440270607086,0.0067651771408225,0,0.000712123909560264,0,0.00142424781912053,0.0124621684173046,0.00231440270607086,0,0,0.00320455759302119,0.000178030977390066,0,0,0.00213637172868079,0.000178030977390066,0,0.00249243368346092,0.00142424781912053,0.000712123909560264,0,0.000178030977390066,0,0.000178030977390066,0,0,0.000356061954780132,0,0.000534092932170198,0,0,0.000534092932170198,0.00195834075129072,0,0,0,0.0101477657112338,0,0,0.000534092932170198,0,0,0,0,0,0,0.000178030977390066,0,0,0,0,0.0172690048068364,0,0.0179811287163967,0,0.010681858643404,0,0.00534092932170198,0.000356061954780132,0.00694320811821257,0.000356061954780132,0,0.0010681858643404,0.000712123909560264,0.000712123909560264,0.00640911518604237,0.000356061954780132,0,0,0,0.00302652661563112,0.00480683638953178,0,0,0.00142424781912053,0,0.000356061954780132,0,0,0,0,0,0,0,0.000712123909560264,0,0,0,0,0,0,0,0,0,0.00160227879651059,0,0.00124621684173046,0,0,0,0.000534092932170198,0,0,0.000712123909560264,0.000534092932170198,0,0.000178030977390066,0,0,0,0,0.000356061954780132,0.00338258857041125,0,0,0,0,0,0,0,0,0,0.0010681858643404,0,0,0.00178030977390066,0,0,0,0,0,0.00391668150258145,0,0,0,0,0,0,0.000178030977390066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498486736692184,0,0.00445077443475165,0,0.00231440270607086,0.000178030977390066,0.00124621684173046,0,0.000712123909560264,0,0,0,0,0,0,0,0,0,0.000890154886950329,0.00249243368346092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0.00195834075129072,0,0,0,0.000890154886950329,0,0,0,0,0,CS12,control,sym,CS,FALSE
C3,0.00480683638953178,0.000178030977390066,0,0,0.194409827309952,0.118390599964394,0,0.0158447569877159,0.000890154886950329,0,0.111981484778351,0.00142424781912053,0.00373865052519138,0.086523055011572,0.0165568808972761,0,0,0.0279508634502403,0,0,0,0.0596403774256721,0.0354281645006231,0.021541748264198,0.0414812177318853,0.0372084742745238,0.00284849563824105,0.000890154886950329,0,0.0145985401459854,0,0,0.000534092932170198,0,0.00854548691472316,0.0181591596937867,0,0.000534092932170198,0,0.000178030977390066,0,0.000356061954780132,0,0.0267046466085099,0.0172690048068364,0.00160227879651059,0.00569699127648211,0.00178030977390066,0,0,0.0067651771408225,0,0.00765533202777283,0,0.00658714616343244,0,0,0,0.00480683638953178,0,0,0.0174470357842265,0,0.0010681858643404,0.00284849563824105,0,0,0.00462880541214171,0,0,0.00551896029909204,0,0.000534092932170198,0,0.00160227879651059,0.000712123909560264,0,0,0,0.00480683638953178,0.00231440270607086,0,0.000534092932170198,0,0,0,0.00409471247997152,0.000712123909560264,0,0.00961367277906356,0,0,0,0,0.00890154886950329,0.00142424781912053,0,0.00267046466085099,0.00124621684173046,0.000890154886950329,0.00658714616343244,0,0,0,0,0,0,0,0.00623108420865231,0,0.0072992700729927,0,0,0,0,0,0,0,0,0,0,0,0.000178030977390066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178030977390066,0,0,0,0.000712123909560264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000534092932170198,0,0,0,0,0,0,0,0,0,0,0.000534092932170198,0.000178030977390066,0,0,0,0,0,0,0,0,0.000534092932170198,0,0,0,0,0,0,0,0,0.0010681858643404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000534092932170198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356061954780132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RS8,recovery,sym,RS,FALSE
