ASV_ID	B10	B11	B12	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9
ASV1	1279	622	20	1093	608	2367	1692	1632	1240	27	66	11	16	427	41	36	1295	1923	266	2542	2547	1784	2101	2444	2435	2061	2363	2702	16	2	7	1423	1900	5	0	10	7	10	23	2	0	0	0	10	0	0	0	0
ASV2	0	0	1486	0	0	0	28	0	0	1	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	3	1445	1565	0	0	1041	1640	1864	1267	1976	1638	3059	2438	1600	6	0	0	0	0	23
ASV3	644	316	0	585	354	1062	874	836	639	0	21	0	0	231	17	31	758	974	151	1351	1322	929	1034	1219	1302	1025	1401	1606	10	0	0	686	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4	6	5	1982	28	14	0	0	731	47	0	0	0	0	0	0	0	0	461	1868	0	0	0	0	0	0	0	0	0	636	955	1655	386	368	0	0	0	0	0	0	1037	1095	1590	0	0	0	0	48	0
ASV5	620	790	85	57	779	21	44	5	105	1092	438	891	1342	327	987	37	165	38	14	60	24	64	65	39	81	0	26	5	44	524	238	15	0	288	271	153	477	9	104	73	361	182	494	385	46	0	44	925
ASV6	541	725	66	41	801	79	49	3	80	665	828	940	1193	404	721	51	128	23	15	25	6	8	88	30	68	0	13	1	15	635	67	9	0	470	290	120	340	0	91	60	328	60	439	315	20	22	20	587
ASV7	325	159	0	232	175	449	497	408	257	0	34	0	0	114	0	0	530	471	68	576	555	511	536	589	650	356	598	729	6	0	0	344	400	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8	5	4	47	29	3	260	242	12	19	89	285	71	28	606	214	1725	316	10	17	78	137	246	29	13	28	225	16	12	21	207	72	28	22	578	723	664	618	890	908	183	82	93	169	0	11	0	49	41
ASV9	0	20	88	23	10	0	0	6	24	5	15	5	1	64	4	66	33	6	18	0	0	30	0	0	0	0	0	3	40	94	29	18	14	831	1124	1247	720	1204	607	215	49	104	20	0	0	0	0	0
ASV11	107	320	0	725	361	2	9	147	851	0	13	1	0	35	0	7	0	80	244	0	13	11	0	0	6	0	6	2	143	5	11	329	75	0	18	0	0	0	11	0	0	1	11	0	0	0	7	0
