name	term	lev	seq	value
"regulation of heart rate"	GO:0002027	5	AIPGENE1758	0
"regulation of heart rate"	GO:0002027	5	AIPGENE4115	0
"regulation of heart rate"	GO:0002027	5	AIPGENE6240	0
"regulation of heart rate"	GO:0002027	5	AIPGENE12577	1
"regulation of heart rate"	GO:0002027	5	AIPGENE12680	1
"regulation of heart rate"	GO:0002027	5	AIPGENE13417	0
"regulation of heart rate"	GO:0002027	5	AIPGENE16853	0
"regulation of heart rate"	GO:0002027	5	AIPGENE19008	0
"regulation of heart rate"	GO:0002027	5	AIPGENE19025	0
"regulation of heart rate"	GO:0002027	5	AIPGENE19437	0
"regulation of heart rate"	GO:0002027	5	AIPGENE20364	0
"regulation of heart rate"	GO:0002027	5	AIPGENE20629	0
"regulation of heart rate"	GO:0002027	5	AIPGENE22063	0
"regulation of heart rate"	GO:0002027	5	AIPGENE22701	0
"regulation of heart rate"	GO:0002027	5	AIPGENE23362	0
"regulation of heart rate"	GO:0002027	5	AIPGENE25204	0
"regulation of heart rate"	GO:0002027	5	AIPGENE25560	0
"regulation of heart rate"	GO:0002027	5	AIPGENE28840	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE266	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE315	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE632	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE1494	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE1513	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE1514	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE1516	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE1608	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE1623	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE1763	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE2033	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE2090	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE2129	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE2149	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE2382	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE2464	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE2870	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE3180	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE3592	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE3676	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE3704	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE3839	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE3869	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE3899	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE3997	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE4214	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE4287	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE4404	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE4763	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE4935	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE5407	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE5806	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE5847	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE6108	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE6157	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE6213	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE6592	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE6595	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE7643	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE7836	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE7928	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE7971	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE7997	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE8294	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE8319	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE8462	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE8609	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE8901	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE8905	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE8921	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE9640	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE9820	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE10146	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE10602	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE11067	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE11195	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE11263	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE11631	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE12343	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE12460	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE12549	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE13729	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE13737	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE13791	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE13834	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE14462	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE14925	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE15094	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE15716	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE15743	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE15764	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE15883	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE16050	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE16481	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE16674	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE16678	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE17012	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE17013	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE17110	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE17138	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE17593	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE17941	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE18091	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE18946	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE18998	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE19058	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE19343	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE19348	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE19484	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE20364	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE20564	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE20575	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE20764	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE20779	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE20917	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE20926	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE21314	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE21449	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE21487	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE21751	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE22253	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE22474	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE22475	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE22582	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE22689	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE23467	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE23620	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE23683	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE23809	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE23952	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE24041	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE24154	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE24232	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE24406	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE24698	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE25165	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE25304	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE25617	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE25830	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE25911	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE25977	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26049	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26088	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26150	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26377	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26399	1
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26574	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26587	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26604	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE26754	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE27310	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE27399	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE27576	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE28119	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE28400	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE28472	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE28498	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE28544	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE28578	0
"regulation of locomotion"	GO:0030334;GO:2000145;GO:0040012;GO:0051270	2	AIPGENE28824	0
