"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.926604899994434 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.633433446576103 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.426459928451336 2 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.906065221019946 2 40 "GO:0000041" "transition metal ion transport" 1
0 0.728798032934376 6 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.633433446576103 5 10 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.00467772266189329 5 48 "GO:0000075" "cell cycle checkpoint signaling" 0.272158409419246
0 0.00579512095787719 4 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 0.3007197902466
0 0.63479701115544 2 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.580935817849523 2 64 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.163057224194786 2 39 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.239449735711487 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.0525168539461807 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 0.800256822037039
0 0.629331415029966 2 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.217002393985306 7 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.460030583191217 2 67 "GO:0000165" "MAPK cascade" 1
0 0.95562848746317 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.483208077576216 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.372655086146791 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.890640011784136 3 106 "GO:0000209" "protein polyubiquitination" 1
0 0.457685305180248 4 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.00752325692266054 2 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 0.352308616866055
0 0.275711528721202 4 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.184431744434033 3 85 "GO:0000278" "mitotic cell cycle" 1
0 0.000433210809296829 6 268 "GO:0000280;GO:0048285" "organelle fission" 0.0923558558402417
0 0.1111231168899 2 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.979115185693756
0 1 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.507368001027438 2 70 "GO:0000302" "response to reactive oxygen species" 1
0 1 3 10 "GO:0000305" "response to oxygen radical" 1
0 0.626666620656105 2 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.319956569565206 2 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.29706088013478 2 20 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.211319186900318 3 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 0.142854840056995 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.660675357013584 6 58 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.508107663438818 2 28 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.778167251961801 5 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.0799595592522331 4 11 "GO:0000731" "DNA synthesis involved in DNA repair" 0.877270592938786
0 0.177431067827467 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 0.633433446576103 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.39181119928692 2 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.0967030361922645 3 92 "GO:0000902" "cell morphogenesis" 0.971086544861909
0 0.580935817849523 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.000135073650942056 2 61 "GO:0000910" "cytokinesis" 0.0432235683014579
0 1 2 10 "GO:0000966" "RNA 5'-end processing" 1
0 0.864259361833637 2 89 "GO:0001101" "response to acid chemical" 1
0 0.169220291615343 3 48 "GO:0001501" "skeletal system development" 1
0 0.684922060671557 2 48 "GO:0001503" "ossification" 1
0 0.123212775389083 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 0.116789210320293 2 20 "GO:0001508" "action potential" 1
0 1 2 19 "GO:0001510" "RNA methylation" 1
0 0.609035653938074 3 21 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.138541515495184 2 116 "GO:0001525" "angiogenesis" 1
0 0.95562848746317 2 31 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.611888015480932 2 99 "GO:0001558" "regulation of cell growth" 1
0 0.836885657955496 3 33 "GO:0001568" "blood vessel development" 1
0 0.356246005111217 4 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.818558457080528 4 17 "GO:0001570" "vasculogenesis" 1
0 0.63479701115544 2 22 "GO:0001578" "microtubule bundle formation" 1
0 0.0270717498176305 4 25 "GO:0001649" "osteoblast differentiation" 0.60439255406803
0 0.356246005111217 2 13 "GO:0001656" "metanephros development" 1
0 0.754720097061103 4 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.713974643289143 3 85 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.62942912345867 3 56 "GO:0001667" "ameboidal-type cell migration" 1
0 0.457721907662935 4 26 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.835909248067139 2 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.253810854317806 2 82 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 1 2 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 1
0 0.865796906600814 3 20 "GO:0001708" "cell fate specification" 1
0 0.682294699371097 3 24 "GO:0001709" "cell fate determination" 1
0 0.778167251961801 2 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.823872745132738 4 32 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 1 6 10 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 1
0 0.728798032934376 6 13 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 1 2 16 "GO:0001756" "somitogenesis" 1
0 0.986756700897229 4 43 "GO:0001764" "neuron migration" 1
0 0.379983145579646 2 132 "GO:0001775" "cell activation" 1
0 1 2 11 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 1 3 17 "GO:0001816" "cytokine production" 1
0 0.779087043785344 5 103 "GO:0001817" "regulation of cytokine production" 1
0 0.432329311412008 4 35 "GO:0001818" "negative regulation of cytokine production" 1
0 0.990214206443248 2 46 "GO:0001819" "positive regulation of cytokine production" 1
0 0.847195412020964 4 74 "GO:0001822" "kidney development" 1
0 0.778167251961801 3 15 "GO:0001824" "blastocyst development" 1
0 0.668458216717363 3 11 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.878634969233951 2 21 "GO:0001837" "epithelial to mesenchymal transition" 1
0 1 2 21 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 1 3 12 "GO:0001841" "neural tube formation" 1
0 0.937487813813893 3 45 "GO:0001843;GO:0060606" "tube closure" 1
0 0.0799595592522331 5 11 "GO:0001885" "endothelial cell development" 0.877270592938786
0 0.980179267117696 5 39 "GO:0001889" "liver development" 1
0 0.152466556005903 4 30 "GO:0001894" "tissue homeostasis" 1
0 0.00121826207650257 2 24 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 0.114271814811014
0 0.778167251961801 3 15 "GO:0001919" "regulation of receptor recycling" 1
0 0.955915219150712 3 95 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.431715926622088 4 25 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 1 4 13 "GO:0001944" "vasculature development" 1
0 0.989175656285397 2 45 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 0.799375524401894 2 16 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 0.010813621851258 3 10 "GO:0001958;GO:0036075" "endochondral ossification" 0.407101057929713
0 0.865796906600814 2 20 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.778167251961801 3 15 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.958480500198869 4 151 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 0.754720097061103 2 14 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 0.283185745163499 3 11 "GO:0002026" "regulation of the force of heart contraction" 1
0 0.835909248067139 3 18 "GO:0002027" "regulation of heart rate" 1
0 1 2 14 "GO:0002028" "regulation of sodium ion transport" 1
0 0.0993316231549648 2 12 "GO:0002040" "sprouting angiogenesis" 0.971086544861909
0 0.047896361412081 4 15 "GO:0002062" "chondrocyte differentiation" 0.777945301337204
0 0.341682844419104 4 50 "GO:0002064" "epithelial cell development" 1
0 0.700140184640286 2 12 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 1
0 1 2 14 "GO:0002066" "columnar/cuboidal epithelial cell development" 1
0 0.728798032934376 2 13 "GO:0002200;GO:0016445;GO:0016444;GO:0002562" "somatic diversification of immune receptors" 1
0 0.791941599505288 2 43 "GO:0002218;GO:0002221;GO:0002758" "activation of innate immune response" 1
0 0.926604899994434 3 26 "GO:0002224" "toll-like receptor signaling pathway" 1
0 0.837326499935674 2 60 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 1
0 0.659209167578129 4 23 "GO:0002244" "hematopoietic progenitor cell differentiation" 1
0 0.754720097061103 3 14 "GO:0002250;GO:0002460" "adaptive immune response" 1
0 0.769817851730951 2 102 "GO:0002252" "immune effector process" 1
0 0.465820290952412 2 88 "GO:0002253;GO:0002757;GO:0002764" "immune response-regulating signaling pathway" 1
0 0.457721907662935 3 26 "GO:0002263;GO:0002366" "leukocyte activation involved in immune response" 1
0 0.378469368717204 2 23 "GO:0002274" "myeloid leukocyte activation" 1
0 0.270020129662607 2 19 "GO:0002285;GO:0002312" "lymphocyte activation involved in immune response" 1
0 0.633433446576103 2 10 "GO:0002335" "mature B cell differentiation" 1
0 0.85154437226037 1 392 "GO:0002376" "immune system process" 1
0 0.294570678479376 2 38 "GO:0002429" "immune response-activating cell surface receptor signaling pathway" 1
0 1 2 14 "GO:0002443" "leukocyte mediated immunity" 1
0 1 2 10 "GO:0002449" "lymphocyte mediated immunity" 1
0 1 4 17 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 1
