"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.472967112726635 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.915950784109407
0 0.905343503874013 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.389183497282369 4 15 "GO:0000018" "regulation of DNA recombination" 0.86086672209925
0 0.943311653339769 2 40 "GO:0000041" "transition metal ion transport" 1
0 0.791997949815487 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.905343503874013 4 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 0.902944203556353 5 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.901765817039186 2 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.961782536811619 2 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.81568106606119 4 64 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.292944124374777 2 39 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.77048317643777
0 0.999610194261085 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.990701085874892 3 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.262863018749489 9 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.73916992524711
0 0.0145654571844759 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.161862223538192
0 0.7764459537377 2 67 "GO:0000165" "MAPK cascade" 1
0 0.318347007345209 3 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.805304682612386
0 0.697758551021834 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.533178930824794 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 0.971133012719853
0 0.00894527667087776 7 106 "GO:0000209" "protein polyubiquitination" 0.129096490663985
0 0.000551338970269101 3 139 "GO:0000226" "microtubule cytoskeleton organization" 0.0232581737199855
0 0.963167791322488 3 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 0.998651747036774 2 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.813233358733006 3 85 "GO:0000278" "mitotic cell cycle" 1
0 0.000323699243762988 5 268 "GO:0000280;GO:0048285" "organelle fission" 0.0163553302111826
0 0.00808165789557653 3 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.125011163249127
0 0.138847621267578 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.550221164653856
0 0.290443009964311 4 70 "GO:0000302" "response to reactive oxygen species" 0.767833664736573
0 0.905343503874013 2 10 "GO:0000305" "response to oxygen radical" 1
0 0.0549856426064433 2 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.336281651469104
0 0.232278629658609 7 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.682963198996216
0 0.823091170890372 3 20 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.978992519756023 3 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 0.588566530320118 3 14 "GO:0000722;GO:0006312" "mitotic recombination" 0.998304806814501
0 0.574580188085609 5 58 "GO:0000723;GO:0032200" "telomere organization" 0.998304806814501
0 0.72949256247156 7 28 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.638412288579556 2 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.0604902779129757 2 11 "GO:0000731" "DNA synthesis involved in DNA repair" 0.355172273984444
0 0.943311653339769 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 0.352264622871244 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 0.815014770681766
0 0.963167791322488 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.281074567657213 2 92 "GO:0000902" "cell morphogenesis" 0.757067549376437
0 0.256652295416813 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 0.732202685290165
0 0.195086389942274 2 61 "GO:0000910" "cytokinesis" 0.627413515392238
0 0.0397006367023388 3 10 "GO:0000966" "RNA 5'-end processing" 0.278194242585732
0 0.406113581797903 3 89 "GO:0001101" "response to acid chemical" 0.869621521366126
0 0.955642240222793 4 48 "GO:0001501" "skeletal system development" 1
0 0.191848984946443 2 48 "GO:0001503" "ossification" 0.621949320390555
0 0.900540663003703 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 0.0136291994579706 4 20 "GO:0001508" "action potential" 0.155762279519664
0 0.794265445311121 2 19 "GO:0001510" "RNA methylation" 1
0 0.992947619733231 2 21 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.231628483504159 3 116 "GO:0001525" "angiogenesis" 0.682963198996216
0 0.00214705839179859 2 31 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.0525412889739115
0 0.420317026797614 3 99 "GO:0001558" "regulation of cell growth" 0.877183360273281
0 0.38826579202463 2 33 "GO:0001568" "blood vessel development" 0.86086672209925
0 0.534490982079445 3 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.971133012719853
0 0.899732207461432 2 17 "GO:0001570" "vasculogenesis" 1
0 0.0269878231864803 5 22 "GO:0001578" "microtubule bundle formation" 0.230296091191299
