"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.736306419546241 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.254448855705295 -1 10 "GO:0000003" "obsolete reproduction" 1
0 1 2 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.190466280983065 7 40 "GO:0000041" "transition metal ion transport" 1
0 0.736984900548289 6 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.254448855705295 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.641973864553034 4 10 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.509087302364239 3 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.571542999172455 2 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.647272912713889 3 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.761437760920594 3 64 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.905324981976796 3 39 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.000194269370125107 4 44 "GO:0000096" "sulfur amino acid metabolic process" 0.0466246488300257
0 0.0189172884706056 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 0.698484497376207
0 0.996962153322571 2 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.825689333037588 3 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.991682622453413 2 67 "GO:0000165" "MAPK cascade" 1
0 0.958759648126812 8 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.391075721606624 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.337935088088322 2 106 "GO:0000209" "protein polyubiquitination" 1
0 0.967731650337584 4 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 2 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 0.943823102642715 2 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.849089230565773 2 85 "GO:0000278" "mitotic cell cycle" 1
0 0.999061357367434 2 268 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.972693659019638 2 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.690607737232067 2 70 "GO:0000302" "response to reactive oxygen species" 1
0 0.254448855705295 3 10 "GO:0000305" "response to oxygen radical" 1
0 0.965388795212716 6 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.708505118812148 3 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 2 20 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.716030923742452 3 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.680229292730667 6 58 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.289447824074047 2 28 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.438000724113289 3 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.676945633644172 7 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.762848334530251 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 0.641973864553034 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.402881271314652 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.183233314175516 2 92 "GO:0000902" "cell morphogenesis" 1
0 0.0899616916773433 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.858926141567308 2 61 "GO:0000910" "cytokinesis" 1
0 1 2 10 "GO:0000966" "RNA 5'-end processing" 1
0 0.649705484412337 3 89 "GO:0001101" "response to acid chemical" 1
0 0.509087302364239 4 48 "GO:0001501" "skeletal system development" 1
0 0.509087302364239 2 48 "GO:0001503" "ossification" 1
0 0.471853192168138 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 1 2 20 "GO:0001508" "action potential" 1
0 0.858106611852383 3 19 "GO:0001510" "RNA methylation" 1
0 0.00280331270254314 8 21 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 0.299020021604602
0 0.810551883518069 2 116 "GO:0001525" "angiogenesis" 1
0 0.958759648126812 3 31 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.371671968391028 3 99 "GO:0001558" "regulation of cell growth" 1
0 0.966441377081152 2 33 "GO:0001568" "blood vessel development" 1
0 0.736984900548289 4 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.825689333037588 3 17 "GO:0001570" "vasculogenesis" 1
0 0.364756052108664 2 22 "GO:0001578" "microtubule bundle formation" 1
0 0.0298149786883189 4 25 "GO:0001649" "osteoblast differentiation" 0.821960178342582
0 1 2 13 "GO:0001656" "metanephros development" 1
0 0.762685179720107 4 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.450437275755965 2 85 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.649402756827485 4 56 "GO:0001667" "ameboidal-type cell migration" 1
0 0.244620316258151 2 26 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.842730013241876 2 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.276071994552111 4 82 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 0.0392050052022214 2 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 0.901825632497036
0 0.871981454239699 2 20 "GO:0001708" "cell fate specification" 1
0 0.915187473398851 2 24 "GO:0001709" "cell fate determination" 1
0 0.785876926549166 2 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.962798020862169 3 32 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 0.641973864553034 4 10 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 1
0 0.366747737978451 6 13 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 0.200286005993382 2 16 "GO:0001756" "somitogenesis" 1
0 0.804607136307551 4 43 "GO:0001764" "neuron migration" 1
0 0.991509186118473 2 132 "GO:0001775" "cell activation" 1
0 1 2 11 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 0.825689333037588 5 17 "GO:0001816" "cytokine production" 1
0 0.799620326360584 5 103 "GO:0001817" "regulation of cytokine production" 1
0 0.677560193058199 6 35 "GO:0001818" "negative regulation of cytokine production" 1
0 0.840002644154198 2 46 "GO:0001819" "positive regulation of cytokine production" 1
0 0.741252222132418 3 74 "GO:0001822" "kidney development" 1
0 1 2 15 "GO:0001824" "blastocyst development" 1
0 0.676945633644172 2 11 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.0127663927591974 2 21 "GO:0001837" "epithelial to mesenchymal transition" 0.532858132557805
0 0.142131279264822 4 21 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 0.708505118812148 2 12 "GO:0001841" "neural tube formation" 1
0 0.272559896766849 3 45 "GO:0001843;GO:0060606" "neural tube closure" 1
0 1 2 11 "GO:0001885" "endothelial cell development" 1
0 0.747407423172797 2 39 "GO:0001889" "liver development" 1
0 0.954283488372125 4 30 "GO:0001894" "tissue homeostasis" 1
0 1 2 24 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 1
0 0.17460482812351 4 15 "GO:0001919" "regulation of receptor recycling" 1
0 0.449807015701874 2 95 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.923485662967867 2 25 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.366747737978451 3 13 "GO:0001944" "vasculature development" 1
0 0.450913927122953 2 45 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 0.200286005993382 2 16 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 0.641973864553034 3 10 "GO:0001958;GO:0036075" "endochondral ossification" 1
0 0.30915092408721 2 20 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.438000724113289 2 15 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.402603508445976 2 151 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 0.762685179720107 2 14 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 1 2 11 "GO:0002026" "regulation of the force of heart contraction" 1
0 1 2 18 "GO:0002027" "regulation of heart rate" 1
0 0.762685179720107 4 14 "GO:0002028" "regulation of sodium ion transport" 1
0 1 4 12 "GO:0002040" "sprouting angiogenesis" 1
0 1 3 15 "GO:0002062" "chondrocyte differentiation" 1
0 0.962596286549644 4 50 "GO:0002064" "epithelial cell development" 1
0 0.329791296796434 4 12 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 1
0 1 5 14 "GO:0002066" "columnar/cuboidal epithelial cell development" 1
0 0.736984900548289 7 13 "GO:0002200;GO:0016445;GO:0016444;GO:0002562" "somatic cell DNA recombination" 1
0 0.804607136307551 2 43 "GO:0002218;GO:0002221;GO:0002758" "activation of innate immune response" 1
0 0.736306419546241 2 26 "GO:0002224" "toll-like receptor signaling pathway" 1
0 0.941078852309327 3 60 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 1
0 0.905990531436976 3 23 "GO:0002244" "hematopoietic progenitor cell differentiation" 1
0 1 3 14 "GO:0002250;GO:0002460" "adaptive immune response" 1
0 0.992074000758531 2 102 "GO:0002252" "immune effector process" 1
0 0.977368859946122 4 88 "GO:0002253;GO:0002757;GO:0002764" "immune response-regulating signaling pathway" 1
0 0.930972832704733 3 26 "GO:0002263;GO:0002366" "cell activation involved in immune response" 1
0 1 2 23 "GO:0002274" "myeloid leukocyte activation" 1
0 0.858106611852383 2 19 "GO:0002285;GO:0002312" "lymphocyte activation involved in immune response" 1
0 0.641973864553034 2 10 "GO:0002335" "mature B cell differentiation" 1
0 0.998239852337283 1 392 "GO:0002376" "immune system process" 1
0 0.979959407017719 5 38 "GO:0002429" "immune response-activating cell surface receptor signaling pathway" 1
0 1 3 14 "GO:0002443" "leukocyte mediated immunity" 1
0 1 2 10 "GO:0002449" "lymphocyte mediated immunity" 1
0 0.825689333037588 4 17 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 1
0 1 3 18 "GO:0002495;GO:0002504;GO:0019886" "antigen processing and presentation of peptide or polysaccharide antigen via MHC class II" 1
0 0.647272912713889 3 22 "GO:0002526;GO:0006953" "acute inflammatory response" 1
0 0.621589561749778 2 21 "GO:0002573" "myeloid leukocyte differentiation" 1
0 0.621589561749778 3 21 "GO:0002576" "platelet degranulation" 1
0 0.987669830154882 2 223 "GO:0002682" "regulation of immune system process" 1
