"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.857206812860162 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.6744174268794 2 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.950062362925646 3 40 "GO:0000041" "transition metal ion transport" 1
0 0.239694211774143 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 0.929803024804041
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 4 10 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.682134812147916 5 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.647005957610464 2 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.477344006637471 2 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.493161092212207 3 64 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.946167380730682 3 39 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.391938314798458 3 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.628423880986366 5 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.512848751676731 7 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.719705415468152 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.205687592369735 2 67 "GO:0000165" "MAPK cascade" 0.911607092575959
0 0.901861161616365 6 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.307556772921858 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 0.981170966070492
0 0.0783130212155446 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 0.737425772562198
0 0.888053891731576 3 106 "GO:0000209" "protein polyubiquitination" 1
0 0.793032970512612 4 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 3 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 0.138659949910857 2 28 "GO:0000272" "polysaccharide catabolic process" 0.87042147973649
0 0.581151111454677 3 85 "GO:0000278" "mitotic cell cycle" 1
0 0.818129633774132 2 268 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.729000672249979 3 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.526622866809958 8 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.57426596478424 4 70 "GO:0000302" "response to reactive oxygen species" 1
0 0.526622866809958 2 10 "GO:0000305" "response to oxygen radical" 1
0 1 6 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.592431305499039 3 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 2 20 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 0.649104036475922 5 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.928602325069147 2 58 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.609089934113117 7 28 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.6744174268794 2 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 3 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.794263075127073 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 1 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.649104036475922 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.0655600210030333 2 92 "GO:0000902" "cell morphogenesis" 0.737425772562198
0 0.0386747331090341 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 0.59650708646678
0 0.649347446352751 2 61 "GO:0000910" "cytokinesis" 1
0 1 3 10 "GO:0000966" "RNA 5'-end processing" 1
0 0.892059231422456 3 89 "GO:0001101" "response to acid chemical" 1
0 0.870035304747906 3 48 "GO:0001501" "skeletal system development" 1
0 0.870035304747906 2 48 "GO:0001503" "ossification" 1
0 0.48559442651796 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 0.776120142364264 2 20 "GO:0001508" "action potential" 1
0 0.402073652337845 5 19 "GO:0001510" "RNA methylation" 1
0 1 4 21 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.927851462072467 3 116 "GO:0001525" "angiogenesis" 1
0 0.664844002879681 3 31 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.282785159978875 4 99 "GO:0001558" "regulation of cell growth" 0.972260852213526
0 0.211076111539689 2 33 "GO:0001568" "blood vessel development" 0.911607092575959
0 1 4 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.349141013264319 2 17 "GO:0001570" "vasculogenesis" 1
0 0.807279221444819 2 22 "GO:0001578" "microtubule bundle formation" 1
0 1 4 25 "GO:0001649" "osteoblast differentiation" 1
0 1 2 13 "GO:0001656" "metanephros development" 1
0 0.649104036475922 4 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.581151111454677 3 85 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.0458733940692472 4 56 "GO:0001667" "ameboidal-type cell migration" 0.642897201554413
0 0.857206812860162 2 26 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.739932859712718 2 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.236641070205174 6 82 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 0.929803024804041
0 1 3 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 1
0 0.170774045629623 2 20 "GO:0001708" "cell fate specification" 0.895863845925891
0 0.00113801245213965 3 24 "GO:0001709" "cell fate determination" 0.263098534324035
0 0.6744174268794 5 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.408274686834749 4 32 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 0.030443134693755 2 10 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 0.557959084790197
0 1 3 13 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 0.697907509456162 2 16 "GO:0001756" "somitogenesis" 1
0 0.607642633166728 2 43 "GO:0001764" "neuron migration" 1
0 0.617402083184335 2 132 "GO:0001775" "cell activation" 1
0 0.560755790574194 2 11 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 1 3 17 "GO:0001816" "cytokine production" 1
0 0.619138968821612 2 103 "GO:0001817" "regulation of cytokine production" 1
0 0.729000672249979 6 35 "GO:0001818" "negative regulation of cytokine production" 1
0 0.968184533512189 4 46 "GO:0001819" "positive regulation of cytokine production" 1
0 0.624359113561843 4 74 "GO:0001822" "kidney development" 1
0 1 2 15 "GO:0001824" "blastocyst development" 1
0 0.560755790574194 3 11 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.189266072033907 2 21 "GO:0001837" "epithelial to mesenchymal transition" 0.901618074859756
0 1 2 21 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 1 2 12 "GO:0001841" "neural tube formation" 1
0 0.408614665496565 5 45 "GO:0001843;GO:0060606" "neural tube closure" 1
0 1 3 11 "GO:0001885" "endothelial cell development" 1
0 0.30814241695604 2 39 "GO:0001889" "liver development" 0.981170966070492
0 0.0607300074444946 2 30 "GO:0001894" "tissue homeostasis" 0.726205227453622
0 0.834107774859096 2 24 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 1
0 1 3 15 "GO:0001919" "regulation of receptor recycling" 1
0 0.144703493628682 2 95 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.87042147973649
0 0.546550758414663 2 25 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.621826063309447 2 13 "GO:0001944" "vasculature development" 1
0 0.22100572014286 3 45 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.929803024804041
0 0.697907509456162 6 16 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 1 3 10 "GO:0001958;GO:0036075" "replacement ossification" 1
0 0.776120142364264 2 20 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.6744174268794 3 15 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.126737409225706 4 151 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.849852287004015
0 0.0745850095473524 2 14 "GO:0002011" "morphogenesis of an epithelial sheet" 0.737425772562198
0 0.560755790574194 5 11 "GO:0002026" "regulation of the force of heart contraction" 1
0 0.739932859712718 5 18 "GO:0002027" "regulation of heart rate" 1
0 0.267212412145274 2 14 "GO:0002028" "regulation of sodium ion transport" 0.953670631449646
0 1 2 12 "GO:0002040" "sprouting angiogenesis" 1
0 1 2 15 "GO:0002062" "chondrocyte differentiation" 1
0 0.14804827617098 2 50 "GO:0002064" "epithelial cell development" 0.87042147973649
0 0.592431305499039 2 12 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 1
0 0.0745850095473524 3 14 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.737425772562198
0 1 3 13 "GO:0002200;GO:0016445;GO:0016444;GO:0002562" "somatic cell DNA recombination" 1
0 0.826397858436821 2 43 "GO:0002218;GO:0002221;GO:0002758" "activation of innate immune response" 1
0 0.568151925980568 3 26 "GO:0002224" "toll-like receptor signaling pathway" 1
0 0.0267251522894474 4 60 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 0.551745079524075
0 0.501128760088131 2 23 "GO:0002244" "hematopoietic progenitor cell differentiation" 1
0 1 2 14 "GO:0002250;GO:0002460" "adaptive immune response" 1
0 0.608726472696474 2 102 "GO:0002252" "immune effector process" 1
0 0.615541291487764 2 88 "GO:0002253;GO:0002757;GO:0002764" "immune response-regulating signaling pathway" 1
0 0.568151925980568 2 26 "GO:0002263;GO:0002366" "cell activation involved in immune response" 1
0 0.821195151506487 3 23 "GO:0002274" "myeloid leukocyte activation" 1
0 0.758702815677989 2 19 "GO:0002285;GO:0002312" "lymphocyte activation involved in immune response" 1
0 0.526622866809958 2 10 "GO:0002335" "mature B cell differentiation" 1
0 0.194513688339945 1 392 "GO:0002376" "immune system process" 0.911607092575959
0 0.770016492742946 3 38 "GO:0002429" "immune response-activating cell surface receptor signaling pathway" 1
0 0.649104036475922 2 14 "GO:0002443" "leukocyte mediated immunity" 1
0 1 3 10 "GO:0002449" "lymphocyte mediated immunity" 1
0 0.719705415468152 4 17 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 1
0 0.375838863310524 4 18 "GO:0002495;GO:0002504;GO:0019886" "antigen processing and presentation of peptide antigen via MHC class II" 1
0 0.208236249983566 2 22 "GO:0002526;GO:0006953" "acute inflammatory response" 0.911607092575959
0 1 4 21 "GO:0002573" "myeloid leukocyte differentiation" 1
0 0.45287966512348 2 21 "GO:0002576" "platelet degranulation" 1
0 0.254170964248517 3 223 "GO:0002682" "regulation of immune system process" 0.953670631449646
0 0.756984106758009 2 37 "GO:0002683" "negative regulation of immune system process" 1
0 0.249252834980935 2 133 "GO:0002684" "positive regulation of immune system process" 0.947253048028413
0 0.697907509456162 2 16 "GO:0002685" "regulation of leukocyte migration" 1
0 1 5 12 "GO:0002687;GO:0002688;GO:0002690" "regulation of leukocyte chemotaxis" 1
0 0.179629891211362 4 53 "GO:0002694;GO:0050865;GO:0051249" "regulation of cell activation" 0.900667767093144
0 1 2 13 "GO:0002695;GO:0051250" "negative regulation of leukocyte activation" 1
0 0.391938314798458 5 44 "GO:0002696;GO:0050867;GO:0051251;GO:0050870;GO:0050863;GO:1903039;GO:0022409;GO:1903037" "positive regulation of cell-cell adhesion" 1
0 0.425196980349915 2 46 "GO:0002697" "regulation of immune effector process" 1
0 1 3 10 "GO:0002698" "negative regulation of immune effector process" 1
0 0.135558212894671 2 18 "GO:0002699;GO:0002703" "positive regulation of immune effector process" 0.87042147973649
0 0.239694211774143 2 13 "GO:0002700" "regulation of production of molecular mediator of immune response" 0.929803024804041
0 0.834107774859096 3 24 "GO:0002753" "cytoplasmic pattern recognition receptor signaling pathway" 1
0 0.294716570827225 2 15 "GO:0002755" "MyD88-dependent toll-like receptor signaling pathway" 0.972260852213526
0 0.560755790574194 9 11 "GO:0002756;GO:0035666" "TRIF-dependent toll-like receptor signaling pathway" 1
0 0.877094052941644 4 28 "GO:0002761;GO:0002763;GO:0045639" "regulation of myeloid leukocyte differentiation" 1
0 0.914335522119983 4 55 "GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 1
0 0.0745850095473524 2 14 "GO:0002790" "peptide secretion" 0.737425772562198
0 0.182108763274163 2 42 "GO:0002791;GO:0090087;GO:0046883;GO:0050796;GO:0090276" "regulation of hormone secretion" 0.900667767093144
0 0.649104036475922 2 14 "GO:0002793;GO:0090277;GO:0046887" "positive regulation of hormone secretion" 1
0 0.158816444109352 4 10 "GO:0002821" "positive regulation of adaptive immune response" 0.87042147973649
0 0.103269249021983 2 16 "GO:0002822;GO:0002819" "regulation of adaptive immune response" 0.786813325881775
0 1 2 13 "GO:0002832" "negative regulation of response to biotic stimulus" 1
0 0.276939050212394 3 111 "GO:0003002" "regionalization" 0.96534802507607
0 0.807279221444819 4 22 "GO:0003007" "heart morphogenesis" 1
0 0.128639759748257 2 412 "GO:0003008" "system process" 0.85463092981541
0 0.816223196796352 3 42 "GO:0003012;GO:0006936" "muscle system process" 1
0 0.709780447047306 3 66 "GO:0003013" "circulatory system process" 1
0 1 3 16 "GO:0003014" "renal system process" 1
0 0.807903302329904 2 59 "GO:0003018;GO:0097746;GO:0035296;GO:0035150" "regulation of tube size" 1
0 0.560755790574194 5 11 "GO:0003044;GO:0003073" "regulation of systemic arterial blood pressure" 1
0 1 2 10 "GO:0003151" "outflow tract morphogenesis" 1
0 1 2 11 "GO:0003156" "regulation of animal organ formation" 1
0 1 3 12 "GO:0003206;GO:0003208" "cardiac chamber morphogenesis" 1
0 0.152261474793869 2 29 "GO:0003279" "cardiac septum development" 0.87042147973649
0 0.152261474793869 2 29 "GO:0003333" "amino acid transmembrane transport" 0.87042147973649
0 0.877453830887007 4 49 "GO:0003341" "cilium movement" 1
0 0.846089317210947 2 25 "GO:0003351;GO:0006858" "extracellular transport" 1
0 0.322066188227975 4 16 "GO:0003382" "epithelial cell morphogenesis" 0.983793000094919
0 0.754673871347778 2 374 "GO:0005975" "carbohydrate metabolic process" 1
0 0.290470439358634 2 50 "GO:0005976" "polysaccharide metabolic process" 0.972260852213526
0 0.427773608638758 6 20 "GO:0005977;GO:0044042;GO:0006073" "glucan metabolic process" 1
0 0.997142603241003 2 78 "GO:0005996;GO:0019318" "monosaccharide metabolic process" 1
0 0.972625712276779 2 48 "GO:0006006" "glucose metabolic process" 1
0 1 4 21 "GO:0006007;GO:0019320;GO:0046365" "monosaccharide catabolic process" 1
0 0.0872180325947902 2 64 "GO:0006022" "aminoglycan metabolic process" 0.749631653958657
0 0.208236249983566 2 22 "GO:0006023;GO:0006024" "aminoglycan biosynthetic process" 0.911607092575959
0 0.647005957610464 2 30 "GO:0006026" "aminoglycan catabolic process" 1
0 1 2 13 "GO:0006027" "glycosaminoglycan catabolic process" 1
0 0.45287966512348 5 21 "GO:0006029" "proteoglycan metabolic process" 1
0 0.018252479129712 3 30 "GO:0006030" "chitin metabolic process" 0.48667685349148
0 0.402073652337845 3 19 "GO:0006032;GO:1901072;GO:0046348" "amino sugar catabolic process" 1
0 0.0712423234708316 2 41 "GO:0006040;GO:1901071" "amino sugar metabolic process" 0.737425772562198
0 0.346801088649468 2 184 "GO:0006066;GO:1901615" "obsolete organic hydroxy compound metabolic process" 1
0 1 5 12 "GO:0006071;GO:0019400" "obsolete alditol metabolic process" 1
0 0.807279221444819 3 22 "GO:0006081" "aldehyde metabolic process" 1
0 0.843202090036756 4 472 "GO:0006082;GO:0019752;GO:0043436" "organic acid metabolic process" 1
0 0.621826063309447 3 13 "GO:0006084" "acetyl-CoA metabolic process" 1
0 1 5 27 "GO:0006090" "pyruvate metabolic process" 1
0 0.930866502814242 3 79 "GO:0006091" "generation of precursor metabolites and energy" 1
0 1 5 18 "GO:0006096;GO:0019364;GO:0072526" "pyridine-containing compound catabolic process" 1
0 1 2 11 "GO:0006098;GO:0006740;GO:0051156" "glucose 6-phosphate metabolic process" 1
0 1 4 29 "GO:0006099" "tricarboxylic acid cycle" 1
0 0.743318686704804 2 36 "GO:0006109;GO:0010675" "regulation of carbohydrate metabolic process" 1
0 0.477344006637471 3 22 "GO:0006112" "energy reserve metabolic process" 1
0 1 2 19 "GO:0006144" "purine nucleobase metabolic process" 1
0 0.972498074531303 3 433 "GO:0006152;GO:0009164;GO:0072523;GO:0034656;GO:1901658;GO:0006195;GO:0009166;GO:1901292;GO:0046434;GO:0009141;GO:0009143;GO:0009144;GO:0009146;GO:0009154;GO:0009261;GO:0009199;GO:0009203;GO:0009205;GO:0009207;GO:0042454;GO:0046130" "organophosphate catabolic process" 1
0 0.995506997415512 2 72 "GO:0006164;GO:0009152;GO:0009260;GO:0046390" "ribonucleotide biosynthetic process" 1
0 1 -1 11 "GO:0006165" "obsolete nucleoside diphosphate phosphorylation" 1
0 0.686996020444696 -1 140 "GO:0006184;GO:0046039;GO:1901068;GO:1901069" "guanosine-containing compound metabolic process" 1
0 0.993338653755812 -1 282 "GO:0006200;GO:0009123;GO:0009125;GO:0009126;GO:0009128;GO:0009158;GO:0009161;GO:0009167;GO:0009169;GO:0046034" "nucleoside monophosphate metabolic process" 1
0 1 2 11 "GO:0006206" "pyrimidine nucleobase metabolic process" 1
0 1 2 18 "GO:0006213;GO:0009220;GO:0009218;GO:0046131;GO:0046132;GO:0046134" "pyrimidine nucleoside metabolic process" 1
0 1 2 20 "GO:0006220;GO:0006221;GO:0072528" "pyrimidine nucleotide metabolic process" 1
0 0.997837998350849 5 664 "GO:0006259" "DNA metabolic process" 1
0 0.740856749092715 2 312 "GO:0006260" "DNA replication" 1
