"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.90637825873075 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.434109078901044 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.370215133759797 3 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.0532991720428592 4 40 "GO:0000041" "transition metal ion transport" 0.70092061864582
0 0.285886579039059 6 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 0.789357319100667 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.434109078901044 5 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 0.549477422766466 2 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.439109902632489 2 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.393801016349052 2 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.204022557484624 4 64 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.190999897168377 4 39 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.452805827629522 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.408876132472493 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.661153635931214 2 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 3 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.934867737041156 4 67 "GO:0000165" "MAPK cascade" 1
0 0.0677036484069382 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.783078343020008
0 0.917397632115252 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.874187414709751 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.18324576000559 8 106 "GO:0000209" "protein polyubiquitination" 1
0 0.541081473814884 4 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.131177326248945 5 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 0.987301776063103 2 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.0569713803383123 2 85 "GO:0000278" "mitotic cell cycle" 0.714848702004529
0 0.92808324238655 2 268 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.995747802889916 2 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.789357319100667 6 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.56459217119516 2 70 "GO:0000302" "response to reactive oxygen species" 1
0 0.0438589396408013 5 10 "GO:0000305" "response to oxygen radical" 0.630852348173057
0 0.00224766993901919 6 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.0899067975607676
0 0.244177276701449 4 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.000976457674465544 2 20 "GO:0000387" "spliceosomal snRNP assembly" 0.047028862180201
0 0.00604938475869176 8 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.184362202169654
0 1 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.750008453725886 5 58 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.790114652940751 6 28 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.658843783156021 7 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.485339526043258 2 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.702932098530937 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 0.789357319100667 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.620359963236524 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.999578787287129 2 92 "GO:0000902" "cell morphogenesis" 1
0 0.996831061441569 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.995355149951932 3 61 "GO:0000910" "cytokinesis" 1
0 0.434109078901044 3 10 "GO:0000966" "RNA 5'-end processing" 1
0 0.645407572847753 2 89 "GO:0001101" "response to acid chemical" 1
0 0.841299010226218 4 48 "GO:0001501" "skeletal system development" 1
0 0.976908110102631 2 48 "GO:0001503" "ossification" 1
0 0.9086306223177 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
