"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 -1 10 "GO:0000003" "obsolete reproduction" 1
0 1 2 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.565524017845991 3 40 "GO:0000041" "transition metal ion transport" 1
0 1 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.187816942715597 5 10 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.632421315987774 3 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 1 7 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 1 9 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.737027867569668 5 64 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 1 4 39 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 1 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 3 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.300126039224887 2 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.0120367218966603 5 67 "GO:0000165" "MAPK cascade" 0.756749865029542
0 0.475706061694551 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.430075588407479 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.583304845012262 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.645659075638413 10 106 "GO:0000209" "protein polyubiquitination" 1
0 0.784638360170241 2 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 5 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 1 2 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.525335866088814 2 85 "GO:0000278" "mitotic cell cycle" 1
0 0.18735749422444 4 268 "GO:0000280;GO:0048285" "organelle fission" 1
0 1 3 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.424193515046075 2 70 "GO:0000302" "response to reactive oxygen species" 1
0 0.187816942715597 2 10 "GO:0000305" "response to oxygen radical" 1
0 1 2 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 1 3 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 4 20 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 8 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 1 4 58 "GO:0000723;GO:0032200" "telomere organization" 1
0 1 2 28 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 3 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 7 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 1 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 1 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 1 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.56830834908433 3 92 "GO:0000902" "cell morphogenesis" 1
0 1 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 1 3 61 "GO:0000910" "cytokinesis" 1
0 1 2 10 "GO:0000966" "RNA 5'-end processing" 1
0 0.277032251494161 3 89 "GO:0001101" "response to acid chemical" 1
0 0.632421315987774 4 48 "GO:0001501" "skeletal system development" 1
0 0.259620202585211 2 48 "GO:0001503" "ossification" 1
0 0.527668021453115 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 1 2 20 "GO:0001508" "action potential" 1
0 0.32663583721857 5 19 "GO:0001510" "RNA methylation" 1
0 1 8 21 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.6939509772361 2 116 "GO:0001525" "angiogenesis" 1
0 1 3 31 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.608422107190617 3 99 "GO:0001558" "regulation of cell growth" 1
0 1 3 33 "GO:0001568" "blood vessel development" 1
0 1 5 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.297983466476892 3 17 "GO:0001570" "vasculogenesis" 1
0 1 3 22 "GO:0001578" "microtubule bundle formation" 1
0 1 3 25 "GO:0001649" "osteoblast differentiation" 1
0 0.236992114942746 4 13 "GO:0001656" "metanephros development" 1
0 0.252716782951743 5 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.830724875160784 3 85 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.689068290291215 2 56 "GO:0001667" "ameboidal-type cell migration" 1
0 0.0992221464387841 2 26 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.312458034178399 3 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.238127780808286 6 82 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 0.340522925558497 2 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 1
0 1 2 20 "GO:0001708" "cell fate specification" 1
0 1 2 24 "GO:0001709" "cell fate determination" 1
0 1 2 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.486534209500503 3 32 "GO:0001736;GO:0007164" "establishment of tissue polarity" 1
0 0.187816942715597 2 10 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 1
0 0.236992114942746 4 13 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 1 4 16 "GO:0001756" "somitogenesis" 1
0 0.221383262809933 2 43 "GO:0001764" "neuron migration" 1
0 0.135949073372547 2 132 "GO:0001775" "cell activation" 1
0 0.0204953088445501 2 11 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.756749865029542
0 1 2 17 "GO:0001816" "cytokine production" 1
0 0.356105767301376 2 103 "GO:0001817" "regulation of cytokine production" 1
0 0.517702486802071 2 35 "GO:0001818" "negative regulation of cytokine production" 1
0 0.616724794282796 3 46 "GO:0001819" "positive regulation of cytokine production" 1
0 0.065712136900452 2 74 "GO:0001822" "kidney development" 1
0 0.0370828198233901 3 15 "GO:0001824" "blastocyst development" 0.850813208986841
0 0.204549106102702 3 11 "GO:0001833" "inner cell mass cell proliferation" 1
0 1 2 21 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.354125226524929 2 21 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 1 6 12 "GO:0001841" "neural tube formation" 1
0 0.236640125444339 3 45 "GO:0001843;GO:0060606" "tube closure" 1
0 1 2 11 "GO:0001885" "endothelial cell development" 1
0 1 2 39 "GO:0001889" "liver development" 1
0 0.126044063463536 4 30 "GO:0001894" "tissue homeostasis" 1
0 1 2 24 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 1
0 1 4 15 "GO:0001919" "regulation of receptor recycling" 1
0 0.585852568436626 3 95 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 1 2 25 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 1 3 13 "GO:0001944" "vasculature development" 1
0 1 2 45 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 0.283205958996487 2 16 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 1 3 10 "GO:0001958;GO:0036075" "endochondral ossification" 1
0 1 4 20 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 1 2 15 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.377171542504269 3 151 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 1 2 14 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 1 3 11 "GO:0002026" "regulation of the force of heart contraction" 1
0 0.312458034178399 5 18 "GO:0002027" "regulation of heart rate" 1
0 0.252716782951743 7 14 "GO:0002028" "regulation of sodium ion transport" 1
