"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0657596611896606 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 -1 10 "GO:0000003" "obsolete reproduction" 1
0 1 3 15 "GO:0000018" "regulation of DNA recombination" 1
0 1 3 40 "GO:0000041" "transition metal ion transport" 1
0 1 3 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 2 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 1 5 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 1 4 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 1 5 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.649829297960991 3 64 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.471906057557533 3 39 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 1 4 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 4 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.550298966633802 4 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.296008510306184 2 67 "GO:0000165" "MAPK cascade" 1
0 1 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.357062811806317 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.497278275607993 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 1
0 1 3 106 "GO:0000209" "protein polyubiquitination" 1
0 0.392265483290543 4 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 3 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 1 5 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.401952641064168 2 85 "GO:0000278" "mitotic cell cycle" 1
0 0.98830694893728 2 268 "GO:0000280;GO:0048285" "organelle fission" 1
0 1 2 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 3 70 "GO:0000302" "response to reactive oxygen species" 1
0 1 2 10 "GO:0000305" "response to oxygen radical" 1
0 0.296008510306184 2 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 1 2 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.0409239873235122 2 20 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.241777962194269 4 58 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 1 5 28 "GO:0000724;GO:0000725" "recombinational repair" 1
0 1 5 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 4 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 1 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 1 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 1 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 1 3 92 "GO:0000902" "cell morphogenesis" 1
0 1 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.632108420218355 2 61 "GO:0000910" "cytokinesis" 1
0 1 2 10 "GO:0000966" "RNA 5'-end processing" 1
0 0.424560191745726 3 89 "GO:0001101" "response to acid chemical" 1
0 1 2 48 "GO:0001501" "skeletal system development" 1
0 1 2 48 "GO:0001503" "ossification" 1
0 1 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 1 2 20 "GO:0001508" "action potential" 1
0 0.26705395661671 2 19 "GO:0001510" "RNA methylation" 1
0 0.00446870540806078 6 21 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.11890762637364 3 116 "GO:0001525" "angiogenesis" 1
0 1 3 31 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 1 2 99 "GO:0001558" "regulation of cell growth" 1
0 1 3 33 "GO:0001568" "blood vessel development" 1
0 1 2 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 1 2 17 "GO:0001570" "vasculogenesis" 1
0 1 2 22 "GO:0001578" "microtubule bundle formation" 1
0 1 2 25 "GO:0001649" "osteoblast differentiation" 1
0 1 2 13 "GO:0001656" "metanephros development" 1
0 1 2 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.752267605591721 2 85 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.600574222132318 3 56 "GO:0001667" "ameboidal-type cell migration" 1
0 1 2 26 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 2 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.384729867232627 2 82 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 1 3 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 1
0 0.27895553394793 3 20 "GO:0001708" "cell fate specification" 1
0 0.324673609329921 2 24 "GO:0001709" "cell fate determination" 1
0 1 2 15 "GO:0001731" "formation of translation preinitiation complex" 1
