"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 -1 10 "GO:0000003" "obsolete reproduction" 1
0 1 4 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.288224540683891 7 40 "GO:0000041" "transition metal ion transport" 1
0 1 6 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.236492955408119 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 3 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 1 2 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 1 7 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 1 3 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 1 3 64 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.651523147913932 3 39 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 1 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.855119946489487 2 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.536093714023688 2 67 "GO:0000165" "MAPK cascade" 1
0 0.199147517318793 10 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.160691286829974 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.100221379447522 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.778406826261711 2 106 "GO:0000209" "protein polyubiquitination" 1
0 0.888980852652714 4 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.314671351700129 2 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 0.530623105216328 2 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.900137565709973 3 85 "GO:0000278" "mitotic cell cycle" 1
0 0.999354712023443 2 268 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.611644640842799 2 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.0275546374402602 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.0381931866031725 2 70 "GO:0000302" "response to reactive oxygen species" 1
0 0.236492955408119 3 10 "GO:0000305" "response to oxygen radical" 1
0 0.536093714023688 6 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 1 4 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 2 20 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.00397764276586237 2 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.550317905917128
0 1 7 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 1 3 58 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 1 7 28 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 5 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 3 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.660838496817266 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 1 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 1 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.91748336934362 3 92 "GO:0000902" "cell morphogenesis" 1
0 0.823166981824617 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.485893446275844 3 61 "GO:0000910" "cytokinesis" 1
0 1 5 10 "GO:0000966" "RNA 5'-end processing" 1
0 0.423724683026562 3 89 "GO:0001101" "response to acid chemical" 1
0 1 2 48 "GO:0001501" "skeletal system development" 1
0 0.726966189393324 2 48 "GO:0001503" "ossification" 1
0 1 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 1 4 20 "GO:0001508" "action potential" 1
0 1 2 19 "GO:0001510" "RNA methylation" 1
0 0.432788714241321 3 21 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.600724490884795 3 116 "GO:0001525" "angiogenesis" 1
0 1 2 31 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.745113061333297 4 99 "GO:0001558" "regulation of cell growth" 1
0 0.590033385676787 3 33 "GO:0001568" "blood vessel development" 1
0 0.29590779050915 3 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 1 4 17 "GO:0001570" "vasculogenesis" 1
0 1 2 22 "GO:0001578" "microtubule bundle formation" 1
0 1 2 25 "GO:0001649" "osteoblast differentiation" 1
0 0.0453335463479701 2 13 "GO:0001656" "metanephros development" 1
0 1 3 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.900137565709973 3 85 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.441585767515692 2 56 "GO:0001667" "ameboidal-type cell migration" 1
0 0.504525738653829 6 26 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 2 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 1 2 82 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 1 2 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 1
0 0.41724584013394 3 20 "GO:0001708" "cell fate specification" 1
0 1 2 24 "GO:0001709" "cell fate determination" 1
0 0.332937040620702 2 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.578782929740365 4 32 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 1 5 10 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 1
0 0.29590779050915 5 13 "GO:0001755;GO:0090497" "mesenchymal cell migration" 1
0 1 4 16 "GO:0001756" "somitogenesis" 1
0 0.317906777331932 4 43 "GO:0001764" "neuron migration" 1
0 0.468338835496574 2 132 "GO:0001775" "cell activation" 1
0 1 2 11 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 0.368027068174234 2 17 "GO:0001816" "cytokine production" 1
0 0.938879100296024 2 103 "GO:0001817" "regulation of cytokine production" 1
0 0.611644640842799 2 35 "GO:0001818" "negative regulation of cytokine production" 1
0 1 2 46 "GO:0001819" "positive regulation of cytokine production" 1
0 0.314736081948324 4 74 "GO:0001822" "kidney development" 1
0 0.332937040620702 3 15 "GO:0001824" "blastocyst development" 1
0 0.256832652901982 2 11 "GO:0001833" "inner cell mass cell proliferation" 1
0 1 2 21 "GO:0001837" "epithelial to mesenchymal transition" 1
0 1 2 21 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 1 2 12 "GO:0001841" "neural tube formation" 1
0 1 5 45 "GO:0001843;GO:0060606" "neural tube closure" 1
0 1 2 11 "GO:0001885" "endothelial cell development" 1
0 0.651523147913932 5 39 "GO:0001889" "liver development" 1
0 1 4 30 "GO:0001894" "tissue homeostasis" 1
0 1 2 24 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 1
0 0.332937040620702 2 15 "GO:0001919" "regulation of receptor recycling" 1
0 0.465841303441178 4 95 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 1 6 25 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.29590779050915 2 13 "GO:0001944" "vasculature development" 1
0 0.117089768285012 2 45 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 1 6 16 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 1 2 10 "GO:0001958;GO:0036075" "endochondral ossification" 1
0 0.41724584013394 3 20 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.332937040620702 6 15 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.374666551899735 2 151 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 0.314671351700129 5 14 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 1 2 11 "GO:0002026" "regulation of the force of heart contraction" 1
0 1 2 18 "GO:0002027" "regulation of heart rate" 1
