"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.475524936081359 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.310698128181878 2 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.256429384463055 2 40 "GO:0000041" "transition metal ion transport" 1
0 0.27561132252549 6 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 4 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 1 2 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 1 3 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.420703348735774 3 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.206220686666914 5 64 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.620458831353883 3 39 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 1 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.634167601842125 3 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.225472629132404 2 67 "GO:0000165" "MAPK cascade" 1
0 1 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.140682137266398 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.647781245709299 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.261166052406624 2 106 "GO:0000209" "protein polyubiquitination" 1
0 0.253944520629838 2 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 2 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 1 2 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.620295853010764 3 85 "GO:0000278" "mitotic cell cycle" 1
0 0.485444884734631 3 268 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.210950065854825 2 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.0919862436334174 2 70 "GO:0000302" "response to reactive oxygen species" 1
0 1 5 10 "GO:0000305" "response to oxygen radical" 1
0 0.0237389300954797 3 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 1 2 12 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 2 20 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 8 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 0.293371414464046 5 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.417245958815676 6 58 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.500967329493603 5 28 "GO:0000724;GO:0000725" "recombinational repair" 1
0 1 6 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 2 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 1 -1 40 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 1 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 1 2 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.663236708275187 3 92 "GO:0000902" "cell morphogenesis" 1
0 0.467223479315356 -1 64 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.442541524021452 3 61 "GO:0000910" "cytokinesis" 1
0 1 3 10 "GO:0000966" "RNA 5'-end processing" 1
0 0.645327641673949 3 89 "GO:0001101" "response to acid chemical" 1
0 0.696691560576284 2 48 "GO:0001501" "skeletal system development" 1
0 0.0293391440160835 2 48 "GO:0001503" "ossification" 1
0 0.219995656732046 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 1 4 20 "GO:0001508" "action potential" 1
0 1 3 19 "GO:0001510" "RNA methylation" 1
0 0.406129405273002 8 21 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.944698392524746 2 116 "GO:0001525" "angiogenesis" 1
0 0.536845967807598 2 31 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 1 4 99 "GO:0001558" "regulation of cell growth" 1
0 0.192984081929091 2 33 "GO:0001568" "blood vessel development" 1
0 1 3 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.344093267035482 2 17 "GO:0001570" "vasculogenesis" 1
0 0.420703348735774 4 22 "GO:0001578" "microtubule bundle formation" 1
0 0.462323776276987 4 25 "GO:0001649" "osteoblast differentiation" 1
0 0.27561132252549 2 13 "GO:0001656" "metanephros development" 1
0 0.293371414464046 5 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.345509039436032 3 85 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
