"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.027463474455237 -1 26 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.543640890257255 3 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.958707426714179 2 40 "GO:0000041" "transition metal ion transport" 1
0 1 6 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.334514154640276 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.104659809344355 3 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 0.834942814889202 2 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.705311710817491 2 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.937311275291585 6 22 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.98560606479864 4 64 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.170416827566111 4 39 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.606826415500577 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.453217476816776 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.620185365237568 2 177 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.613602501748997 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.964312149091652 2 67 "GO:0000165" "MAPK cascade" 1
0 0.979855032898125 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.845503452576181 -1 27 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.966569043825601 -1 42 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.973925804487593 3 106 "GO:0000209" "protein polyubiquitination" 1
0 0.376176675444032 4 139 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.505487434748949 2 14 "GO:0000271;GO:0033692" "polysaccharide biosynthetic process" 1
0 0.0401705692033348 3 28 "GO:0000272" "polysaccharide catabolic process" 1
0 0.422336847984356 3 85 "GO:0000278" "mitotic cell cycle" 1
0 0.354406650611196 2 268 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.930572976129026 2 35 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 8 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
