"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 -1 31 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.335000048513462 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.539540880775269 2 19 "GO:0000018" "regulation of DNA recombination" 1
0 1 6 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.47884905759143 3 40 "GO:0000041" "transition metal ion transport" 1
0 0.411658686099878 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.335000048513462 4 10 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.355818819453043 5 53 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.750666056233488 2 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.263756550026583 3 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.514733204631122 3 68 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 1 5 41 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.000414170524953218 4 46 "GO:0000096" "sulfur amino acid metabolic process" 0.352475716837872
0 0.00123041934834859 2 31 "GO:0000097" "sulfur amino acid biosynthetic process" 0.352475716837872
0 0.740811887794296 2 182 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.500335533853508 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.775782098677052 6 70 "GO:0000165" "MAPK cascade" 1
0 0.718097274155697 8 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.245779419846552 -1 43 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.83988005764455 9 114 "GO:0000209" "protein polyubiquitination" 1
0 0.202298634535053 3 141 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 2 21 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 1 2 30 "GO:0000272" "polysaccharide catabolic process" 1
0 0.876398409641118 2 89 "GO:0000278" "mitotic cell cycle" 1
0 0.609938591637911 2 289 "GO:0000280;GO:0048285" "organelle fission" 1
0 1 2 36 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 3 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.553619475380482 2 72 "GO:0000302" "response to reactive oxygen species" 1
0 0.057948449176046 3 10 "GO:0000305" "response to oxygen radical" 1
0 0.514733204631122 2 68 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 1 5 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.592671259552101 2 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.639686041372004 2 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.924064305934179 5 63 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.125168297143374 4 31 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.118773066510077 2 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 4 13 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.706324374636729 -1 30 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 1
0 0.0806731959825269 -1 12 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 1 3 16 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.756797060744918 3 98 "GO:0000902" "cell morphogenesis" 1
0 0.524624843954647 -1 69 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 1 3 62 "GO:0000910" "cytokinesis" 1
0 0.38713885117205 4 12 "GO:0000966" "RNA 5'-end processing" 1
0 0.554581808212662 2 98 "GO:0001101" "response to acid chemical" 1
0 0.322646846906662 2 50 "GO:0001501" "skeletal system development" 1
0 0.885532218486365 2 53 "GO:0001503" "ossification" 1
0 0.796821240444056 -1 39 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 1 4 22 "GO:0001508" "action potential" 1
0 1 5 22 "GO:0001510" "RNA methylation" 1
0 0.248738332768294 7 24 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.541484805769031 3 122 "GO:0001525" "angiogenesis" 1
0 0.367729352751676 2 32 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 1 3 11 "GO:0001541" "ovarian follicle development" 1
0 0.601942015284489 2 104 "GO:0001558" "regulation of cell growth" 1
0 0.779481237805091 2 37 "GO:0001568" "blood vessel development" 1
0 1 2 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.174676619941373 4 19 "GO:0001570" "vasculogenesis" 1
0 0.0620211703137245 2 23 "GO:0001578" "microtubule bundle formation" 1
0 0.278777178024204 4 26 "GO:0001649" "osteoblast differentiation" 1
0 1 2 13 "GO:0001656" "metanephros development" 1
0 1 3 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.975994563507051 3 91 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 1 4 60 "GO:0001667" "ameboidal-type cell migration" 1
0 0.353137389067686 2 31 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.520337498626116 4 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.424965439866083 2 83 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 1 3 10 "GO:0001702" "gastrulation with mouth forming second" 1
0 0.189245504187628 2 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 1
0 0.557977479543039 3 20 "GO:0001708" "cell fate specification" 1
0 0.263756550026583 2 25 "GO:0001709" "cell fate determination" 1
0 0.457802030493658 2 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 1 4 32 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 1 6 11 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 1
0 1 3 13 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 1 4 17 "GO:0001756" "somitogenesis" 1
0 0.853603986616226 4 47 "GO:0001764" "neuron migration" 1
0 0.644875185737108 2 137 "GO:0001775" "cell activation" 1
0 0.38713885117205 3 12 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
