"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.200154378652618 -1 31 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.68622303493464
0 0.54034393523924 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.621896555608964 3 19 "GO:0000018" "regulation of DNA recombination" 1
0 0.802767147106834 2 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.946914673952709 3 40 "GO:0000041" "transition metal ion transport" 1
0 0.113643719141805 5 13 "GO:0000045;GO:1905037" "autophagosome assembly" 0.530225846412583
0 0.106838731354186 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.525752077997266
0 0.958457477373441 5 10 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.256969747602315 5 53 "GO:0000075" "cell cycle checkpoint signaling" 0.76553169950884
0 0.451525497027308 3 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 0.955297574920833
0 0.996373245205775 2 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.0888935672761692 4 68 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.480121624881857
0 0.714656280224586 3 41 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.744919993029028 2 46 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.886127456155353 4 31 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.0108153601013899 6 182 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.144664514644766
0 0.153629747226774 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.61503118003819
0 0.252120169098301 6 70 "GO:0000165" "MAPK cascade" 0.757142944331302
0 0.00953961364404923 8 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.132324036450518
0 0.07007091686124 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 0.425766272269669
0 0.0989977035861239 -1 43 "GO:0000187" "obsolete activation of MAPK activity" 0.513808393872773
0 0.373830297988684 2 114 "GO:0000209" "protein polyubiquitination" 0.885902240061174
0 0.16516902129015 4 141 "GO:0000226" "microtubule cytoskeleton organization" 0.639188076565571
0 0.988899429604937 5 21 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.434094359490443 5 30 "GO:0000272" "polysaccharide catabolic process" 0.947051877964631
0 0.971623965088301 2 89 "GO:0000278" "mitotic cell cycle" 1
0 0.0065872601352237 2 289 "GO:0000280;GO:0048285" "organelle fission" 0.105027275596007
0 0.000304918711984045 2 36 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.0124021018976368
0 0.802767147106834 3 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.399152275327862 4 72 "GO:0000302" "response to reactive oxygen species" 0.916486733558098
0 0.958457477373441 2 10 "GO:0000305" "response to oxygen radical" 1
0 0.602248406026077 6 68 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.265240900068756 5 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.768385242045554
0 0.991587340398893 7 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.996373245205775 8 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 0.555891368952593 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.674836567341789 6 63 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.325773027480777 5 31 "GO:0000724;GO:0000725" "recombinational repair" 0.849736112343321
0 0.616580828145963 2 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.265240900068756 2 13 "GO:0000731" "DNA synthesis involved in DNA repair" 0.768385242045554
0 0.865586971121527 -1 30 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 1
0 0.879154009861239 -1 12 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.853201310295585 3 16 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.334714169381243 3 98 "GO:0000902" "cell morphogenesis" 0.854126063998705
0 0.879779165584068 -1 69 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.00404550525151183 2 62 "GO:0000910" "cytokinesis" 0.0756720717518034
0 0.0228586248626821 3 12 "GO:0000966" "RNA 5'-end processing" 0.227786196756627
0 0.992254108810007 3 98 "GO:0001101" "response to acid chemical" 1
0 0.992019268176907 2 50 "GO:0001501" "skeletal system development" 1
0 0.363079475884077 2 53 "GO:0001503" "ossification" 0.870779055880825
0 0.64805599300159 -1 39 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 0.756476164431524 4 22 "GO:0001508" "action potential" 1
0 0.578969459737853 3 22 "GO:0001510" "RNA methylation" 1
0 0.925114014592737 4 24 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.553101961873045 2 122 "GO:0001525" "angiogenesis" 1
0 0.0324533232446275 3 32 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.276408005241635
0 0.611832632186467 3 11 "GO:0001541" "ovarian follicle development" 1
0 0.126591549891851 3 104 "GO:0001558" "regulation of cell growth" 0.561908594508817
0 0.713453012124938 3 37 "GO:0001568" "blood vessel development" 1
0 0.490361999722759 2 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.992174076596405
0 0.803024151743652 4 19 "GO:0001570" "vasculogenesis" 1
0 0.79234991527007 5 23 "GO:0001578" "microtubule bundle formation" 1
0 0.751204043571831 2 26 "GO:0001649" "osteoblast differentiation" 1
0 0.984015754036821 3 13 "GO:0001656" "metanephros development" 1
0 0.0586285683631413 2 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.389489122492469
0 0.425928548091589 3 91 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.93534094998362
0 0.793662705289543 2 60 "GO:0001667" "ameboidal-type cell migration" 1
0 0.951448853229804 6 31 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.362316900157466 4 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 0.870116497204313
0 0.113987903631609 6 83 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 0.530225846412583
0 0.106838731354186 3 10 "GO:0001702" "gastrulation with mouth forming second" 0.525752077997266
0 0.289120042092181 2 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 0.799190352135529
0 0.985379449602593 2 20 "GO:0001708" "cell fate specification" 1
0 0.3664587101035 2 25 "GO:0001709" "cell fate determination" 0.873332200280157
0 0.991545871348331 4 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.0698343877006334 3 32 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.425766272269669
0 0.845197039311359 2 11 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 1
0 0.90610433117897 5 13 "GO:0001755;GO:0090497" "mesenchymal cell migration" 1
0 0.511119749915673 2 17 "GO:0001756" "somitogenesis" 1
0 0.529312996309693 2 47 "GO:0001764" "neuron migration" 1
0 0.026465081357669 2 137 "GO:0001775" "cell activation" 0.251166224503973
0 0.0787618921339174 2 12 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.460285493009023
0 0.0481172407777966 2 19 "GO:0001816" "cytokine production" 0.357827092799062
0 0.00123617863724469 2 107 "GO:0001817" "regulation of cytokine production" 0.0379031388312103
0 0.292440339615344 4 37 "GO:0001818" "negative regulation of cytokine production" 0.806132222480471
0 0.0340213303645668 2 47 "GO:0001819" "positive regulation of cytokine production" 0.279594312733859
0 0.0494765688849172 2 77 "GO:0001822" "kidney development" 0.360924296070401
0 0.616580828145963 3 15 "GO:0001824" "blastocyst development" 1
0 0.153529125400757 3 11 "GO:0001833" "inner cell mass cell proliferation" 0.61503118003819
0 0.925114014592737 2 24 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.0364844273288667 4 21 "GO:0001838;GO:0072175" "epithelial tube formation" 0.293199450267868
0 0.0228586248626821 2 12 "GO:0001841" "neural tube formation" 0.227786196756627
0 0.771623196456377 4 47 "GO:0001843;GO:0060606" "tube closure" 1
0 0.879154009861239 4 12 "GO:0001885" "endothelial cell development" 1
0 0.17563369867564 3 40 "GO:0001889" "liver development" 0.656731635010414
0 0.367331871138792 2 32 "GO:0001894" "tissue homeostasis" 0.873332200280157
0 0.991303505552716 2 28 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 1
0 0.671781878302879 2 16 "GO:0001919" "regulation of receptor recycling" 1
0 0.958457477373441 4 10 "GO:0001921" "positive regulation of receptor recycling" 1
0 0.136777478918632 4 98 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.592603294532247
0 0.985636343849742 3 26 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.490361999722759 2 13 "GO:0001944" "vasculature development" 0.992174076596405
0 0.00431169572780724 4 48 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.0788367851882553
