"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0230696224035825 -1 31 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.712092918389615 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.387070799920179 3 19 "GO:0000018" "regulation of DNA recombination" 1
0 1 2 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.862801165854663 7 40 "GO:0000041" "transition metal ion transport" 1
0 1 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 0.712092918389615 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.330127829408073 5 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 0.882197669079462 3 53 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.574675335434688 7 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.955644935272445 2 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.989634227884085 4 68 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.345931041730962 4 41 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.918018280425127 4 46 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.720198255745385 3 31 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.996731832139728 10 182 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.879675976762413 7 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.843283459348329 2 70 "GO:0000165" "MAPK cascade" 1
0 0.89255427183885 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.44556888219638 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.968508656520439 -1 43 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.695880352109249 2 114 "GO:0000209" "protein polyubiquitination" 1
