"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 -1 31 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.326088495907847 2 19 "GO:0000018" "regulation of DNA recombination" 1
0 0.468683774795235 2 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.227693406667959 4 40 "GO:0000041" "transition metal ion transport" 1
0 0.560561353568688 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 0.468683774795235 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 5 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 1 3 53 "GO:0000075" "cell cycle checkpoint signaling" 1
0 1 3 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 1 2 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.926823975483148 2 68 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.725385687126077 2 41 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.310446252063167 4 46 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.294904137858569 4 31 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.935241982472685 3 182 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 7 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.934016158067525 4 70 "GO:0000165" "MAPK cascade" 1
0 0.118667798982585 6 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.495360663483029 -1 43 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.706714347258857 10 114 "GO:0000209" "protein polyubiquitination" 1
0 0.640000399113519 2 141 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.134195550096546 2 21 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.55637522498648 3 30 "GO:0000272" "polysaccharide catabolic process" 1
0 0.803016759897923 3 89 "GO:0000278" "mitotic cell cycle" 1
0 0.99749644474114 2 289 "GO:0000280;GO:0048285" "organelle fission" 1
0 1 2 36 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.121645903246295 6 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.826073690602308 2 72 "GO:0000302" "response to reactive oxygen species" 1
0 1 5 10 "GO:0000305" "response to oxygen radical" 1
0 0.0221476317143698 2 68 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 1 4 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 7 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.0632916012492615 2 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
