"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 -1 31 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.382114200027501 -1 10 "GO:0000003" "obsolete reproduction" 1
0 1 2 19 "GO:0000018" "regulation of DNA recombination" 1
0 1 6 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.566938514689225 2 40 "GO:0000041" "transition metal ion transport" 1
0 0.122104866462294 6 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 5 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 0.718906423219631 2 53 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.47920497986805 2 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 1 2 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.96254457887477 4 68 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.302751122920727 4 41 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 1 4 46 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 5 31 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.148353865324423 7 182 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.559035259426413 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.847762376036005 2 70 "GO:0000165" "MAPK cascade" 1
0 1 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.752836384779696 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.141711759034964 -1 43 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.626244643771432 4 114 "GO:0000209" "protein polyubiquitination" 1
0 0.798760039588913 2 141 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.259096339522417 2 21 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 1 5 30 "GO:0000272" "polysaccharide catabolic process" 1
0 0.926590592215822 3 89 "GO:0000278" "mitotic cell cycle" 1
0 0.931787425606679 6 289 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.509650273809271 4 36 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.249276512696371 3 72 "GO:0000302" "response to reactive oxygen species" 1
0 1 5 10 "GO:0000305" "response to oxygen radical" 1
0 1 3 68 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 1 4 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 2 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 6 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.952271577737412 6 63 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.775586887503884 5 31 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 5 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 2 13 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.164979143012745 -1 30 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 1
0 1 -1 12 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 1 3 16 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.0403535097165992 3 98 "GO:0000902" "cell morphogenesis" 0.653858088334815
0 0.0150889291701425 -1 69 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 0.445976135818148
0 0.562769098579772 3 62 "GO:0000910" "cytokinesis" 1
0 1 5 12 "GO:0000966" "RNA 5'-end processing" 1
0 0.176962994132148 3 98 "GO:0001101" "response to acid chemical" 1
0 0.688385559498452 2 50 "GO:0001501" "skeletal system development" 1
0 0.718906423219631 2 53 "GO:0001503" "ossification" 1
0 0.276754288795897 -1 39 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 0.0818440448949381 4 22 "GO:0001508" "action potential" 0.932086751289209
0 1 2 22 "GO:0001510" "RNA methylation" 1
0 0.312156327763445 2 24 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.0607420790711107 3 122 "GO:0001525" "angiogenesis" 0.834988053245666
0 0.786166115629046 2 32 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.411175202487746 3 11 "GO:0001541" "ovarian follicle development" 1
0 0.873060999675867 2 104 "GO:0001558" "regulation of cell growth" 1
0 1 2 37 "GO:0001568" "blood vessel development" 1
0 0.465269719841793 3 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 1 4 19 "GO:0001570" "vasculogenesis" 1
0 0.294520421618355 3 23 "GO:0001578" "microtubule bundle formation" 1
0 1 2 26 "GO:0001649" "osteoblast differentiation" 1
0 1 2 13 "GO:0001656" "metanephros development" 1
0 0.490427965407113 3 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.135282483583787 2 91 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.540331336813945 2 60 "GO:0001667" "ameboidal-type cell migration" 1
0 1 3 31 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 2 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.350874656570131 2 83 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 0.382114200027501 5 10 "GO:0001702" "gastrulation with mouth forming second" 1
0 1 3 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 1
0 0.618424120467919 3 20 "GO:0001708" "cell fate specification" 1
0 0.329696196712307 3 25 "GO:0001709" "cell fate determination" 1
0 0.514405189550226 7 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 1 4 32 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 1 6 11 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 1
0 0.465269719841793 4 13 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 1 4 17 "GO:0001756" "somitogenesis" 1
0 0.655196181210232 2 47 "GO:0001764" "neuron migration" 1
0 0.628353157233531 2 137 "GO:0001775" "cell activation" 1
0 1 2 12 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 0.223732007162364 2 19 "GO:0001816" "cytokine production" 1
0 0.0639975066977169 3 107 "GO:0001817" "regulation of cytokine production" 0.855995946249229
0 0.0282245607304177 2 37 "GO:0001818" "negative regulation of cytokine production" 0.54613154889051
0 0.380888211498043 4 47 "GO:0001819" "positive regulation of cytokine production" 1
0 0.294739848100621 4 77 "GO:0001822" "kidney development" 1
0 1 2 15 "GO:0001824" "blastocyst development" 1
0 1 2 11 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.100525454022372 5 24 "GO:0001837" "epithelial to mesenchymal transition" 0.991817969636571
0 0.636390509515194 2 21 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 1 2 12 "GO:0001841" "neural tube formation" 1
0 0.380888211498043 5 47 "GO:0001843;GO:0060606" "neural tube closure" 1
0 0.0164961918247807 3 12 "GO:0001885" "endothelial cell development" 0.452193211445807
0 0.566938514689225 2 40 "GO:0001889" "liver development" 1
0 0.786166115629046 2 32 "GO:0001894" "tissue homeostasis" 1
0 0.74061243893797 2 28 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 1
0 0.53725671004198 4 16 "GO:0001919" "regulation of receptor recycling" 1
0 1 5 10 "GO:0001921" "positive regulation of receptor recycling" 1
0 0.682659628306976 2 98 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.347110171811853 2 26 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 1 4 13 "GO:0001944" "vasculature development" 1
0 0.666562020981132 4 48 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 0.171632382173915 6 16 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 0.411175202487746 3 11 "GO:0001958;GO:0036075" "replacement ossification" 1
0 1 3 20 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 1 2 15 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.382114200027501 2 10 "GO:0001974" "blood vessel remodeling" 1
0 0.203526542113222 2 157 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 0.154746827403531 2 15 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 0.0915041754250504 5 11 "GO:0002026" "regulation of the force of heart contraction" 0.944910992860754
0 0.223732007162364 5 19 "GO:0002027" "regulation of heart rate" 1
0 0.000453785593830374 2 15 "GO:0002028" "regulation of sodium ion transport" 0.0334960995742198
0 0.465269719841793 2 13 "GO:0002040" "sprouting angiogenesis" 1
0 0.53725671004198 4 16 "GO:0002062" "chondrocyte differentiation" 1
0 0.237239233714269 2 53 "GO:0002064" "epithelial cell development" 1
0 1 5 13 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 1
0 1 2 15 "GO:0002066" "columnar/cuboidal epithelial cell development" 1
