"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.712155944176588 -1 31 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.919684994237686 -1 10 "GO:0000003" "obsolete reproduction" 1
0 0.353724065218406 3 19 "GO:0000018" "regulation of DNA recombination" 1
0 0.101644124607134 3 10 "GO:0000038" "very long-chain fatty acid metabolic process" 0.77319366542755
0 0.22391027681875 2 40 "GO:0000041" "transition metal ion transport" 0.992015698240416
0 0.894758165365575 6 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 0.750577429261864 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.101644124607134 5 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.77319366542755
0 0.0918044459354795 2 53 "GO:0000075" "cell cycle checkpoint signaling" 0.76554920815653
0 0.302482029333155 5 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.0034994743552424 2 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.197219504624716
0 0.018618589568294 5 68 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.438371934674016
0 0.262377189138668 2 41 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.47688995952277 2 46 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.422480205544888 2 31 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.633864565301965 3 182 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.780031830083441 4 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.182591251079776 6 70 "GO:0000165" "MAPK cascade" 0.952629223565428
0 0.828198399463243 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.934811221550123 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.940316989335438 -1 43 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.27834739170007 4 114 "GO:0000209" "protein polyubiquitination" 1
0 0.335853046733672 4 141 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.0353586997172245 4 21 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.506977615369989
0 0.980107936780709 2 30 "GO:0000272" "polysaccharide catabolic process" 1
0 0.000611182258030264 3 89 "GO:0000278" "mitotic cell cycle" 0.0716521317796657
0 0.00366137565033342 2 289 "GO:0000280;GO:0048285" "organelle fission" 0.197219504624716
0 0.936913463123982 2 36 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.260937328560423 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.603484160150277 2 72 "GO:0000302" "response to reactive oxygen species" 1
0 0.101644124607134 5 10 "GO:0000305" "response to oxygen radical" 0.77319366542755
0 0.136662367380744 2 68 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.884609045313962
0 0.138927562058841 2 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.884609045313962
0 7.84225702016114e-05 4 22 "GO:0000387" "spliceosomal snRNP assembly" 0.028586604136555
0 0.0291488378689773 3 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.480112676635304
0 0.0819752860849878 6 14 "GO:0000722;GO:0006312" "mitotic recombination" 0.726753613007419
0 0.0905948852066379 5 63 "GO:0000723;GO:0032200" "telomere maintenance" 0.76554920815653
0 0.712155944176588 2 31 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.838824258467949 6 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
