"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.854340050263192 -1 31 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.462434903784991 -1 10 "GO:0000003" "obsolete reproduction" 1
0 1 2 19 "GO:0000018" "regulation of DNA recombination" 1
0 1 3 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.916845300542344 7 40 "GO:0000041" "transition metal ion transport" 1
0 1 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 4 10 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.836875872029091 5 53 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.615174046191873 2 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.448883161886065 2 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.921982428872656 2 68 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.921869421303402 5 41 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.942793411419214 2 46 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 2 31 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.414144280396559 2 182 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.652022703761716 2 17 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.929490445202989 4 70 "GO:0000165" "MAPK cascade" 1
0 1 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.527820854627065 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.740265762688367 -1 43 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.689939507785332 3 114 "GO:0000209" "protein polyubiquitination" 1
0 0.859131186308385 4 141 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.728636126129509 2 21 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.00792919112768187 2 30 "GO:0000272" "polysaccharide catabolic process" 0.137211718419641
0 0.791323852681325 3 89 "GO:0000278" "mitotic cell cycle" 1
0 0.999672124123591 2 289 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.646476656699342 2 36 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.636698662808146 2 72 "GO:0000302" "response to reactive oxygen species" 1
0 0.462434903784991 3 10 "GO:0000305" "response to oxygen radical" 1
0 0.784950111750781 2 68 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.553829567932376 2 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.74499737630896 2 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.788405631629788 3 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 14 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.980203243010277 5 63 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.854340050263192 3 31 "GO:0000724;GO:0000725" "recombinational repair" 1
0 1 2 15 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 5 13 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.844984488559515 -1 30 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 1
0 1 -1 12 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.0675322726417737 2 16 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.474629354945182
0 0.134375141986106 2 98 "GO:0000902" "cell morphogenesis" 0.721858916383583
0 0.119643797155487 -1 69 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 0.685580947212691
0 0.89470408120136 3 62 "GO:0000910" "cytokinesis" 1
0 1 2 12 "GO:0000966" "RNA 5'-end processing" 1
0 0.236087461161576 3 98 "GO:0001101" "response to acid chemical" 0.910101180067739
0 0.0778378474367575 4 50 "GO:0001501" "skeletal system development" 0.524855715230628
0 0.396178476126646 2 53 "GO:0001503" "ossification" 1
0 0.0276366074841198 -1 39 "GO:0001505" "obsolete regulation of neurotransmitter levels" 0.281174136491879
0 0.000211400379171245 2 22 "GO:0001508" "action potential" 0.012037741591094
0 1 5 22 "GO:0001510" "RNA methylation" 1
0 0.42800366319631 3 24 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.198339938732745 3 122 "GO:0001525" "angiogenesis" 0.855609302801647
0 0.581791176364207 3 32 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 1 3 11 "GO:0001541" "ovarian follicle development" 1
0 0.17297862514679 2 104 "GO:0001558" "regulation of cell growth" 0.803604661812476
0 0.18046508496519 3 37 "GO:0001568" "blood vessel development" 0.813613464193671
0 1 4 13 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.692703511230764 2 19 "GO:0001570" "vasculogenesis" 1
0 1 2 23 "GO:0001578" "microtubule bundle formation" 1
0 0.80116883623814 2 26 "GO:0001649" "osteoblast differentiation" 1
0 1 2 13 "GO:0001656" "metanephros development" 1
0 0.580706713889621 4 14 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.306753673260823 3 91 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.491144610039288 2 60 "GO:0001667" "ameboidal-type cell migration" 1
0 0.285443396603234 3 31 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 2 18 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.564437003728469 3 83 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 0.462434903784991 5 10 "GO:0001702" "gastrulation with mouth forming second" 1
0 0.340754216206532 2 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 1
0 0.000864096468114052 2 20 "GO:0001708" "cell fate specification" 0.030213057209672
0 0.18788942826412 2 25 "GO:0001709" "cell fate determination" 0.826630530972166
0 0.605967567098558 6 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.123322211099868 4 32 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.690396535736059
0 0.0248463633949957 4 11 "GO:0001754;GO:0046530" "eye photoreceptor cell differentiation" 0.259260744744641
0 1 5 13 "GO:0001755;GO:0090497" "mesenchymal cell migration" 1
0 0.652022703761716 4 17 "GO:0001756" "somitogenesis" 1
0 0.312696551474561 4 47 "GO:0001764" "neuron migration" 1
0 0.725089489852752 2 137 "GO:0001775" "cell activation" 1
0 1 3 12 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 0.692703511230764 2 19 "GO:0001816" "cytokine production" 1
0 0.960118729050885 5 107 "GO:0001817" "regulation of cytokine production" 1
