"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.433561180971915 -1 24 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.943633158585933
0 0.793222019383235 2 15 "GO:0000018" "regulation of DNA recombination" 1
0 1 6 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.760721234687839 2 39 "GO:0000041" "transition metal ion transport" 1
0 0.744819633780052 4 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.0125852686855437 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.173209176531712
0 0.959495726781142 3 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 1 3 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.212264358817127 2 24 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.712709688768538
0 0.00306426694450831 4 63 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.0608660181503914
0 0.710465064509159 2 36 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.942570184550532 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.800022716170566 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.572679411667321 5 174 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.449251000001618 7 15 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.961152649663325
0 0.117057228376972 2 66 "GO:0000165" "MAPK cascade" 0.542719877020507
0 0.0819458714077944 10 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.452950601292462
0 0.212264358817127 -1 24 "GO:0000186" "obsolete activation of MAPKK activity" 0.712709688768538
0 0.220007149645238 -1 41 "GO:0000187" "obsolete activation of MAPK activity" 0.725792817098888
0 0.00583183852860346 8 103 "GO:0000209" "protein polyubiquitination" 0.103718730538995
0 0.685544490680004 4 133 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 2 17 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.9278171716897 2 25 "GO:0000272" "polysaccharide catabolic process" 1
0 0.744944836018189 2 84 "GO:0000278" "mitotic cell cycle" 1
0 0.196693794093578 2 256 "GO:0000280;GO:0048285" "organelle fission" 0.704290682077005
0 0.0407134014105649 3 33 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.332078639242381
0 1 4 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.624646435438966 3 64 "GO:0000302" "response to reactive oxygen species" 1
0 1 2 10 "GO:0000305" "response to oxygen radical" 1
0 0.654882337621986 3 66 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.744819633780052 2 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 3 21 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 24 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 5 13 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.922120844034061 2 55 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.706084119366235 2 24 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.770290618091127 3 14 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 1 2 12 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.9278171716897 -1 25 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 1
0 0.650202002592292 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.157035981217548 2 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.624359657382769
0 0.417919264391053 2 81 "GO:0000902" "cell morphogenesis" 0.922355148427973
0 0.683847646910563 -1 57 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.230767313205403 2 59 "GO:0000910" "cytokinesis" 0.752086217648697
0 0.136278216949251 3 85 "GO:0001101" "response to acid chemical" 0.588459943668734
0 0.547574304802297 3 49 "GO:0001501" "skeletal system development" 1
0 0.307218393055717 2 46 "GO:0001503" "ossification" 0.832932626000198
0 0.710465064509159 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 0.578051049837272 3 19 "GO:0001508" "action potential" 1
0 0.84918469336046 2 18 "GO:0001510" "RNA methylation" 1
0 0.864247673556193 2 19 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.645083695382774 2 108 "GO:0001525" "angiogenesis" 1
0 0.815267223007629 3 30 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 1 3 10 "GO:0001541" "ovarian follicle development" 1
0 0.721108302930929 2 93 "GO:0001558" "regulation of cell growth" 1
