"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.595773087479922 -1 24 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 3 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.658314025780697 6 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.186006185026365 3 39 "GO:0000041" "transition metal ion transport" 0.925420767374216
0 0.120122601082103 6 13 "GO:0000045;GO:1905037" "autophagosome assembly" 0.778174920372712
0 0.907338172706961 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.907576925207975 3 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.455647195501974 3 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.909423422039609 2 24 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.101002714486472 5 63 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.704066405214814
0 0.66417326602722 3 36 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.970487826278051 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.961702457115534 3 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.729498053102513 7 174 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.0770118364599803 2 15 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.64235681600952
0 0.217970039476218 5 66 "GO:0000165" "MAPK cascade" 1
0 0.973233829263272 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.39860844598061 -1 24 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.23634272833346 -1 41 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.519273541466196 3 103 "GO:0000209" "protein polyubiquitination" 1
0 0.995666422611024 3 133 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.130650096466407 2 17 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.802413264363189
0 0.979909674757772 2 25 "GO:0000272" "polysaccharide catabolic process" 1
0 0.926089136207852 2 84 "GO:0000278" "mitotic cell cycle" 1
0 0.850332346660268 2 256 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.727918244773414 2 33 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.907338172706961 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.615226054333479 2 64 "GO:0000302" "response to reactive oxygen species" 1
0 0.907338172706961 5 10 "GO:0000305" "response to oxygen radical" 1
0 0.980543062721379 3 66 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.540487524030889 2 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.852595263909107 7 21 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.975389369934459 2 24 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 4 13 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.98507115217737 3 55 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.779325344573396 3 24 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 7 14 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.75676104410514 2 12 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.923405864466361 -1 25 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 1
0 0.907338172706961 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.342106084965853 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.346730348283294 2 81 "GO:0000902" "cell morphogenesis" 1
0 0.311297424067294 -1 57 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.73087888425912 3 59 "GO:0000910" "cytokinesis" 1
0 0.1730763342828 2 85 "GO:0001101" "response to acid chemical" 0.909735495241347
0 0.918296245372332 2 49 "GO:0001501" "skeletal system development" 1
0 0.254703568591411 2 46 "GO:0001503" "ossification" 1
0 0.0613864904473601 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 0.562757929490943
0 0.00968039219345629 3 19 "GO:0001508" "action potential" 0.222246686462409
0 0.986215560729013 2 18 "GO:0001510" "RNA methylation" 1
0 0.799181147549722 2 19 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.092603826833025 2 108 "GO:0001525" "angiogenesis" 0.666959623030222
0 0.292234583653152 2 30 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.658314025780697 3 10 "GO:0001541" "ovarian follicle development" 1
0 0.789020373467854 4 93 "GO:0001558" "regulation of cell growth" 1
0 0.837725997053517 2 32 "GO:0001568" "blood vessel development" 1
0 1 5 12 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.919451284241224 3 18 "GO:0001570" "vasculogenesis" 1
0 0.893161162356332 5 23 "GO:0001578" "microtubule bundle formation" 1
0 0.923405864466361 2 25 "GO:0001649" "osteoblast differentiation" 1
0 0.796083502300459 2 13 "GO:0001656" "metanephros development" 1
0 0.236952234348216 3 12 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.314464254847789 3 84 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.636286306152304 2 55 "GO:0001667" "ameboidal-type cell migration" 1
0 0.0108532168185144 2 29 "GO:0001676" "long-chain fatty acid metabolic process" 0.232727501551553
0 0.644357636763071 2 15 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 0.254468238596218 6 81 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 0.799181147549722 3 19 "GO:0001704" "formation of primary germ layer" 1
0 0.829665493872734 2 14 "GO:0001707" "mesoderm formation" 1
0 0.0224914295837546 2 18 "GO:0001708" "cell fate specification" 0.355773646232923
0 0.356723270910305 2 23 "GO:0001709" "cell fate determination" 1
0 0.971828257568498 2 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.226312578288306 3 28 "GO:0001736;GO:0007164" "establishment of tissue polarity" 1
0 0.75676104410514 4 12 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 0.195197971097124 4 15 "GO:0001756" "somitogenesis" 0.925420767374216
0 0.716966879547185 2 43 "GO:0001764" "neuron migration" 1
0 0.752916610244282 2 126 "GO:0001775" "cell activation" 1
0 1 3 10 "GO:0001776" "leukocyte homeostasis" 1
0 0.195197971097124 2 15 "GO:0001816" "cytokine production" 0.925420767374216
0 0.429199122886574 2 94 "GO:0001817" "regulation of cytokine production" 1
0 0.362002638512509 2 32 "GO:0001818" "negative regulation of cytokine production" 1
0 0.794529824429561 2 41 "GO:0001819" "positive regulation of cytokine production" 1
0 0.193144123608689 4 69 "GO:0001822" "kidney development" 0.925420767374216
0 0.971828257568498 2 15 "GO:0001824" "blastocyst development" 1
0 0.92696817888209 3 11 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.235065605049007 2 20 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.799181147549722 2 19 "GO:0001838;GO:0072175" "epithelial tube formation" 1
0 0.421055642493305 6 11 "GO:0001841" "neural tube formation" 1
0 0.457896757716384 5 44 "GO:0001843;GO:0060606" "neural tube closure" 1
0 0.142027573024539 2 10 "GO:0001885" "endothelial cell development" 0.802413264363189
0 0.956561668154585 3 35 "GO:0001889" "liver development" 1
0 0.961702457115534 4 29 "GO:0001894" "tissue homeostasis" 1
0 0.00253196337049453 2 22 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 0.0975064261249628
0 0.829665493872734 2 14 "GO:0001919" "regulation of receptor recycling" 1
0 0.952621010903269 2 94 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.975389369934459 2 24 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.796083502300459 4 13 "GO:0001944" "vasculature development" 1
0 0.716966879547185 5 43 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 0.977799988043343 4 16 "GO:0001952" "regulation of cell-matrix adhesion" 1
