"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.935647465555974 -1 24 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.0997576490999241 2 15 "GO:0000018" "regulation of DNA recombination" 1
0 1 3 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.824888633711461 6 39 "GO:0000041" "transition metal ion transport" 1
0 0.171719581210919 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 0.533830717587033 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.0275543598625459 3 48 "GO:0000075" "cell cycle checkpoint signaling" 0.857096717508472
0 0.129925000470417 5 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.397759197757887 2 24 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.933829521579069 4 63 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.0139645274256699 3 36 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.689287528611709
0 0.000582194511524284 2 44 "GO:0000096" "sulfur amino acid metabolic process" 0.123933458054649
0 0.0488618771649437 3 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.605725726342029 3 174 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.490171974574677 2 15 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.596478749777479 2 66 "GO:0000165" "MAPK cascade" 1
0 0.447026209810175 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.61142446614178 -1 24 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.154250942063481 -1 41 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.998315062620517 10 103 "GO:0000209" "protein polyubiquitination" 1
0 0.0423298608452327 4 133 "GO:0000226" "microtubule cytoskeleton organization" 0.96925426890788
0 0.333081826185073 2 17 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.12373207011965 2 25 "GO:0000272" "polysaccharide catabolic process" 1
0 0.268415092924033 2 84 "GO:0000278" "mitotic cell cycle" 1
0 0.00141378199387544 2 256 "GO:0000280;GO:0048285" "organelle fission" 0.190557615888783
0 0.335708898590703 2 33 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.533830717587033 3 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.0721148399154521 3 64 "GO:0000302" "response to reactive oxygen species" 1
0 0.239557564999836 2 10 "GO:0000305" "response to oxygen radical" 1
0 0.719707570106358 2 66 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 0.91411611046117 2 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.898331179484203 2 21 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.220297616347484 8 24 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 0.00286473543977159 2 13 "GO:0000722;GO:0006312" "mitotic recombination" 0.337859735928062
0 0.226410792569914 3 55 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.103712908730465 6 24 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.721835436807733 6 14 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.136523994456996 2 12 "GO:0000731" "DNA synthesis involved in DNA repair" 1
