"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.88530656959371 -1 24 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 3 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.594030132021511 3 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.665138278286459 4 39 "GO:0000041" "transition metal ion transport" 1
0 1 3 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.594030132021511 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.927426011728898 2 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.933324101912488 2 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.342312976830392 3 24 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.803754508119044 5 63 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.376430962693071 4 36 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.743418743631364 3 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.726708571316441 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.745552192563334 2 174 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 4 15 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.981435759454138 6 66 "GO:0000165" "MAPK cascade" 1
0 0.939089866935577 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.624986629477158 -1 24 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.879607790143043 -1 41 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.949271840356631 3 103 "GO:0000209" "protein polyubiquitination" 1
0 0.977117261911317 4 133 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.437469504375501 2 17 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.163699229466196 2 25 "GO:0000272" "polysaccharide catabolic process" 1
0 0.593936349552425 2 84 "GO:0000278" "mitotic cell cycle" 1
0 0.979192414006002 4 256 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.550109612228561 4 33 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 10 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.00768885297321092 2 64 "GO:0000302" "response to reactive oxygen species" 0.558000435893896
0 0.210823399036572 2 10 "GO:0000305" "response to oxygen radical" 1
