"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 -1 24 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 1 7 15 "GO:0000018" "regulation of DNA recombination" 1
0 1 6 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 1 4 39 "GO:0000041" "transition metal ion transport" 1
0 1 4 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.372819460435528 3 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 1 4 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.797627401744447 3 24 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.919882729538537 3 63 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.198583028930076 3 36 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.81787864862514
0 0.946749487167349 4 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.855011611366171 2 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.00379321529321011 2 174 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.153317182241691
0 0.0130607776478731 2 15 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.239278518655695
0 0.249317459684439 5 66 "GO:0000165" "MAPK cascade" 0.885639566029154
0 0.321399800780639 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.99690896009854
0 1 -1 24 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.496387111651168 -1 41 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.965825267041356 2 103 "GO:0000209" "protein polyubiquitination" 1
0 0.000809093693736808 4 133 "GO:0000226" "microtubule cytoskeleton organization" 0.0636149916700565
0 1 2 17 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 1 2 25 "GO:0000272" "polysaccharide catabolic process" 1
0 0.456823669788115 3 84 "GO:0000278" "mitotic cell cycle" 1
0 0.482071472550548 2 256 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.636105062210359 3 33 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.131927773006266 10 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.730051928629982
0 0.986035859598512 2 64 "GO:0000302" "response to reactive oxygen species" 1
0 1 2 10 "GO:0000305" "response to oxygen radical" 1
0 0.0598276887360547 3 66 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.535046676042347
0 0.578858316549418 8 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.395138202264774 2 21 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.797627401744447 2 24 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 13 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.877348309372161 4 55 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 1 7 24 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 6 14 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.178078004710871 3 12 "GO:0000731" "DNA synthesis involved in DNA repair" 0.795251299518942
0 1 -1 25 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 1
0 1 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 1 2 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.773927225260683 3 81 "GO:0000902" "cell morphogenesis" 1
0 0.719197726616542 -1 57 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.740845083003497 3 59 "GO:0000910" "cytokinesis" 1
0 0.917717910533737 3 85 "GO:0001101" "response to acid chemical" 1
0 0.0358209846504774 3 49 "GO:0001501" "skeletal system development" 0.417248136021302
0 0.575238825080277 2 46 "GO:0001503" "ossification" 1
0 0.683245556066724 -1 36 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 1 4 19 "GO:0001508" "action potential" 1
0 0.105148120970733 5 18 "GO:0001510" "RNA methylation" 0.674879266230521
0 0.347927762184374 2 19 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.0862503501943528 3 108 "GO:0001525" "angiogenesis" 0.614167587987712
0 0.864369157325541 3 30 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 1 3 10 "GO:0001541" "ovarian follicle development" 1
0 0.857393517651718 2 93 "GO:0001558" "regulation of cell growth" 1
0 0.619215228423251 2 32 "GO:0001568" "blood vessel development" 1
0 0.549867480746987 3 12 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 1 2 18 "GO:0001570" "vasculogenesis" 1
0 0.440722392630226 2 23 "GO:0001578" "microtubule bundle formation" 1
0 0.484353423942646 2 25 "GO:0001649" "osteoblast differentiation" 1
0 0.201977451117814 2 13 "GO:0001656" "metanephros development" 0.81787864862514
0 1 2 12 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.797797568544032 3 84 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.278174747707788 4 55 "GO:0001667" "ameboidal-type cell migration" 0.930701682490418
0 1 3 29 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.25062614110205 2 15 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 0.885639566029154
0 0.421985265861219 2 81 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 0.347927762184374 2 19 "GO:0001704" "formation of primary germ layer" 1
0 0.605985328488951 4 14 "GO:0001707" "mesoderm formation" 1
0 1 3 18 "GO:0001708" "cell fate specification" 1
0 0.440722392630226 3 23 "GO:0001709" "cell fate determination" 1
0 0.631368127588016 2 15 "GO:0001731" "formation of translation preinitiation complex" 1
0 1 2 28 "GO:0001736;GO:0007164" "establishment of planar polarity" 1
0 1 3 12 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 0.000208567563613454 4 15 "GO:0001756" "somitogenesis" 0.0393566992538588
0 0.00543798682260536 4 43 "GO:0001764" "neuron migration" 0.169403471308732
0 0.0609025199617165 2 126 "GO:0001775" "cell activation" 0.539544859942531
0 0.485774406179908 3 10 "GO:0001776" "leukocyte homeostasis" 1
0 0.631368127588016 2 15 "GO:0001816" "cytokine production" 1
0 0.568044474432556 4 94 "GO:0001817" "regulation of cytokine production" 1
0 0.339427592032604 6 32 "GO:0001818" "negative regulation of cytokine production" 1
0 0.750592746027864 2 41 "GO:0001819" "positive regulation of cytokine production" 1
0 0.15350855955357 3 69 "GO:0001822" "kidney development" 0.758075164798706
0 0.631368127588016 3 15 "GO:0001824" "blastocyst development" 1
0 0.0295957441079906 3 11 "GO:0001833" "inner cell mass cell proliferation" 0.367415586393278
0 0.371711011624914 3 20 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.119190242489445 2 19 "GO:0001838;GO:0072175" "epithelial tube formation" 0.70950153809963
0 0.518885024410644 3 11 "GO:0001841" "neural tube formation" 1
0 0.313148721348117 3 44 "GO:0001843;GO:0060606" "tube closure" 0.988146550474744
0 1 2 10 "GO:0001885" "endothelial cell development" 1
0 0.393172862694942 4 35 "GO:0001889" "liver development" 1
0 1 4 29 "GO:0001894" "tissue homeostasis" 1
0 0.768765145136523 2 22 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 1
0 0.605985328488951 2 14 "GO:0001919" "regulation of receptor recycling" 1
0 0.0789629431732582 3 94 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.590942721268124
0 0.797627401744447 2 24 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.578858316549418 2 13 "GO:0001944" "vasculature development" 1
0 0.0186717688054099 2 43 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.298590065557699
0 0.0792384105567262 4 16 "GO:0001952" "regulation of cell-matrix adhesion" 0.590942721268124
0 1 3 10 "GO:0001958;GO:0036075" "replacement ossification" 1
0 0.698135332340221 3 18 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 1 2 13 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.0115096416534597 2 145 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.221619324490596
0 0.226207161335482 2 14 "GO:0002011" "morphogenesis of an epithelial sheet" 0.852001823233642
0 1 2 11 "GO:0002026" "regulation of the force of heart contraction" 1
0 1 2 18 "GO:0002027" "regulation of heart rate" 1
0 0.605985328488951 2 14 "GO:0002028" "regulation of sodium ion transport" 1
0 1 2 11 "GO:0002040" "sprouting angiogenesis" 1
0 0.0565991898118066 2 14 "GO:0002062" "chondrocyte differentiation" 0.526121532881178
0 0.35788787898957 3 47 "GO:0002064" "epithelial cell development" 1
0 1 2 12 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 1
0 1 2 14 "GO:0002066" "columnar/cuboidal epithelial cell development" 1
0 1 2 13 "GO:0002090;GO:0002092" "regulation of receptor internalization" 1
