"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.753363886952868 -1 24 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.206983137145898 2 15 "GO:0000018" "regulation of DNA recombination" 1
0 0.106390568829449 5 10 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.380708172153264 4 39 "GO:0000041" "transition metal ion transport" 1
0 1 6 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.44163954976176 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.763997044644598 3 48 "GO:0000075" "cell cycle checkpoint signaling" 1
0 0.512625836146076 3 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 1 3 24 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.700166213115263 2 63 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.612481806902932 5 36 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 1 2 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 4 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.657975301359573 5 174 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 7 15 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 1 2 66 "GO:0000165" "MAPK cascade" 1
0 0.530400339412524 2 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 -1 24 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.908733758919941 -1 41 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.531059388255028 3 103 "GO:0000209" "protein polyubiquitination" 1
0 0.879079610800544 2 133 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.628837321175101 2 17 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.417472459730629 2 25 "GO:0000272" "polysaccharide catabolic process" 1
0 0.992687427277308 3 84 "GO:0000278" "mitotic cell cycle" 1
0 0.865674755740221 2 256 "GO:0000280;GO:0048285" "organelle fission" 1
0 1 2 33 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 1 2 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.710327538528967 2 64 "GO:0000302" "response to reactive oxygen species" 1
0 0.44163954976176 4 10 "GO:0000305" "response to oxygen radical" 1
0 0.517981709330626 2 66 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 1
0 1 4 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.112474106900001 7 21 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.397311961750171 2 24 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 7 13 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.959815960262801 3 55 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 1 5 24 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.557828409483462 3 14 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.503111261568523 4 12 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 1 -1 25 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 1
0 1 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.041078418643522 3 14 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.844870275916585 2 81 "GO:0000902" "cell morphogenesis" 1
0 0.841207964320833 -1 57 "GO:0000904" "obsolete cell morphogenesis involved in differentiation" 1
0 0.968220326907656 3 59 "GO:0000910" "cytokinesis" 1
0 0.349321184052816 2 85 "GO:0001101" "response to acid chemical" 1
0 0.942876786074309 4 49 "GO:0001501" "skeletal system development" 1
0 0.931899789270815 2 46 "GO:0001503" "ossification" 1
