delta.rank	pval	level	nseqs	term	name	p.adj
0	0.590102176017214	-1	24	GO:0000002	obsolete mitochondrial genome maintenance	1
0	0.718662041968502	3	15	GO:0000018	regulation of DNA recombination	1
0	0.570526300675496	2	10	GO:0000038	very long-chain fatty acid metabolic process	1
0	0.8360784381014	2	39	GO:0000041	transition metal ion transport	1
0	0.666784062057533	2	13	GO:0000045;GO:1905037	autophagosome assembly	1
0	0.0412717377470473	-1	10	GO:0000060	obsolete protein import into nucleus, translocation	0.329999021731688
0	0.348129446232296	2	48	GO:0000075	cell cycle checkpoint signaling	0.843286604673097
0	0.921042084386229	4	30	GO:0000077;GO:0031570	DNA integrity checkpoint signaling	1
0	0.30730377332969	2	24	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.825604577540896
0	0.0114821663090196	2	63	GO:0000082;GO:0044843	G1/S transition of mitotic cell cycle	0.172393090608485
0	0.952535968988417	2	36	GO:0000086;GO:0044839	G2/M transition of mitotic cell cycle	1
0	0.703448163355063	2	44	GO:0000096	sulfur amino acid metabolic process	1
0	0.420879586688136	2	29	GO:0000097	sulfur amino acid biosynthetic process	0.917089815335465
0	0.334935393606448	4	174	GO:0000122	negative regulation of transcription by RNA polymerase II	0.840295565421708
0	0.346004056350115	2	15	GO:0000132;GO:0040001;GO:0051294	establishment of mitotic spindle localization	0.840295565421708
0	0.0160750493997079	2	66	GO:0000165	MAPK cascade	0.202272620274089
0	0.728461802401424	3	31	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	1
0	0.0104926943681887	-1	24	GO:0000186	obsolete activation of MAPKK activity	0.164997618939767
0	0.427380831729475	-1	41	GO:0000187	obsolete activation of MAPK activity	0.924799684262778
0	0.00141217313884705	2	103	GO:0000209	protein polyubiquitination	0.0389461606147036
0	0.644524249348195	2	133	GO:0000226	microtubule cytoskeleton organization	1
0	1	2	17	GO:0000271;GO:0033692;GO:0034637	obsolete cellular carbohydrate biosynthetic process	1
0	0.879369248441587	5	25	GO:0000272	polysaccharide catabolic process	1
0	0.68512882193748	2	84	GO:0000278	mitotic cell cycle	1
0	0.0931810176993783	5	256	GO:0000280;GO:0048285	organelle fission	0.503818281944776
