"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.925387159454436 -1 24 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.463608752009123 2 15 "GO:0000018" "regulation of DNA recombination" 0.948228389316885
0 0.27302248379365 6 10 "GO:0000038" "very long-chain fatty acid metabolic process" 0.851735324617707
0 0.777065640802604 2 39 "GO:0000041" "transition metal ion transport" 1
0 1 6 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 -1 10 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.367673647385455 3 48 "GO:0000075" "cell cycle checkpoint signaling" 0.913211927891882
0 0.187384929206163 2 30 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 0.749670506870751
0 0.0304055029908625 9 24 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.420993067343144
0 0.314724040011418 4 63 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.870798040324847
0 1 2 36 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.672705825174953 4 44 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.81251106771372 3 29 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.119857054178834 2 174 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.630228711302272
0 1 2 15 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 0.519985042024908 6 66 "GO:0000165" "MAPK cascade" 1
0 0.0906932247469194 3 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.582102432304207
0 0.451460865509917 -1 24 "GO:0000186" "obsolete activation of MAPKK activity" 0.948228389316885
0 0.238472320909169 -1 41 "GO:0000187" "obsolete activation of MAPK activity" 0.841572187206635
0 0.362755099713643 4 103 "GO:0000209" "protein polyubiquitination" 0.913211927891882
0 0.385845257235774 4 133 "GO:0000226" "microtubule cytoskeleton organization" 0.923139375722979
0 0.840801435238513 2 17 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.479019225030086 2 25 "GO:0000272" "polysaccharide catabolic process" 0.966747890515264
0 0.769971384474257 3 84 "GO:0000278" "mitotic cell cycle" 1
0 0.886566155303415 2 256 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.114998660877354 3 33 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.629854198195361
0 1 6 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.904902320192032 2 64 "GO:0000302" "response to reactive oxygen species" 1
0 0.660557957437687 5 10 "GO:0000305" "response to oxygen radical" 1
0 0.133092550884432 4 66 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.665939204831179
0 0.390227557943786 3 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.923139375722979
0 0.161254773228669 2 21 "GO:0000387" "spliceosomal snRNP assembly" 0.71279863236149
0 0.925387159454436 2 24 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 1 2 13 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.828416835903619 6 55 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.226338580198856 6 24 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.807374103658301
0 1 2 14 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.351863392669045 4 12 "GO:0000731" "DNA synthesis involved in DNA repair" 0.902128018976206
0 0.24936622902868 -1 25 "GO:0000737" "obsolete DNA catabolic process, endonucleolytic" 0.850830874201557
0 0.660557957437687 -1 10 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
