"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-271 0.573282141002294 2 26 "GO:0000002" "mitochondrial genome maintenance" 0.827078316194434
142 0.861892015468174 1 9 "GO:0000003" "reproduction" 0.961454836927136
-1092 0.239464097252915 5 7 "GO:0000012" "single strand break repair" 0.574940168102803
900 0.142579409739952 5 16 "GO:0000018" "regulation of DNA recombination" 0.452480859977331
2602 0.00504027877177885 5 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.0726495354001227
1686 0.0393851099142138 3 9 "GO:0000038" "very long-chain fatty acid metabolic process" 0.233648577409591
824 0.0416419909847523 6 37 "GO:0000041" "transition metal ion transport" 0.24032438978577
-724 0.509884262634648 4 5 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.792801573258972
-578 0.39599879865783 2 13 "GO:0000045" "autophagic vacuole assembly" 0.717125511022631
-1526 0.0622997019561456 2 9 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.298766036865521
1595 0.0398992829126035 4 10 "GO:0000060" "protein import into nucleus, translocation" 0.23397060313753
703 0.3652632536631 3 10 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.693100052022199
-476 0.16737135448933 4 51 "GO:0000075" "cell cycle checkpoint" 0.481069335202141
-1091 0.239525654448844 2 7 "GO:0000076" "DNA replication checkpoint" 0.574940168102803
-591 0.16700417945029 2 33 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.480859772337993
385 0.45204401751063 7 23 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.7528907664581
114 0.708208396013795 6 65 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.900121174856074
-278 0.781255328862689 4 6 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.933804367750093
-702 0.074541786251688 2 39 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.32264684404207
1312 0.00047056221221078 2 43 "GO:0000096" "sulfur amino acid metabolic process" 0.0152985003658749
1682 0.000108730797814455 2 32 "GO:0000097;GO:0006555;GO:0009067;GO:0009086" "sulfur amino acid biosynthetic process" 0.00504994149849358
174 0.87426987532204 2 5 "GO:0000098" "sulfur amino acid catabolic process" 0.962027264782018
-162 0.382355250193016 5 178 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.708531641586298
-2441 7.02737973248431e-05 4 16 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.00360738826267528
1749 0.111172381489111 2 5 "GO:0000154" "rRNA modification" 0.394769888637304
-338 0.206150227788265 3 85 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.528655185371134
1271 0.246873991470992 2 5 "GO:0000183" "chromatin silencing at rDNA" 0.579737800195925
-24 0.956201191683624 5 31 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.988288479995155
-55 0.909220663755185 3 26 "GO:0000186" "activation of MAPKK activity" 0.975356087218844
-298 0.43258138964559 5 42 "GO:0000187" "activation of MAPK activity" 0.740194822282454
1264 0.173098609647003 3 7 "GO:0000188" "inactivation of MAPK activity" 0.489832235809604
-411 0.0854063187308385 2 107 "GO:0000209" "protein polyubiquitination" 0.34612034433024
-841 8.80914445436003e-05 3 133 "GO:0000226" "microtubule cytoskeleton organization" 0.00422550109400942
-208 0.835267560466419 4 6 "GO:0000245" "spliceosomal complex assembly" 0.953939454303178
1395 0.132799488383722 2 7 "GO:0000266" "mitochondrial fission" 0.4375802961833
1119 0.0882190773622555 4 14 "GO:0000271;GO:0033692" "cellular polysaccharide biosynthetic process" 0.348941919822899
-305 0.503710666747923 2 29 "GO:0000272" "polysaccharide catabolic process" 0.788580744197123
-302 0.252766911110087 4 87 "GO:0000278" "mitotic cell cycle" 0.586515449570273
-663 9.95346938889705e-06 2 276 "GO:0000280;GO:0048285;GO:0007067" "organelle fission" 0.000766417142945073
-1333 0.00483179012698044 2 27 "GO:0000281" "mitotic cytokinesis" 0.0704498359559757
-638 0.435394509837055 2 9 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.74157283006877
-994 0.200602984320541 3 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.52035845046268
-212 0.481608092911776 2 67 "GO:0000302" "response to reactive oxygen species" 0.772927229788294
641 0.459925438885187 3 8 "GO:0000303;GO:0019430;GO:0071451" "response to superoxide" 0.756048842122131
-146 0.626548959347433 4 67 "GO:0000375;GO:0000377;GO:0000398" "RNA splicing, via transesterification reactions" 0.85614531501419
34 0.960306415720454 4 13 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.989055750439737
-281 0.591341048253777 4 22 "GO:0000387" "spliceosomal snRNP assembly" 0.837050060610292
464 0.345181422343996 7 25 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.672437311437105
402 0.643312573404389 2 8 "GO:0000422" "mitochondrion degradation" 0.866115298961235
326 0.725227849047863 2 7 "GO:0000460" "maturation of 5.8S rRNA" 0.912114982188146
503 0.587862252016459 2 7 "GO:0000578" "embryonic axis specification" 0.83601940034597
-571 0.38405631946414 3 14 "GO:0000722;GO:0006312" "mitotic recombination" 0.709437367899036
240 0.453714236372826 2 59 "GO:0000723;GO:0032200" "telomere maintenance" 0.754728741118186
662 0.153828264735628 2 28 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.466858588453776
807 0.218637951416601 2 14 "GO:0000726;GO:0006303" "non-recombinational repair" 0.54785344394021
-629 0.566910636263791 2 5 "GO:0000731" "DNA synthesis involved in DNA repair" 0.823288721464192
-2 0.996189620471264 3 29 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.99857755120609
373 0.630681109349419 3 10 "GO:0000738" "DNA catabolic process, exonucleolytic" 0.857007445303699
-472 0.456661224454635 2 15 "GO:0000768;GO:0006949;GO:0007520" "syncytium formation" 0.755598298265343
-531 0.04236798070245 4 89 "GO:0000902" "cell morphogenesis" 0.241654408451011
-427 0.17260466143973 2 62 "GO:0000904" "cell morphogenesis involved in differentiation" 0.488931015763417
-973 0.00221391721499997 4 60 "GO:0000910" "cytokinesis" 0.0423393579809798
-248 0.804732278218449 2 6 "GO:0000959" "mitochondrial RNA metabolic process" 0.942280119594936
-80 0.754947612423444 2 92 "GO:0001101" "response to acid" 0.924201259894362
-2033 0.0284285099199185 4 7 "GO:0001172" "transcription, RNA-templated" 0.194238111883764
594 0.0912699474823811 2 49 "GO:0001501" "skeletal system development" 0.357977642699939
1529 0.0781212414649044 2 8 "GO:0001502" "cartilage condensation" 0.330005324216416
-345 0.331806663798352 3 48 "GO:0001503" "ossification" 0.660453264131958
-1 0.998069126484984 3 39 "GO:0001505" "regulation of neurotransmitter levels" 0.999309649290726
245 0.791575488941678 4 7 "GO:0001507;GO:0006581;GO:0008291;GO:1900619" "acetylcholine metabolic process" 0.938338759440148
-1819 0.00093144217758215 3 20 "GO:0001508" "action potential" 0.0247763619236852
289 0.60841157932904 3 19 "GO:0001510" "RNA methylation" 0.846108498629644
795 0.469228592550351 5 5 "GO:0001516;GO:0046457" "prostanoid biosynthetic process" 0.76403052966184
508 0.534435372554531 2 9 "GO:0001522" "pseudouridine synthesis" 0.80643555340178
