"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1065 0.0276007544110876 3 22 "GO:0000002" "mitochondrial genome maintenance" 0.27001729973468
383 0.632646952910444 1 8 "GO:0000003" "reproduction" 0.87777422735995
-1561 0.068221480190245 2 7 "GO:0000012" "single strand break repair" 0.376366252714222
357 0.542248322361674 2 15 "GO:0000018" "regulation of DNA recombination" 0.842963007865395
2284 0.00762890463215802 3 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.139252278707767
645 0.392728890504503 2 9 "GO:0000038" "very long-chain fatty acid metabolic process" 0.760954600646737
702 0.059896908176904 2 37 "GO:0000041" "transition metal ion transport" 0.352797755526623
-909 0.369432952251692 4 5 "GO:0000042;GO:0000301;GO:0072600" "protein targeting to Golgi" 0.741283894178405
111 0.859820247577282 3 13 "GO:0000045" "autophagic vacuole assembly" 0.963698052607552
-2821 0.000979880743043068 3 7 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.037121977202136
505 0.48039470762466 2 10 "GO:0000060" "protein import into nucleus, translocation" 0.813978012738348
-468 0.513150551098284 3 10 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.833141343370165
-483 0.148904135381561 4 46 "GO:0000075" "cell cycle checkpoint" 0.505292656394173
57 0.951152115600034 3 6 "GO:0000076" "DNA replication checkpoint" 0.98946637116399
-80 0.852127224170661 2 28 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.961916054592991
-596 0.207264305755267 6 23 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.588505013614197
29 0.919850382808159 6 64 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.981759818598963
11 0.9905700641582 3 6 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.998528909053159
-595 0.115615736593633 5 36 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.459682935735081
177 0.621994545425529 3 40 "GO:0000096" "sulfur amino acid metabolic process" 0.875921286590843
715 0.107806201959612 2 26 "GO:0000097" "sulfur amino acid biosynthetic process" 0.443912903321688
-2167 0.0323568546696395 2 5 "GO:0000098" "sulfur amino acid catabolic process" 0.281181322010944
-264 0.132559816506987 2 170 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.494335373008279
