"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 -1 73 "GO:0000002" "obsolete mitochondrial genome maintenance" 1
0 0.223184144014035 -1 17 "GO:0000003" "obsolete reproduction" 1
0 1 2 11 "GO:0000012" "single strand break repair" 1
0 1 3 42 "GO:0000018" "regulation of DNA recombination" 1
0 1 4 8 "GO:0000019;GO:0045950" "regulation of mitotic recombination" 1
0 1 3 12 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.211552445418976 6 16 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.657423440708136 2 72 "GO:0000041" "transition metal ion transport" 1
0 0.299956559572726 3 24 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 1 3 10 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 1
0 1 -1 5 "GO:0000059" "obsolete protein import into nucleus, docking" 1
0 1 -1 14 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 4 16 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 1
0 1 3 103 "GO:0000075" "cell cycle checkpoint signaling" 1
0 1 2 9 "GO:0000076" "DNA replication checkpoint signaling" 1
0 1 2 59 "GO:0000077;GO:0031570" "DNA integrity checkpoint signaling" 1
0 0.495367012551499 3 46 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 1 2 5 "GO:0000080;GO:0051318" "mitotic G1 phase" 1
0 1 5 117 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 1 -1 7 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 1 2 6 "GO:0000084;GO:0051320" "mitotic S phase" 1
0 1 3 6 "GO:0000085;GO:0051319" "mitotic G2 phase" 1
0 1 2 93 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 1 4 6 "GO:0000087;GO:0000279;GO:0098763" "mitotic M phase" 1
0 1.06316115199863e-05 3 72 "GO:0000096" "sulfur amino acid metabolic process" 0.0084585101253011
0 0.000752551110933221 4 49 "GO:0000097" "sulfur amino acid biosynthetic process" 0.119745932771694
0 0.11203099462842 4 8 "GO:0000098" "sulfur amino acid catabolic process" 1
0 1 2 5 "GO:0000101" "sulfur amino acid transport" 1
0 1 4 6 "GO:0000103" "sulfate assimilation" 1
0 0.114621201502294 7 329 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 5 26 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 1
0 1 2 11 "GO:0000154;GO:0031167" "rRNA modification" 1
0 1 2 18 "GO:0000160" "phosphorelay signal transduction system" 1
0 1 4 128 "GO:0000165" "MAPK cascade" 1
0 1 9 5 "GO:0000183;GO:0140718" "rDNA heterochromatin formation" 1
0 1 2 39 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.0852540565092377 -1 6 "GO:0000185" "obsolete activation of MAPKKK activity" 0.997472461158081
0 1 -1 41 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.657423440708136 -1 72 "GO:0000187" "obsolete activation of MAPK activity" 1
0 1 -1 10 "GO:0000188" "obsolete inactivation of MAPK activity" 1
0 1 2 175 "GO:0000209" "protein polyubiquitination" 1
0 0.862332959539049 2 234 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 3 7 "GO:0000245" "spliceosomal complex assembly" 1
0 0.0715654350807212 4 5 "GO:0000255" "allantoin metabolic process" 0.991941814463794
0 1 2 13 "GO:0000266" "mitochondrial fission" 1
0 1 3 8 "GO:0000270" "peptidoglycan metabolic process" 1
0 1 2 50 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.517410103198839 2 49 "GO:0000272" "polysaccharide catabolic process" 1
0 0.933873783713202 3 182 "GO:0000278" "mitotic cell cycle" 1
0 0.986919573278701 2 538 "GO:0000280;GO:0048285" "organelle fission" 1
