"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-689 0.191620069454513 2 33 "GO:0000002" "mitochondrial genome maintenance" 0.55309424879541
-1240 0.195094838643468 1 10 "GO:0000003" "reproduction" 0.554824408931326
94 0.9342959410393 2 7 "GO:0000012" "single strand break repair" 0.981640980499666
664 0.283039989048487 4 24 "GO:0000018" "regulation of DNA recombination" 0.636889841460056
-913 0.424523818597442 2 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.748378974127878
505 0.580056815780613 2 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.839364320466295
265 0.579644550314403 2 40 "GO:0000041" "transition metal ion transport" 0.839364320466295
-1208 0.371904199884404 3 5 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.709372825705437
790 0.346612934937854 2 13 "GO:0000045" "autophagic vacuole assembly" 0.690429158270093
-1110 0.246225411991569 2 10 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.597940701664773
-155 0.871571627094567 2 10 "GO:0000060" "protein import into nucleus, translocation" 0.961952369620792
1062 0.244261066908562 2 11 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.597582369810276
326 0.404975029845497 4 60 "GO:0000075" "cell cycle checkpoint" 0.735125224728068
-493 0.625128414094844 2 9 "GO:0000076" "DNA replication checkpoint" 0.86259076326916
60 0.902220005447127 2 38 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.970697886263786
460 0.439109914620172 3 26 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.755546411690956
852 0.0157068632320391 2 74 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.192330463852448
981 0.390975223344362 3 7 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.725625139692613
33 0.943078568036063 2 44 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.982948998626689
896 0.0315129586421163 2 53 "GO:0000096" "sulfur amino acid metabolic process" 0.253453090539741
834 0.0938967922238675 3 37 "GO:0000097" "sulfur amino acid biosynthetic process" 0.425869968140354
1676 0.174705806412848 2 6 "GO:0000098" "sulfur amino acid catabolic process" 0.534125049693561
982 3.94167259013392e-06 2 206 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.000699208921127645
-516 0.469404586792535 2 18 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.772980322655268
967 0.365879140709726 3 8 "GO:0000154;GO:0031167" "rRNA modification" 0.707602723371384
535 0.692769252774707 3 5 "GO:0000160" "phosphorelay signal transduction system" 0.894864727553185
442 0.144021196379351 2 101 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.504559228568453
