"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-745 0.163616939126085 4 34 "GO:0000002" "mitochondrial genome maintenance" 0.590387815104059
-852 0.387489904171229 1 10 "GO:0000003" "reproduction" 0.780463090139564
-1639 0.16415333867219 2 7 "GO:0000012" "single strand break repair" 0.590387815104059
-755 0.235358288093909 3 24 "GO:0000018" "regulation of DNA recombination" 0.669261353490237
-1144 0.331293530949205 3 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.734091732151915
940 0.296207307405913 2 12 "GO:0000038" "very long-chain fatty acid metabolic process" 0.714252493864035
115 0.815257534795034 3 40 "GO:0000041" "transition metal ion transport" 0.942905284964321
-197 0.887628416651208 4 5 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.966655996108297
1777 0.0398017947774622 2 13 "GO:0000045" "autophagic vacuole assembly" 0.343292717076559
-1822 0.0645359513320545 2 10 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.412723989151242
-119 0.904321606485234 3 10 "GO:0000060" "protein import into nucleus, translocation" 0.971941475084222
-489 0.603025902703524 3 11 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.890360269704747
-365 0.36126578903212 2 61 "GO:0000075" "cell cycle checkpoint" 0.757651389052456
-1450 0.162810095957961 2 9 "GO:0000076" "DNA replication checkpoint" 0.589981489943966
-213 0.670517847892401 5 39 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.912365176244809
258 0.667697863158847 2 27 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.912365176244809
631 0.0765589498982279 3 77 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.443685757793998
413 0.725750994935531 6 7 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.924254317045013
-333 0.464391686093421 6 47 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.833614113916678
180 0.674259135933009 2 53 "GO:0000096" "sulfur amino acid metabolic process" 0.912365176244809
-169 0.742076916700941 2 37 "GO:0000097" "sulfur amino acid biosynthetic process" 0.926010561110354
-1911 0.133050623577162 5 6 "GO:0000098" "sulfur amino acid catabolic process" 0.551238301281068
520 0.0166055115046605 2 210 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.229638612090091
1304 0.0759308114013518 2 18 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.442724514765359
-388 0.7088436180321 2 9 "GO:0000154;GO:0031167" "rRNA modification" 0.917842937433989
3071 0.0275124981813761 4 5 "GO:0000160" "phosphorelay signal transduction system" 0.290949163774291
546 0.0753376610379562 3 104 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.44188731055557
-1485 0.286567970764992 2 5 "GO:0000183" "chromatin silencing at rDNA" 0.708396639390695
-754 0.171276509084608 2 32 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.600565044603839
217 0.876069844320623 4 5 "GO:0000185" "activation of MAPKKK activity" 0.963259817831896
