baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AIPGENE10	1.42972764961	-0.367799052748092	0.930739537204807	-0.395168613823653	0.692718454169221	NA
AIPGENE100	0.0413840992564291	0	6.19612289144758	0	1	NA
AIPGENE1000	1.48110318828028	-0.252210890912752	0.8129384684599	-0.310245978875328	0.756373908187249	NA
AIPGENE10000	44.8704083591376	0.0971464292324943	0.188613868617711	0.515054539437893	0.606514908881575	0.889997979372004
AIPGENE10001	3.86794158349404	0.978968822280912	0.593041832619215	1.6507584599171	0.0987879054172238	NA
AIPGENE10002	145.272743676908	-0.105799535342501	0.156728437686498	-0.675050022218242	0.499643984645617	0.849964518706993
AIPGENE10003	2.63387123261006	-0.697117767990258	1.1351678777847	-0.614109843691748	0.539142743874135	NA
AIPGENE10004	17.5436509284815	-0.505978923886535	0.260898626202788	-1.9393698282384	0.0524563216958885	0.367642049739355
AIPGENE10005	1.3441266294002	-0.66443858577708	1.10830041004846	-0.599511269465314	0.548831997324454	NA
AIPGENE10006	13.8175648549091	-0.571108424980769	0.306887709168583	-1.86096871239324	0.062748595189566	0.404359805443309
AIPGENE10007	14.9976265399836	0.485267121398349	0.365518332866109	1.32761363183418	0.184305778840606	0.627727978762305
AIPGENE10008	470.011908026712	-0.0311437759154497	0.198067499228895	-0.157238194235283	0.875057128025772	0.973818991087515
AIPGENE10009	2.32308840779838	-0.370722982760937	0.773135756220521	-0.479505675139407	0.631578931857511	NA
AIPGENE1001	2.01420077200399	-0.504342374328165	0.731283673558529	-0.6896672147403	0.490403487815098	NA
AIPGENE10010	61.195858322268	-0.398032595092589	0.161270897192542	-2.46809934105703	0.0135832617447927	0.192900490366631
AIPGENE10011	1.29727755289325	0.617909596075079	1.13431720588775	0.544741446984828	0.585931354603242	NA
AIPGENE10012	75.7798413543448	-0.241691021747966	0.15685113592494	-1.54089430288618	0.123342512628899	0.540281570181618
AIPGENE10013	0.285160539706706	-1.46796746085228	2.14445156771839	-0.684542137929531	0.493632890406405	NA
AIPGENE10014	14.8983700876749	-0.342561246542351	0.331206699832863	-1.0342823581625	0.301004181833444	0.734864499998643
AIPGENE10015	1.31467429709274	-0.152575549187141	0.9461494628633	-0.161259457597119	0.871889053434931	NA
AIPGENE10016	9.52389721809853	0.307165247313677	0.336639604173061	0.912445367407717	0.361534316609821	0.777147047896488
AIPGENE10017	8.78463169730428	-0.0763706538523868	0.396674622092171	-0.192527198865375	0.847329264798415	0.965817736232252
AIPGENE10018	0.895510328426836	0.656181464034789	1.209532978549	0.542508121458556	0.587468514191178	NA
AIPGENE10019	1.93702932181372	-0.0518018963335286	0.86873054204563	-0.059629417669084	0.952450788137983	NA
AIPGENE1002	5.89983747303452	0.627345128829497	0.519497911202105	1.20759894371439	0.227201565724517	NA
AIPGENE10020	119.360039413946	-0.23834139367979	0.127449251264939	-1.87008861420717	0.0614715133227528	0.40088679549063
AIPGENE10021	2.26148018350428	-1.18053803280863	0.759322460692437	-1.55472555326768	0.120011446078629	NA
AIPGENE10022	16.9155215910539	0.386051068358494	0.28252161196895	1.3664479176231	0.171798417502042	0.615581341172491
AIPGENE10023	0.374388207351055	-0.767608890262089	2.00519648206091	-0.382809812968129	0.701860785036645	NA
AIPGENE10024	42.762006620919	-0.475901034745268	0.205608461108034	-2.31459849551236	0.020634915293262	0.236945622876623
AIPGENE10025	1319.14805196981	0.294953982454143	0.109324005730915	2.69798001346685	0.00697616288905319	0.131315764263249
AIPGENE10026	0.478849558749941	-0.331603771591976	1.7236085830484	-0.192389255224929	0.847437308280845	NA
AIPGENE10027	0.316612919930207	0.958511822492237	1.94860214308312	0.49189714067319	0.622792059745102	NA
AIPGENE10028	6.17221635901661	0.680496546847475	0.55170423933938	1.233444476813	0.21740997979714	NA
AIPGENE10029	313.786123446643	1.35939218712946	0.311940895782194	4.3578517774041	1.31345283326399e-05	0.00129032708252447
AIPGENE1003	12.343553009036	-0.141341057090524	0.31120453875399	-0.454174150725533	0.649703486515029	0.906626069350747
AIPGENE10030	2.59022646488836	-0.347368508195022	0.72392877691342	-0.479837960960857	0.631342617811509	NA
AIPGENE10031	60.5888398759733	0.123890027368564	0.175377888177853	0.706417602901719	0.479928477163275	0.84051372646878
AIPGENE10033	10.1514902854847	0.233136320537538	0.383180605467785	0.608424114401422	0.542906221935162	0.868584216776545
AIPGENE10034	26.11367668925	0.0740692084973944	0.387962042707337	0.190918699109101	0.848589289865281	0.966429477831859
AIPGENE10035	65.8685243809803	-0.0771614496160457	0.148389391218886	-0.519993033074893	0.603068430945202	0.889753224592326
AIPGENE10036	275.315764943034	-0.0503049817595839	0.109520130057255	-0.459321786171049	0.646003105125068	0.90567873762341
AIPGENE10037	1.94525542385192	0.629137037756214	0.804758220466979	0.781771495780612	0.434348875545675	NA
AIPGENE10038	98.8173258972593	-0.410714763115675	0.142141406158317	-2.88948009039829	0.00385879441726021	0.0896019859232099
AIPGENE10039	0.716758240358273	-0.779923533008833	1.3672490671218	-0.570432667875686	0.568384277892662	NA
AIPGENE1004	1.85095859628105	0.426114218079594	0.802751814184547	0.530816885804798	0.595545677560019	NA
AIPGENE10040	3.30375605271892	1.52188261849014	0.68505256587335	2.2215559714749	0.0263133281507253	NA
AIPGENE10041	33.232429726487	-0.0301875593814363	0.205869766548112	-0.146634252749208	0.883420716118206	0.975317603505114
AIPGENE10042	11.1908849817107	-0.573461507817658	0.36254291439985	-1.58177552240115	0.113700824818974	0.525793157221277
AIPGENE10043	15.3518328846389	-0.0601066364243634	0.295144448080744	-0.203651590992895	0.838625774094676	0.964958505664632
AIPGENE10044	29.6232919751954	0.183706521884108	0.229786861620062	0.799464863173314	0.424020912765493	0.818302716686251
AIPGENE10045	43.99868782818	-0.27675977102125	0.177870076189687	-1.5559658878546	0.119716204174755	0.533754092623984
AIPGENE10046	1.15128841549085	1.19763972902627	1.1359147181508	1.05433947627332	0.291727521275358	NA
AIPGENE10047	2.86000626402362	-0.0416739274000405	1.04006711380174	-0.0400684983180657	0.968038516324285	NA
AIPGENE10048	3.51926756052009	0.554327462274679	0.719986122444258	0.769914092778359	0.441350853633424	NA
AIPGENE10049	22.023610577365	0.229168662455663	0.264005440501226	0.868045226721754	0.385369574236358	0.793638979740809
AIPGENE1005	33.3360572184289	-0.425365658212805	0.267315338468637	-1.59125047088427	0.111553218479464	0.520455246727489
AIPGENE10050	70.3993087916279	-0.0709087687343236	0.170372090250994	-0.416199441057864	0.677264068714272	0.915218124148048
AIPGENE10051	11.13143254599	-0.47106306117375	0.367216637909343	-1.28279335014783	0.199564484493001	0.646589642556923
AIPGENE10052	0.705878710931162	1.61970760146872	1.38198019306615	1.1720194034584	0.241189266029443	NA
AIPGENE10053	4.8770210375564	0.70587388686557	0.45582881098171	1.54855039843871	0.121489837523963	NA
AIPGENE10055	88.0653725055327	0.223178529977572	0.444165221699159	0.502467368164938	0.615338800884355	0.89275096825416
AIPGENE10056	0.228396156611814	-0.190526127140281	2.32825281660421	-0.081832233072595	0.934780123738301	NA
AIPGENE10057	1.46262652150262	-1.28510997253051	0.884847591653516	-1.4523517774728	0.146403817419274	NA
AIPGENE10058	0.666755498134869	0.0325310329790263	1.35746433693137	0.0239645581058613	0.980880879117048	NA
AIPGENE10059	1.20947633807011	-0.528188012815888	0.912572151632856	-0.578790413306834	0.56273060054176	NA
AIPGENE1006	0.182651115737732	-0.317784614715854	2.87376072236645	-0.110581445505375	0.911948261577327	NA
AIPGENE10060	1.44855980014652	0.215923397100562	0.91004138755021	0.237267667223156	0.812449143797737	NA
AIPGENE10061	0.56955099917198	-0.791770991450636	1.34092305242106	-0.590467133830743	0.554877513819817	NA
AIPGENE10062	0.247117030955517	1.34012265524073	2.07472202411899	0.645928774872769	0.518325483373143	NA
