"Gene","Presence"
"AIPGENE10000",0
"AIPGENE10002",0
"AIPGENE10004",0
"AIPGENE10006",0
"AIPGENE10007",0
"AIPGENE10008",0
"AIPGENE10010",0
"AIPGENE10012",0
"AIPGENE10014",0
"AIPGENE10016",0
"AIPGENE10017",0
"AIPGENE10020",0
"AIPGENE10022",0
"AIPGENE10024",0
"AIPGENE10025",0
"AIPGENE10028",0
"AIPGENE10029",0
"AIPGENE1003",0
"AIPGENE10031",0
"AIPGENE10033",0
"AIPGENE10034",0
"AIPGENE10035",0
"AIPGENE10036",0
"AIPGENE10038",0
"AIPGENE10041",0
"AIPGENE10042",0
"AIPGENE10043",0
"AIPGENE10044",0
"AIPGENE10045",0
"AIPGENE10049",0
"AIPGENE1005",0
"AIPGENE10050",0
"AIPGENE10051",0
"AIPGENE10055",0
"AIPGENE10067",0
"AIPGENE10068",0
"AIPGENE10069",0
"AIPGENE10074",0
"AIPGENE10081",0
"AIPGENE10083",0
"AIPGENE10086",0
"AIPGENE10089",0
"AIPGENE1009",0
"AIPGENE10093",0
"AIPGENE10097",0
"AIPGENE10100",0
"AIPGENE10102",0
"AIPGENE10103",0
"AIPGENE10105",0
"AIPGENE10106",0
"AIPGENE10109",0
"AIPGENE10113",0
"AIPGENE10115",0
"AIPGENE10117",0
"AIPGENE10118",0
"AIPGENE10119",0
"AIPGENE1012",0
"AIPGENE10120",0
"AIPGENE10125",0
"AIPGENE10128",0
"AIPGENE10129",0
"AIPGENE10131",0
"AIPGENE10134",0
"AIPGENE10135",0
"AIPGENE10137",0
"AIPGENE10138",0
"AIPGENE10141",0
"AIPGENE10142",0
"AIPGENE10143",0
"AIPGENE10145",0
"AIPGENE10146",0
"AIPGENE10147",0
"AIPGENE10149",0
"AIPGENE1015",0
"AIPGENE10150",0
"AIPGENE10151",1
"AIPGENE10153",0
"AIPGENE10154",0
"AIPGENE10157",0
"AIPGENE10159",0
"AIPGENE10160",0
"AIPGENE10162",0
"AIPGENE10163",0
"AIPGENE10167",0
"AIPGENE10169",0
"AIPGENE1017",0
"AIPGENE10172",0
"AIPGENE10173",0
"AIPGENE10175",0
"AIPGENE10176",0
"AIPGENE10178",0
"AIPGENE10179",0
"AIPGENE10180",0
"AIPGENE10183",0
"AIPGENE10184",0
"AIPGENE10185",0
"AIPGENE10186",0
"AIPGENE10187",0
"AIPGENE10188",0
"AIPGENE1019",0
"AIPGENE10193",0
"AIPGENE10194",0
"AIPGENE10195",0
"AIPGENE1020",0
"AIPGENE10200",0
"AIPGENE10209",0
"AIPGENE10214",0
"AIPGENE10222",0
"AIPGENE10225",0
"AIPGENE10227",0
"AIPGENE10233",0
"AIPGENE1024",0
"AIPGENE10242",0
"AIPGENE1025",0
"AIPGENE10250",0
"AIPGENE10258",0
"AIPGENE1026",0
"AIPGENE10260",0
"AIPGENE10262",0
"AIPGENE10265",0
"AIPGENE10270",0
"AIPGENE10271",0
"AIPGENE10274",0
"AIPGENE10275",0
"AIPGENE10277",0
"AIPGENE10279",0
"AIPGENE1028",0
"AIPGENE10280",0
"AIPGENE10282",0
"AIPGENE10284",0
"AIPGENE10285",0
"AIPGENE10288",0
"AIPGENE10290",0
"AIPGENE10291",0
"AIPGENE10293",0
"AIPGENE10295",0
"AIPGENE10296",0
"AIPGENE10297",0
"AIPGENE10298",0
"AIPGENE10299",0
"AIPGENE10301",0
"AIPGENE10305",0
"AIPGENE10314",0
"AIPGENE10316",0
"AIPGENE10321",0
"AIPGENE10325",0
"AIPGENE10328",0
"AIPGENE1033",0
"AIPGENE10330",0
"AIPGENE10332",0
"AIPGENE10334",0
"AIPGENE10336",0
"AIPGENE10337",0
"AIPGENE10338",0
"AIPGENE10339",0
"AIPGENE1034",0
"AIPGENE10343",0
"AIPGENE10344",0
"AIPGENE10358",0
"AIPGENE1036",0
"AIPGENE10361",0
"AIPGENE10362",0
"AIPGENE10363",0
"AIPGENE10373",0
"AIPGENE10375",0
"AIPGENE10386",0
"AIPGENE10388",0
"AIPGENE10389",0
"AIPGENE10394",0
"AIPGENE10397",0
"AIPGENE10398",0
"AIPGENE10400",0
"AIPGENE10412",0
"AIPGENE10413",0
"AIPGENE10416",0
"AIPGENE10417",0
"AIPGENE10419",0
"AIPGENE10420",0
"AIPGENE10421",0
"AIPGENE10422",0
"AIPGENE1045",0
"AIPGENE1046",0
"AIPGENE10491",0
"AIPGENE10492",0
"AIPGENE10493",0
"AIPGENE10494",0
"AIPGENE10495",0
"AIPGENE10497",0
"AIPGENE10498",0
"AIPGENE10499",0
"AIPGENE10500",0
"AIPGENE10503",0
"AIPGENE10504",0
"AIPGENE10505",0
"AIPGENE10509",0
"AIPGENE10511",0
"AIPGENE10512",0
"AIPGENE10514",0
"AIPGENE10515",0
"AIPGENE10516",0
"AIPGENE10518",0
"AIPGENE10519",0
"AIPGENE1052",0
"AIPGENE10522",0
"AIPGENE10524",0
"AIPGENE10527",0
"AIPGENE10528",0
"AIPGENE1053",0
"AIPGENE10531",0
"AIPGENE10532",0
"AIPGENE10533",1
"AIPGENE10534",0
"AIPGENE10538",0
"AIPGENE10539",0
"AIPGENE10540",0
"AIPGENE10541",0
"AIPGENE10543",0
"AIPGENE10546",0
"AIPGENE10547",0
"AIPGENE10548",0
"AIPGENE1055",0
"AIPGENE10550",0
"AIPGENE10556",0
"AIPGENE10557",0
"AIPGENE10558",0
"AIPGENE10560",0
"AIPGENE10561",0
"AIPGENE10562",0
"AIPGENE10564",0
