"accession_code","MElightcyan","MEturquoise","MEbrown","MEpurple","MEblack","MEgreenyellow","MEsalmon","MEblue","MEcyan","MEgrey60","MEpink","MEgreen","MEmidnightblue"
"P0A1",0.0708093570450524,0.0958804181059606,0.443448512335277,0.105602453030455,-0.210172331304199,0.0444893413107586,0.0660340509937932,-0.118734285646199,0.337516865899272,0.264556124472189,-0.293017819839844,-0.298267719498395,-0.118261799094924
"P0A3",0.0114623586266158,-0.188869521966983,0.468441893536601,0.23672767335151,-0.165024495524047,0.310728708608579,-0.0311638978510557,-0.237672095896105,0.297304338723431,0.0466702385534883,-0.316658089467228,-0.279013500031485,0.0295875004771068
"P0A4",0.175096443703686,0.40632650052367,0.339241143891674,0.161583503259036,-0.235230841003322,-0.179970029020683,0.121104810364944,-0.027016445624376,0.270360815671419,-0.127383689615562,-0.347198238740047,-0.352560652183318,-0.224751136428897
"P0A6",0.0805059284356333,0.0116419307591792,0.419743712193301,0.140156973312111,-0.213330399451247,0.0804356549910013,0.0307608990353907,-0.0737439619862432,0.313752219775845,-0.0385937975365518,-0.335846865700897,-0.331951114176992,-0.146545737083758
"CA1",-0.070061257355261,-0.127395052280008,-0.23751133489956,-0.026118724751192,-0.148281059921773,-0.498624263252471,0.0265192936044065,0.590538619648826,0.15195438565404,-0.157331002572938,-0.137912275320566,0.238012291923406,-0.238445304376158
"CA2",0.0555148694429272,0.00564363499391512,-0.188185063293331,-0.109486118896923,-0.112435961530693,-0.368562474812405,0.0592135964375304,0.305763675747333,0.0588164819091205,0.177017129644654,-0.0544697256484653,0.225988303589865,-0.0228126503825825
"CA3",-0.927190100352761,-0.154251661529448,-0.156310783389263,0.114010144090146,-0.111804145411311,-0.0326872260705817,0.0604820736280399,0.295771791139536,0.116301823137084,-0.206791090938691,-0.258868995882775,0.198867469018768,-0.043700996143411
"CA4",-0.0139212738405958,-0.380671617929395,-0.0792572850555092,-0.00240117008419564,-0.194586902828978,0.0303736377415698,0.0406324114297934,0.238716082162386,0.0599557406607574,0.199763470513221,-0.139420900706118,0.243252301850564,0.00555976921938628
"P2A2",0.0540302221937827,-0.045191659253174,-0.0568378043270368,0.248457786422249,0.38839585789663,0.147919259516898,-0.00730695973317956,-0.113235882090815,-0.264926209442365,-0.209612524691929,-0.00335197087597572,-0.183446336122473,-0.114696428258457
"P2A4",-0.0872608046313424,-0.0852958502834685,-0.0145927139745194,0.312577094207807,0.460217726515728,0.211177974504583,-0.947632477618697,-0.123263144835508,-0.281651615151356,-0.198761834144879,0.172866187392014,-0.15806037832439,-0.0804766700783562
"P2A5",0.0989432951780222,0.253681933103318,-0.0472483269794092,0.0991480807451101,0.39678522752899,0.111927477524816,0.0842430309985734,-0.193012701559418,-0.382848590744428,-0.244637486225488,0.115555431922536,-0.142530374535222,-0.102639343150278
"P2A6",0.062192068068937,-0.140125247756499,0.0520081563699815,0.294016196433747,0.395231027523564,0.208397251396079,-0.0288540359547719,-0.238560470413399,-0.25092136854959,-0.0561218451378611,0.108997705653229,-0.192463441734446,-0.0433645733238171
"P2A7",0.137010429926737,0.340043067291873,-0.11695359059045,0.121444047443491,0.15490024218556,0.116492028227741,0.119879537421695,-0.185063068525464,-0.451474413427575,0.581829699962766,0.115694864141029,-0.0765105459990838,-0.273109450551809
"RA1",0.0746104568060023,-0.0552053412807679,-0.10145471184412,-0.341515128087644,-0.0914064279918124,0.341196821045164,0.0957534854092626,-0.293170371269422,-0.0459748577901858,0.040243382898756,0.135629320593094,0.218543074360397,0.597349697162688
"RA2",0.0782515053252822,-0.0803592883558737,-0.198636103542932,-0.371565222514394,-0.150012073101543,-0.196921199483001,0.0711786975242963,0.114569312300928,0.10781936203398,-0.139760764629689,0.342020237014465,0.239394438846521,0.156316156114447
"RA3",-0.0265981163661186,-0.234001697842941,-0.155671271516712,-0.396421949017923,-0.079276686556375,0.0288132587020924,0.0749898780825162,-0.102240794302,-0.0501850608120814,0.35150898402632,0.317036307476326,0.306378364426527,0.441371666040026
"RA4",0.0469192868692337,-0.171643705992426,-0.13252232030981,-0.353328944820776,-0.0719590332661981,0.0684230731533828,-0.00691738565076887,-0.0897321251737266,0.0474202304861483,0.0842595704034462,0.282266856300506,0.25021307146166,0.367854168706173
"RA5",0.179685330924166,0.549793159693068,-0.237702108604181,-0.232886694122616,-0.0120097237589751,-0.423609294083523,0.17108299187823,0.250085866323668,-0.0332201480335152,-0.366854564981252,0.296677971688715,0.0941547471280951,-0.189234868847378
