,treat,symstat,gnoto
P0A1,P0A,apo,plus0ab
P0A3,P0A,apo,plus0ab
P0A4,P0A,apo,plus0ab
P0A6,P0A,apo,plus0ab
P0S1,P0S,sym,plus0ab
P0S2,P0S,sym,plus0ab
P0S3,P0S,sym,plus0ab
P0S6,P0S,sym,plus0ab
P0S7,P0S,sym,plus0ab
CA1,CA,apo,control
CA2,CA,apo,control
CA3,CA,apo,control
CA4,CA,apo,control
CS1,CS,sym,control
CS2,CS,sym,control
CS3,CS,sym,control
CS5,CS,sym,control
CS6,CS,sym,control
P2A2,P2A,apo,plus2ab
P2A4,P2A,apo,plus2ab
P2A5,P2A,apo,plus2ab
P2A6,P2A,apo,plus2ab
P2A7,P2A,apo,plus2ab
P2S1,P2S,sym,plus2ab
P2S2,P2S,sym,plus2ab
P2S3,P2S,sym,plus2ab
P2S4,P2S,sym,plus2ab
P2S5,P2S,sym,plus2ab
P2S6,P2S,sym,plus2ab
RA1,RA,apo,recovery
RA2,RA,apo,recovery
RA3,RA,apo,recovery
RA4,RA,apo,recovery
RA5,RA,apo,recovery
RS1,RS,sym,recovery
RS2,RS,sym,recovery
RS4,RS,sym,recovery
RS6,RS,sym,recovery
RS7,RS,sym,recovery
