gene_id	colors
AIPGENE10000	blue
AIPGENE10001	grey
AIPGENE10002	blue
AIPGENE10004	blue
AIPGENE10006	green
AIPGENE10007	yellow
AIPGENE10008	greenyellow
AIPGENE10010	salmon
AIPGENE10012	green
AIPGENE10014	cyan
AIPGENE10016	red
AIPGENE10017	greenyellow
AIPGENE1002	brown
AIPGENE10020	cyan
AIPGENE10022	royalblue
AIPGENE10024	tan
AIPGENE10025	brown
AIPGENE10028	cyan
AIPGENE10029	black
AIPGENE1003	blue
AIPGENE10031	grey
AIPGENE10033	grey
AIPGENE10034	turquoise
AIPGENE10035	green
AIPGENE10036	blue
AIPGENE10038	green
AIPGENE10040	black
AIPGENE10041	red
AIPGENE10042	grey
AIPGENE10043	midnightblue
AIPGENE10044	yellow
AIPGENE10045	green
AIPGENE10049	midnightblue
AIPGENE1005	green
AIPGENE10050	tan
AIPGENE10051	grey
AIPGENE10053	brown
AIPGENE10055	red
AIPGENE10065	greenyellow
AIPGENE10067	grey
AIPGENE10068	tan
AIPGENE10069	grey
AIPGENE1007	blue
AIPGENE10070	turquoise
AIPGENE10071	grey
AIPGENE10072	grey
AIPGENE10074	blue
AIPGENE10077	grey
AIPGENE1008	grey
AIPGENE10081	purple
AIPGENE10083	yellow
AIPGENE10086	grey
AIPGENE10087	grey
AIPGENE10089	purple
AIPGENE1009	magenta
AIPGENE10090	greenyellow
AIPGENE10091	grey
AIPGENE10092	grey
AIPGENE10093	pink
AIPGENE10094	black
AIPGENE10095	blue
AIPGENE10097	brown
AIPGENE10098	grey
AIPGENE10100	grey
AIPGENE10101	turquoise
AIPGENE10102	purple
AIPGENE10103	grey
AIPGENE10105	green
AIPGENE10106	grey
AIPGENE10109	yellow
AIPGENE1011	grey
AIPGENE10113	grey
AIPGENE10115	salmon
AIPGENE10117	pink
AIPGENE10118	turquoise
AIPGENE10119	green
AIPGENE1012	black
AIPGENE10120	blue
AIPGENE10121	brown
AIPGENE10125	greenyellow
AIPGENE10128	grey
AIPGENE10129	turquoise
AIPGENE10131	blue
AIPGENE10132	grey
AIPGENE10133	green
AIPGENE10134	turquoise
AIPGENE10135	grey
AIPGENE10137	brown
AIPGENE10138	cyan
AIPGENE10139	turquoise
AIPGENE10141	grey
AIPGENE10142	grey
AIPGENE10143	blue
AIPGENE10145	grey
AIPGENE10146	blue
AIPGENE10147	turquoise
AIPGENE10148	grey
AIPGENE10149	magenta
AIPGENE1015	grey
AIPGENE10150	blue
AIPGENE10151	grey
AIPGENE10152	grey
AIPGENE10153	grey
AIPGENE10154	grey
AIPGENE10155	brown
AIPGENE10156	grey
AIPGENE10157	royalblue
AIPGENE10159	grey
AIPGENE10160	magenta
AIPGENE10161	grey
AIPGENE10162	grey
AIPGENE10163	magenta
AIPGENE10165	midnightblue
AIPGENE10167	turquoise
AIPGENE10168	grey
AIPGENE10169	green
AIPGENE1017	grey
AIPGENE10172	grey
AIPGENE10173	blue
AIPGENE10174	purple
AIPGENE10175	magenta
AIPGENE10176	grey60
AIPGENE10177	purple
AIPGENE10178	purple
AIPGENE10179	magenta
AIPGENE10180	blue
AIPGENE10182	magenta
AIPGENE10183	turquoise
AIPGENE10184	grey
AIPGENE10185	blue
AIPGENE10186	magenta
AIPGENE10187	black
AIPGENE10188	grey
AIPGENE1019	green
AIPGENE10191	grey
AIPGENE10193	lightgreen
AIPGENE10194	yellow
AIPGENE10195	purple
AIPGENE1020	greenyellow
AIPGENE10200	turquoise
AIPGENE10209	grey
AIPGENE10212	magenta
AIPGENE10214	blue
AIPGENE10217	brown
AIPGENE10222	grey
AIPGENE10223	grey
AIPGENE10225	grey
AIPGENE10227	turquoise
AIPGENE10233	purple
AIPGENE10239	red
AIPGENE1024	magenta
AIPGENE10242	brown
AIPGENE10245	tan
AIPGENE10247	green
AIPGENE1025	blue
AIPGENE10250	magenta
AIPGENE10258	grey
AIPGENE10259	brown
AIPGENE1026	green
AIPGENE10260	grey
AIPGENE10262	pink
AIPGENE10264	grey
AIPGENE10265	green
AIPGENE10270	grey
AIPGENE10271	grey
AIPGENE10274	yellow
AIPGENE10275	brown
AIPGENE10276	magenta
AIPGENE10277	red
AIPGENE10279	red
AIPGENE1028	green
AIPGENE10280	purple
AIPGENE10281	grey
AIPGENE10282	grey
AIPGENE10284	black
AIPGENE10285	grey
AIPGENE10287	darkgreen
AIPGENE10288	turquoise
AIPGENE10290	grey
AIPGENE10291	blue
AIPGENE10292	grey
AIPGENE10293	purple
AIPGENE10295	midnightblue
AIPGENE10296	blue
AIPGENE10297	midnightblue
AIPGENE10298	grey
AIPGENE10299	brown
