gene_id	colors
AIPGENE10000	turquoise
AIPGENE10001	lightsteelblue1
AIPGENE10002	pink
AIPGENE10004	purple
AIPGENE10006	darkorange
AIPGENE10007	mediumpurple3
AIPGENE10008	lightcyan
AIPGENE10010	paleturquoise
AIPGENE10012	brown
AIPGENE10014	lightcyan
AIPGENE10016	black
AIPGENE10017	grey
AIPGENE1002	green
AIPGENE10020	magenta
AIPGENE10022	coral2
AIPGENE10024	white
AIPGENE10025	red
AIPGENE10028	green
AIPGENE10029	black
AIPGENE1003	brown
AIPGENE10030	violet
AIPGENE10031	brown
AIPGENE10033	green
AIPGENE10034	white
AIPGENE10035	yellow4
AIPGENE10036	salmon
AIPGENE10038	purple
AIPGENE10041	yellow
AIPGENE10042	salmon4
AIPGENE10043	grey
AIPGENE10044	skyblue3
AIPGENE10045	brown
AIPGENE10049	brown
AIPGENE1005	grey
AIPGENE10050	darkolivegreen
AIPGENE10051	grey
AIPGENE10053	black
AIPGENE10055	green
AIPGENE10063	lightsteelblue1
AIPGENE10065	navajowhite1
AIPGENE10067	lightyellow
AIPGENE10068	mediumorchid
AIPGENE10069	sienna3
AIPGENE1007	magenta
AIPGENE10070	blue
AIPGENE10071	blue
AIPGENE10072	orangered4
AIPGENE10074	darkgrey
AIPGENE10077	yellow
AIPGENE1008	red
AIPGENE10081	yellow
AIPGENE10082	blue
AIPGENE10083	royalblue
AIPGENE10086	lightgreen
AIPGENE10087	brown4
AIPGENE10089	darkolivegreen4
AIPGENE1009	brown
AIPGENE10090	greenyellow
AIPGENE10091	grey
AIPGENE10092	darkred
AIPGENE10093	turquoise
AIPGENE10094	tan
AIPGENE10095	plum3
AIPGENE10097	darkorange
AIPGENE10098	darkgrey
AIPGENE10100	thistle1
AIPGENE10102	magenta
AIPGENE10103	white
AIPGENE10105	lightpink4
AIPGENE10106	white
AIPGENE10109	lightsteelblue1
AIPGENE10113	grey
AIPGENE10115	darkolivegreen
AIPGENE10117	mediumpurple3
AIPGENE10118	skyblue3
AIPGENE10119	purple
AIPGENE1012	darkorange
AIPGENE10120	salmon
AIPGENE10121	darkgreen
AIPGENE10125	green
AIPGENE10128	lavenderblush3
AIPGENE10129	royalblue
AIPGENE10131	salmon
AIPGENE10132	grey
AIPGENE10133	palevioletred2
AIPGENE10134	brown
AIPGENE10135	turquoise
AIPGENE10137	turquoise
AIPGENE10138	lightcyan
AIPGENE10139	orangered3
AIPGENE10141	brown
AIPGENE10142	darkgreen
AIPGENE10143	sienna3
AIPGENE10145	brown4
AIPGENE10146	darkturquoise
AIPGENE10147	grey
AIPGENE10148	purple
AIPGENE10149	brown
AIPGENE1015	thistle3
AIPGENE10150	turquoise
AIPGENE10151	green
AIPGENE10152	turquoise
AIPGENE10153	grey
AIPGENE10154	midnightblue
AIPGENE10155	darkorange
AIPGENE10156	grey
AIPGENE10157	blue2
AIPGENE10158	brown
AIPGENE10159	magenta
AIPGENE10160	orange
AIPGENE10161	grey
AIPGENE10162	salmon4
AIPGENE10163	black
AIPGENE10165	darkorange
AIPGENE10167	skyblue3
AIPGENE10168	brown
AIPGENE10169	bisque4
AIPGENE1017	grey
AIPGENE10172	brown
AIPGENE10173	salmon4
AIPGENE10174	pink
AIPGENE10175	brown
AIPGENE10176	yellow
AIPGENE10177	turquoise
AIPGENE10178	turquoise
AIPGENE10179	brown
AIPGENE10180	yellow
AIPGENE10182	orange
AIPGENE10183	brown
AIPGENE10184	grey
AIPGENE10185	white
AIPGENE10186	brown
AIPGENE10187	orange
AIPGENE10188	grey
AIPGENE1019	darkgrey
AIPGENE10191	navajowhite2
AIPGENE10193	brown
AIPGENE10194	turquoise
AIPGENE10195	turquoise
AIPGENE1020	grey
AIPGENE10200	yellowgreen
AIPGENE10209	white
AIPGENE10212	orange
AIPGENE10214	firebrick4
AIPGENE10217	blue
AIPGENE10222	grey
AIPGENE10223	skyblue1
AIPGENE10225	grey
AIPGENE10227	purple
AIPGENE10233	grey
AIPGENE10239	grey
AIPGENE1024	royalblue
AIPGENE10242	blue
AIPGENE10245	yellow
AIPGENE10247	purple
AIPGENE1025	thistle3
AIPGENE10250	darkred
AIPGENE10255	green
AIPGENE10258	purple
AIPGENE10259	blue
AIPGENE1026	white
AIPGENE10260	grey
AIPGENE10262	turquoise
AIPGENE10263	indianred4
AIPGENE10264	mediumpurple3
AIPGENE10265	orange
AIPGENE1027	firebrick4
AIPGENE10270	grey
AIPGENE10271	lavenderblush3
AIPGENE10274	red
AIPGENE10275	blue
AIPGENE10276	brown
AIPGENE10277	darkolivegreen
AIPGENE10279	cyan
AIPGENE1028	darkorange
AIPGENE10280	turquoise
AIPGENE10281	palevioletred2
AIPGENE10282	darkolivegreen
AIPGENE10284	black
AIPGENE10285	paleturquoise
AIPGENE10287	darkturquoise
AIPGENE10288	black
AIPGENE10290	turquoise
AIPGENE10291	yellow
AIPGENE10292	antiquewhite4
AIPGENE10293	magenta
AIPGENE10295	brown
AIPGENE10296	grey60
AIPGENE10297	yellow
AIPGENE10298	grey
AIPGENE10299	blue
AIPGENE1030	black
AIPGENE10301	pink
AIPGENE10302	grey
AIPGENE10303	grey
AIPGENE10305	midnightblue
AIPGENE10306	grey
AIPGENE10308	yellow
AIPGENE10312	greenyellow
AIPGENE10314	green
AIPGENE10315	darkgreen
AIPGENE10316	royalblue
AIPGENE10319	turquoise
AIPGENE1032	magenta
AIPGENE10321	purple
AIPGENE10322	blue
AIPGENE10324	skyblue
AIPGENE10325	brown
AIPGENE10326	turquoise
AIPGENE10328	sienna3
AIPGENE1033	red
AIPGENE10330	magenta
AIPGENE10332	pink
AIPGENE10334	turquoise
AIPGENE10335	black
AIPGENE10336	darkgreen
AIPGENE10337	orange
AIPGENE10338	grey
AIPGENE10339	white
AIPGENE1034	purple
AIPGENE10343	red
AIPGENE10344	grey
AIPGENE10345	blue
AIPGENE10358	thistle2
AIPGENE1036	red
AIPGENE10361	royalblue
