gene_id	colors
AIPGENE10000	tan
AIPGENE10001	brown
AIPGENE10002	pink
AIPGENE10004	grey60
AIPGENE10006	pink
AIPGENE10007	magenta
AIPGENE10008	turquoise
AIPGENE10010	yellow
AIPGENE10012	tan
AIPGENE10014	salmon
AIPGENE10016	turquoise
AIPGENE10017	orange
AIPGENE1002	lightyellow
AIPGENE10020	salmon
AIPGENE10022	darkgrey
AIPGENE10024	blue
AIPGENE10025	magenta
AIPGENE10028	salmon
AIPGENE10029	turquoise
AIPGENE1003	yellow
AIPGENE10031	grey
AIPGENE10033	grey
AIPGENE10034	violet
AIPGENE10035	tan
AIPGENE10036	pink
AIPGENE10038	paleturquoise
AIPGENE10040	turquoise
AIPGENE10041	turquoise
AIPGENE10042	grey
AIPGENE10043	black
AIPGENE10044	greenyellow
AIPGENE10045	sienna3
AIPGENE10047	red
AIPGENE10048	grey
AIPGENE10049	black
AIPGENE1005	lightcyan
AIPGENE10050	black
AIPGENE10051	grey
AIPGENE10053	magenta
AIPGENE10055	turquoise
AIPGENE10065	grey
AIPGENE10067	blue
AIPGENE10068	pink
AIPGENE10069	magenta
AIPGENE1007	magenta
AIPGENE10070	grey
AIPGENE10071	lightgreen
AIPGENE10072	turquoise
AIPGENE10074	brown
AIPGENE10077	grey
AIPGENE1008	pink
AIPGENE10081	red
AIPGENE10083	brown
AIPGENE10086	royalblue
AIPGENE10087	grey
AIPGENE10088	grey
AIPGENE10089	pink
AIPGENE1009	brown
AIPGENE10090	turquoise
AIPGENE10091	grey
AIPGENE10092	grey
AIPGENE10093	lightcyan
AIPGENE10094	grey
AIPGENE10095	greenyellow
AIPGENE10097	green
AIPGENE10098	red
AIPGENE10100	yellow
AIPGENE10101	brown
AIPGENE10102	tan
AIPGENE10103	grey
AIPGENE10105	grey
AIPGENE10106	turquoise
AIPGENE10109	brown
AIPGENE1011	turquoise
AIPGENE10113	grey
AIPGENE10115	purple
AIPGENE10117	darkgrey
AIPGENE10118	yellow
AIPGENE10119	grey
AIPGENE1012	red
AIPGENE10120	yellow
AIPGENE10121	blue
AIPGENE10125	turquoise
AIPGENE10128	turquoise
AIPGENE10129	yellow
AIPGENE10131	pink
AIPGENE10132	darkorange
AIPGENE10133	grey
AIPGENE10134	green
AIPGENE10135	grey
AIPGENE10137	blue
AIPGENE10138	blue
AIPGENE10139	purple
AIPGENE10141	midnightblue
AIPGENE10142	grey60
AIPGENE10143	black
AIPGENE10145	magenta
AIPGENE10146	mediumpurple3
AIPGENE10147	grey
AIPGENE10148	grey
AIPGENE10149	green
AIPGENE1015	grey
AIPGENE10150	midnightblue
AIPGENE10151	grey
AIPGENE10152	lightyellow
AIPGENE10153	pink
AIPGENE10154	midnightblue
AIPGENE10155	turquoise
AIPGENE10156	grey
AIPGENE10157	pink
AIPGENE10159	yellow
AIPGENE1016	grey
AIPGENE10160	skyblue3
AIPGENE10161	yellow
AIPGENE10162	steelblue
AIPGENE10163	grey
AIPGENE10165	grey
AIPGENE10167	darkorange
AIPGENE10168	grey
AIPGENE10169	salmon
AIPGENE1017	lightyellow
AIPGENE10172	grey
AIPGENE10173	black
AIPGENE10174	red
AIPGENE10175	purple
AIPGENE10176	grey
AIPGENE10178	red
AIPGENE10179	brown
AIPGENE10180	pink
AIPGENE10182	brown
AIPGENE10183	brown
AIPGENE10184	saddlebrown
AIPGENE10185	black
AIPGENE10186	brown
AIPGENE10187	turquoise
AIPGENE10188	grey60
AIPGENE1019	salmon
AIPGENE10191	grey
AIPGENE10193	sienna3
AIPGENE10194	violet
AIPGENE10195	grey
AIPGENE1020	skyblue
AIPGENE10200	grey
AIPGENE10209	greenyellow
AIPGENE10212	blue
AIPGENE10214	black
AIPGENE10217	blue
AIPGENE10222	darkorange
AIPGENE10223	brown
AIPGENE10225	red
AIPGENE10227	salmon
AIPGENE10233	salmon
AIPGENE10239	plum1
AIPGENE1024	magenta
AIPGENE10242	blue
AIPGENE10245	purple
AIPGENE10247	red
AIPGENE1025	grey
AIPGENE10250	midnightblue
AIPGENE10258	grey
AIPGENE10259	blue
AIPGENE1026	midnightblue
AIPGENE10260	purple
AIPGENE10262	yellow
AIPGENE10264	magenta
AIPGENE10265	greenyellow
AIPGENE10270	blue
AIPGENE10271	grey
AIPGENE10274	magenta
AIPGENE10275	blue
AIPGENE10276	magenta
AIPGENE10277	red
AIPGENE10279	turquoise
AIPGENE1028	turquoise
AIPGENE10280	turquoise
AIPGENE10281	steelblue
AIPGENE10282	grey
AIPGENE10284	skyblue
AIPGENE10285	greenyellow
AIPGENE10287	purple
AIPGENE10288	salmon
AIPGENE10290	grey
AIPGENE10291	grey
AIPGENE10292	green
AIPGENE10293	red
AIPGENE10295	pink
AIPGENE10296	pink
AIPGENE10297	purple
AIPGENE10298	grey
AIPGENE10299	black
AIPGENE10301	salmon
AIPGENE10302	paleturquoise
AIPGENE10305	darkgrey
AIPGENE10306	grey
AIPGENE10307	grey
AIPGENE10308	magenta
AIPGENE10314	turquoise
AIPGENE10315	grey
AIPGENE10316	turquoise
AIPGENE10319	darkorange
AIPGENE1032	grey
AIPGENE10321	skyblue
AIPGENE10322	grey
AIPGENE10323	turquoise
AIPGENE10324	pink
AIPGENE10325	grey
AIPGENE10328	turquoise
AIPGENE1033	grey
AIPGENE10330	cyan
AIPGENE10332	grey60
AIPGENE10334	darkgreen
AIPGENE10335	blue
AIPGENE10336	blue
AIPGENE10337	greenyellow
AIPGENE10338	grey
AIPGENE10339	grey
AIPGENE1034	darkred
AIPGENE10343	magenta
AIPGENE10344	lightgreen
AIPGENE10345	orange
AIPGENE10358	yellow
AIPGENE1036	turquoise
AIPGENE10361	salmon
AIPGENE10362	yellow
AIPGENE10363	royalblue
AIPGENE10364	grey
AIPGENE10366	turquoise
AIPGENE10368	blue
AIPGENE10370	grey
AIPGENE10373	sienna3
AIPGENE10375	greenyellow
AIPGENE10385	grey
AIPGENE10386	purple
AIPGENE10387	blue
AIPGENE10388	grey
AIPGENE10389	grey
AIPGENE10394	turquoise
AIPGENE10396	grey
AIPGENE10397	purple
AIPGENE10398	turquoise
AIPGENE10400	grey60
AIPGENE10401	lightyellow
AIPGENE10407	turquoise
AIPGENE10411	royalblue
AIPGENE10412	grey
AIPGENE10413	yellow
AIPGENE10416	blue
AIPGENE10417	blue
AIPGENE10419	yellow
AIPGENE10420	brown
AIPGENE10421	tan
AIPGENE10422	cyan
AIPGENE1045	grey
AIPGENE1046	grey
AIPGENE10491	steelblue
AIPGENE10492	turquoise
AIPGENE10493	magenta
AIPGENE10494	salmon
AIPGENE10495	turquoise
AIPGENE10497	blue
AIPGENE10498	royalblue
AIPGENE10499	pink
AIPGENE1050	blue
AIPGENE10500	grey
AIPGENE10501	blue
AIPGENE10503	royalblue
AIPGENE10504	yellow
AIPGENE10505	yellow
AIPGENE10506	grey
AIPGENE10509	sienna3
AIPGENE1051	turquoise
AIPGENE10510	blue
AIPGENE10511	green
AIPGENE10512	darkorange
AIPGENE10514	lightyellow
AIPGENE10515	brown
AIPGENE10516	violet
AIPGENE10518	brown
AIPGENE10519	salmon
AIPGENE1052	skyblue
AIPGENE10522	darkolivegreen
AIPGENE10523	mediumpurple3
AIPGENE10524	paleturquoise
AIPGENE10525	greenyellow
AIPGENE10527	greenyellow
AIPGENE10528	magenta
AIPGENE1053	grey60
AIPGENE10531	yellow
AIPGENE10532	midnightblue
AIPGENE10533	grey
AIPGENE10534	turquoise
AIPGENE10538	midnightblue
AIPGENE10539	green
AIPGENE1054	blue
AIPGENE10540	lightcyan
AIPGENE10541	midnightblue
AIPGENE10543	lightyellow
AIPGENE10544	grey
AIPGENE10545	red
AIPGENE10546	cyan
AIPGENE10547	lightcyan
AIPGENE10548	saddlebrown
AIPGENE1055	yellow
AIPGENE10550	salmon
AIPGENE10551	lightyellow
AIPGENE10556	grey
AIPGENE10557	grey
AIPGENE10558	darkturquoise
AIPGENE10559	black
AIPGENE10560	yellow
AIPGENE10561	yellow
AIPGENE10562	grey
AIPGENE10564	royalblue
AIPGENE10567	pink
AIPGENE10568	royalblue
AIPGENE10569	royalblue
AIPGENE1057	salmon
AIPGENE10571	yellow
AIPGENE10572	green
AIPGENE10574	brown
AIPGENE10575	yellowgreen
AIPGENE10578	brown
AIPGENE10579	brown
AIPGENE10581	violet
AIPGENE10582	grey
AIPGENE10583	turquoise
AIPGENE10584	green
AIPGENE10586	grey60
AIPGENE10587	yellowgreen
AIPGENE10589	yellow
AIPGENE10590	red
AIPGENE10592	black
AIPGENE10593	grey
AIPGENE10596	grey
AIPGENE10597	brown
AIPGENE10598	red
AIPGENE10599	green
AIPGENE10601	pink
AIPGENE10602	darkmagenta
AIPGENE10603	grey
AIPGENE10604	green
AIPGENE10605	white
AIPGENE10606	lightcyan
AIPGENE10608	darkorange
AIPGENE10609	magenta
AIPGENE1061	salmon
AIPGENE10611	tan
AIPGENE10612	skyblue
AIPGENE10614	red
AIPGENE10615	blue
AIPGENE10618	turquoise
AIPGENE10619	pink
AIPGENE1062	pink
AIPGENE10623	black
AIPGENE10625	tan
AIPGENE1063	yellow
AIPGENE10630	lightgreen
AIPGENE10633	pink
AIPGENE10638	tan
AIPGENE10639	grey
AIPGENE1064	saddlebrown
AIPGENE10640	turquoise
AIPGENE10641	pink
AIPGENE10643	turquoise
AIPGENE10644	turquoise
AIPGENE10648	blue
AIPGENE10649	red
AIPGENE1065	grey
AIPGENE10650	purple
AIPGENE10651	magenta
AIPGENE10652	grey
AIPGENE10653	darkgrey
AIPGENE10654	cyan
AIPGENE10655	darkred
AIPGENE10657	grey
AIPGENE10658	grey
AIPGENE1066	darkgreen
