gene_ID,Fishers
AIPGENE10043,1
AIPGENE10143,1
AIPGENE10743,1
AIPGENE10747,1
AIPGENE10792,1
AIPGENE10821,1
AIPGENE10853,1
AIPGENE10878,1
AIPGENE10918,1
AIPGENE10928,1
AIPGENE11113,1
AIPGENE11170,1
AIPGENE11193,1
AIPGENE11222,1
AIPGENE11225,1
AIPGENE11281,1
AIPGENE11467,1
AIPGENE11477,1
AIPGENE11521,1
AIPGENE11524,1
AIPGENE11543,1
AIPGENE11580,1
AIPGENE11586,1
AIPGENE11591,1
AIPGENE11661,1
AIPGENE11695,1
AIPGENE11728,1
AIPGENE1176,1
AIPGENE11806,1
AIPGENE1187,1
AIPGENE11974,1
AIPGENE12058,1
AIPGENE12094,1
AIPGENE121,1
AIPGENE12125,1
AIPGENE12151,1
AIPGENE12237,1
AIPGENE12241,1
AIPGENE12258,1
AIPGENE12332,1
AIPGENE12367,1
AIPGENE12495,1
AIPGENE12497,1
AIPGENE12505,1
AIPGENE12559,1
AIPGENE12604,1
AIPGENE12708,1
AIPGENE12846,1
AIPGENE12869,1
AIPGENE1291,1
AIPGENE12951,1
AIPGENE1297,1
AIPGENE12988,1
AIPGENE12997,1
AIPGENE1301,1
AIPGENE13021,1
AIPGENE13038,1
AIPGENE13092,1
AIPGENE13137,1
AIPGENE13159,1
AIPGENE13210,1
AIPGENE13265,1
AIPGENE13275,1
AIPGENE13380,1
AIPGENE13383,1
AIPGENE13439,1
AIPGENE13456,1
AIPGENE13510,1
AIPGENE1352,1
AIPGENE13540,1
AIPGENE13560,1
AIPGENE13583,1
AIPGENE13654,1
AIPGENE13680,1
AIPGENE13693,1
AIPGENE13694,1
AIPGENE13721,1
AIPGENE13726,1
AIPGENE13730,1
AIPGENE13930,1
AIPGENE13964,1
AIPGENE14068,1
AIPGENE14170,1
AIPGENE14171,1
AIPGENE1418,1
AIPGENE14219,1
AIPGENE14244,1
AIPGENE14246,1
AIPGENE14266,1
AIPGENE14299,1
AIPGENE14309,1
AIPGENE14328,1
AIPGENE1444,1
AIPGENE14497,1
AIPGENE14633,1
AIPGENE14679,1
AIPGENE14709,1
AIPGENE14723,1
AIPGENE14880,1
AIPGENE14894,1
AIPGENE14975,1
AIPGENE15008,1
AIPGENE15099,1
AIPGENE15110,1
AIPGENE15144,1
AIPGENE1518,1
AIPGENE15376,1
AIPGENE15383,1
AIPGENE15601,1
AIPGENE15680,1
AIPGENE15683,1
AIPGENE15824,1
AIPGENE15878,1
AIPGENE15883,1
AIPGENE15924,1
AIPGENE16005,1
AIPGENE16015,1
AIPGENE16047,1
AIPGENE16050,1
AIPGENE16069,1
AIPGENE1608,1
AIPGENE161,1
AIPGENE1610,1
AIPGENE16130,1
AIPGENE16186,1
AIPGENE16205,1
AIPGENE1629,1
AIPGENE16367,1
AIPGENE164,1
AIPGENE16560,1
AIPGENE16564,1
AIPGENE16594,1
AIPGENE16599,1
AIPGENE16656,1
AIPGENE16684,1
AIPGENE16790,1
AIPGENE168,1
AIPGENE1680,1
AIPGENE16862,1
AIPGENE16867,1
AIPGENE16893,1
AIPGENE16897,1
AIPGENE16903,1
AIPGENE16924,1
AIPGENE16932,1
AIPGENE16934,1
AIPGENE17111,1
AIPGENE17124,1
AIPGENE17146,1
AIPGENE17156,1
AIPGENE1716,1
AIPGENE17165,1
AIPGENE17166,1
AIPGENE17176,1
AIPGENE17179,1
AIPGENE17207,1
AIPGENE17273,1
AIPGENE17326,1
AIPGENE17327,1
AIPGENE17348,1
AIPGENE17468,1
AIPGENE17478,1
AIPGENE17481,1
AIPGENE17491,1
AIPGENE17497,1
AIPGENE17549,1
AIPGENE17554,1
AIPGENE17597,1
AIPGENE17601,1
AIPGENE17645,1
AIPGENE17670,1
AIPGENE17763,1
AIPGENE17786,1
AIPGENE17834,1
AIPGENE17934,1
AIPGENE17936,1
AIPGENE17939,1
AIPGENE17965,1
AIPGENE17980,1
AIPGENE17981,1
AIPGENE18026,1
AIPGENE18055,1
AIPGENE18146,1
AIPGENE18165,1
AIPGENE18435,1
AIPGENE18470,1
AIPGENE18567,1
AIPGENE18592,1
AIPGENE18593,1
AIPGENE18607,1
AIPGENE18660,1
AIPGENE18668,1
AIPGENE18767,1
AIPGENE18827,1
AIPGENE18838,1
AIPGENE18893,1
AIPGENE18987,1
AIPGENE18994,1
AIPGENE19050,1
AIPGENE19052,1
AIPGENE19072,1
AIPGENE19091,1
AIPGENE19098,1
AIPGENE19263,1
AIPGENE19267,1
AIPGENE19348,1
AIPGENE1949,1
AIPGENE19570,1
AIPGENE19625,1
AIPGENE19631,1
AIPGENE19710,1
AIPGENE19786,1
AIPGENE19787,1
AIPGENE198,1
AIPGENE19881,1
AIPGENE19884,1
AIPGENE19907,1
AIPGENE19934,1
AIPGENE19974,1
AIPGENE20046,1
AIPGENE2018,1
AIPGENE2021,1
AIPGENE20226,1
AIPGENE20243,1
AIPGENE20335,1
AIPGENE20433,1
AIPGENE20474,1
AIPGENE20525,1
AIPGENE20575,1
AIPGENE20659,1
AIPGENE20703,1
AIPGENE20764,1
AIPGENE20815,1
AIPGENE20825,1
AIPGENE20871,1
AIPGENE20873,1
AIPGENE20941,1
AIPGENE20955,1
AIPGENE20984,1
AIPGENE21003,1
AIPGENE21014,1
AIPGENE211,1
AIPGENE21117,1
AIPGENE21169,1
AIPGENE21181,1
AIPGENE2119,1
AIPGENE21235,1
AIPGENE2133,1
AIPGENE21330,1
AIPGENE21362,1
AIPGENE21419,1
AIPGENE21438,1
AIPGENE21469,1
AIPGENE21479,1
AIPGENE21611,1
AIPGENE21652,1
AIPGENE21666,1
