name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
alpha-amino acid biosynthetic process	1223	2.90095273110939e-05	2	71	GO:1901607	0.00177549825466239	1046	0.000740906769619925	2	79	GO:1901607	0.0204984206261513
alpha-amino acid metabolic process	1093	7.39098813917187e-09	2	172	GO:1901605	1.66354086886284e-06	788	8.92410640040339e-05	3	190	GO:1901605	0.00527037129916131
anatomical structure morphogenesis	-298	0.00474283157277924	2	582	GO:0009653	0.0700885110199599	-524	2.46491113944459e-06	2	653	GO:0009653	0.00036046390996354
calcium ion transmembrane transport	-725	0.00206850177331556	3	110	GO:0070588	0.0411596941996658	-834	0.000806451407549249	2	123	GO:0070588	0.0219169227662278
carbohydrate metabolic process	368	0.00416778709647464	2	382	GO:0005975	0.0652136098624855	495	0.000249421365047921	2	431	GO:0005975	0.00961571367022413
cardiac septum development	-2066	5.99814863114841e-06	3	29	GO:0003279	0.000531835845295159	-1775	0.000320998291512805	3	31	GO:0003279	0.0115974794498332
cell fate commitment involved in formation of primary germ layer	-2469	0.00445381135050298	2	8	GO:0001711;GO:0060795	0.0669618342112656	-2768	0.00247950602307498	5	9	GO:0060795	0.0464302621759955
cell motility	-752	4.52202789146607e-06	3	230	GO:0016477;GO:0048870	0.00042682108420741	-521	0.00257435362879824	2	259	GO:0016477;GO:0048870	0.0472197492808307
cell part morphogenesis	-823	1.57224485688078e-05	2	169	GO:0032990;GO:0048858	0.00106985777935655	-1009	5.60048902420711e-07	4	189	GO:0032990;GO:0048858	0.000107494386208375
cell projection organization	-817	5.75810261453537e-10	3	362	GO:0030030	2.40688689287578e-07	-870	8.89095166559369e-10	2	389	GO:0030030	6.82602814125956e-07
cell surface receptor signaling pathway	-371	1.25690766873044e-05	2	938	GO:0007166	0.000919427959676317	-566	2.92184144927633e-10	2	1049	GO:0007166	2.9909916969092e-07
cellular aldehyde metabolic process	1457	0.0065933050740836	3	21	GO:0006081	0.0842445879771555	2285	9.54078491234097e-05	2	22	GO:0006081	0.00532722735741802
cellular amino acid biosynthetic process	1119	9.8258162186062e-06	4	95	GO:0008652	0.000766417142945073	990	0.000220075629392874	3	106	GO:0008652	0.00925825010774679
cellular amino acid metabolic process	709	6.77828258233662e-06	4	250	GO:0006520	0.000583331024585793	521	0.00200318251389516	2	273	GO:0006520	0.0412870704709533
cellular component assembly involved in morphogenesis	-675	0.00145591053488776	2	136	GO:0030031;GO:0010927	0.0340799538006527	-806	0.000411518549532185	3	147	GO:0010927;GO:0030031	0.0135889619958424
cellular component biogenesis	1061	4.51613768068367e-05	2	90	GO:0044085	0.00264284377073608	802	0.00400741143295987	2	98	GO:0044085	0.0612276642319391
cellular component morphogenesis	-686	1.51077265869807e-05	3	247	GO:0032989	0.00106122456504295	-734	1.13152871646076e-05	2	277	GO:0032989	0.00151083682097869
cellular component movement	-862	1.59317283870168e-13	3	467	GO:0006928	2.33081186302056e-10	-654	1.4232497163886e-07	3	515	GO:0006928	3.64233323252449e-05
cellular hormone metabolic process	1614	0.000103022153860087	4	35	GO:0034754	0.00486198100313894	1137	0.0066865024103965	2	43	GO:0034754	0.0854082282417586
cellular lipid metabolic process	394	0.00432198346461022	3	329	GO:0044255	0.0662100712955471	506	0.000562422843733377	2	363	GO:0044255	0.0166831058419182
cellular modified amino acid biosynthetic process	1122	0.00780568970377692	2	34	GO:0042398	0.0928432848506149	1317	0.00244906941441601	2	40	GO:0042398	0.0462455424015648
cellular modified amino acid metabolic process	1250	7.87363037720678e-07	2	95	GO:0006575	0.000109705916589081	943	0.000459832626140203	2	105	GO:0006575	0.0148504357320799
cilium morphogenesis	-1213	8.1154941545565e-05	2	64	GO:0060271	0.0040247348976665	-1364	2.64423463210256e-05	2	72	GO:0060271	0.00270681485172899
cilium movement	-1363	0.000388017693347433	3	41	GO:0003341	0.0133569384792305	-2037	5.05883609920847e-07	5	46	GO:0003341	0.000103571237737795
cofactor biosynthetic process	1205	8.06533490318908e-05	2	65	GO:0009108;GO:0051188	0.0040247348976665	929	0.00370779284496281	2	74	GO:0051188	0.0598595148697174
cofactor metabolic process	1219	3.54706502633913e-08	2	125	GO:0006732;GO:0051186	6.91914151137886e-06	877	0.000156407103634506	2	142	GO:0006732;GO:0051186	0.007505097113462
