name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
actin filament capping	-1905	0.00192192119611763	2	16	GO:0051693	0.0396024043650717	-1922	0.00150547783332585	4	14	GO:0051693	0.0486425079250456
anatomical structure morphogenesis	-298	0.00474283157277924	2	582	GO:0009653	0.0700885110199599	-332	0.000940210098885977	2	548	GO:0009653	0.036204528602308
cardiac septum development	-2066	5.99814863114841e-06	3	29	GO:0003279	0.000531835845295159	-1685	8.44525988143568e-05	2	28	GO:0003279	0.00608708346838864
cell cycle	-687	4.55436846889227e-09	2	464	GO:0007049	1.11050684499823e-06	-672	1.93652604859912e-09	3	432	GO:0007049	9.07262453768688e-07
cell cycle process	-652	2.93167613747058e-09	2	532	GO:0022402	8.57808437823892e-07	-626	3.02990545519488e-09	3	490	GO:0022402	1.21672346207897e-06
cell division	-802	4.22385850596958e-08	3	291	GO:0051301	7.72438124279187e-06	-718	3.21169851750119e-07	3	269	GO:0051301	5.6425528329349e-05
cell part morphogenesis	-823	1.57224485688078e-05	2	169	GO:0032990;GO:0048858	0.00106985777935655	-937	2.39118580658804e-07	4	159	GO:0032990;GO:0048858	4.80115950165641e-05
cell projection organization	-817	5.75810261453537e-10	3	362	GO:0030030	2.40688689287578e-07	-891	8.94935442227964e-13	3	345	GO:0030030	8.38554509367602e-10
cellular component morphogenesis	-686	1.51077265869807e-05	3	247	GO:0032989	0.00106122456504295	-741	1.12818511802649e-06	2	228	GO:0032989	0.000176184909265137
cellular component movement	-862	1.59317283870168e-13	3	467	GO:0006928	2.33081186302056e-10	-590	1.09903882750743e-07	3	439	GO:0006928	2.57449845343615e-05
chromatin organization	-460	0.00189884332162034	2	284	GO:0006325;GO:0016568	0.0394043656671001	-531	0.000163108735647447	2	267	GO:0006325;GO:0016568	0.0104618578706215
chromosome organization	-343	0.00667906033149603	2	394	GO:0051276	0.0847710005373561	-494	4.11956610212207e-05	2	371	GO:0051276	0.00373551623002101
cilium morphogenesis	-1213	8.1154941545565e-05	2	64	GO:0060271	0.0040247348976665	-1597	3.10904285758659e-08	3	62	GO:0060271	7.94501770243264e-06
cilium movement	-1363	0.000388017693347433	3	41	GO:0003341	0.0133569384792305	-2086	9.34516727848695e-09	2	39	GO:0003341	3.28365815247835e-06
convergent extension	-1379	0.00178953238387288	2	31	GO:0060026;GO:0060027;GO:2000050;GO:2000095	0.0383262600676808	-1790	1.537383404283e-05	5	30	GO:0060026;GO:0060027;GO:2000050;GO:2000095	0.00172863389977581
cytokinesis	-973	0.00221391721499997	4	60	GO:0000910	0.0423393579809798	-1051	0.000381841578353991	4	59	GO:0000910	0.0185061495991908
cytoskeleton organization	-921	3.16807951023966e-10	2	291	GO:0007010	1.54496677449354e-07	-732	1.24029264912322e-07	2	277	GO:0007010	2.68189433591182e-05
digestion	-1287	0.00226714808811887	3	34	GO:0007586	0.0427979051989407	1933	4.44275201697465e-06	3	29	GO:0007586	0.000577591589817597
establishment of mitotic spindle localization	-2441	7.02737973248431e-05	4	16	GO:0000132;GO:0040001;GO:0051294	0.00360738826267528	-1760	0.0018891073419232	2	16	GO:0000132;GO:0040001;GO:0051294	0.0586644449091053
establishment of spindle localization	-2166	5.34322874609393e-05	2	21	GO:0051293	0.00306554653158252	-1864	0.000163757291464726	3	21	GO:0051293	0.0104618578706215
establishment or maintenance of cell polarity	-1545	1.0343188992387e-07	3	72	GO:0007163	1.78024535245437e-05	-895	0.000990447630793384	3	70	GO:0007163	0.037121977202136
inner ear receptor stereocilium organization	-1766	0.000429043025761357	2	24	GO:0060122	0.0144296539468705	-1549	0.00081788730681218	2	24	GO:0060122	0.0326931244245535
intracellular signal transduction	-441	6.62318720530958e-05	2	526	GO:0035556	0.00356113757581643	-401	0.000143710483541232	3	490	GO:0035556	0.00961833736272389
maintenance of organ identity	-1760	0.000343794198396374	3	25	GO:0048496	0.0125438391254457	-1765	9.92637009686641e-05	3	25	GO:0048496	0.0068056161810467
microtubule cytoskeleton organization	-841	8.80914445436003e-05	3	133	GO:0000226	0.00422550109400942	-873	1.49104245422524e-05	2	128	GO:0000226	0.00172863389977581
microtubule-based movement	-1202	1.20370830164606e-09	2	157	GO:0007018	4.40256311327046e-07	-1267	1.13799464770774e-11	2	150	GO:0007018	6.39780590941291e-09
microtubule-based process	-1023	1.03685981416571e-12	3	303	GO:0007017	1.01128393874962e-09	-952	2.11174251407846e-12	3	290	GO:0007017	1.48402705176864e-09
one-carbon metabolic process	2266	1.52328884934394e-05	2	22	GO:0006730	0.00106122456504295	1747	0.00056677527601769	2	20	GO:0006730	0.0245108507828573
organelle assembly	-543	0.00888437429118316	2	142	GO:0070925	0.0996003033563292	-615	0.00189913357763379	3	133	GO:0070925	0.0586644449091053
organelle fission	-663	9.95346938889705e-06	2	276	GO:0000280;GO:0048285;GO:0007067	0.000766417142945073	-666	4.72593616713082e-06	2	250	GO:0000280;GO:0048285;GO:0007067	0.000577591589817597
organonitrogen compound biosynthetic process	785	3.43663820115461e-07	2	262	GO:1901566	5.0278016882892e-05	465	0.00165191379342484	4	242	GO:1901566	0.0527673826513321
oxidation-reduction process	1041	3.14187126122426e-24	2	618	GO:0055114	9.19311531034219e-21	361	0.000221899864349464	3	580	GO:0055114	0.0133836421536293
phosphorylation	-358	0.00115169335530527	2	529	GO:0016310;GO:0006468	0.0285580911662985	-440	2.98218533417943e-05	5	492	GO:0016310;GO:0006468	0.00310478628680681
photoreceptor cell maintenance	-1242	0.00212914651030742	3	37	GO:0045494	0.0415325512610634	-1330	0.00036124507954963	2	37	GO:0045494	0.0178150862914739
protein localization to paranode region of axon	-2905	0.00814261689421633	5	5	GO:0002175	0.0956839238252088	-3166	0.00176572063751888	2	5	GO:0002175	0.0557689967647817
protein modification by small protein conjugation or removal	-355	0.00224808851344969	7	471	GO:0016567;GO:0032446;GO:0070647	0.0427136817555441	-625	2.60196341701112e-08	2	430	GO:0016567;GO:0032446;GO:0070647	7.31411916521826e-06
pteridine-containing compound metabolic process	2155	8.72615054010949e-05	3	20	GO:0006760;GO:0042558	0.00422550109400942	1563	0.00264486039606976	7	19	GO:0006760;GO:0042558	0.0766464182819804
regulation of canonical Wnt signaling pathway	-949	0.000452083998576208	2	83	GO:0060828	0.014862896402629	-1049	3.30229347385418e-05	2	81	GO:0060828	0.00331526676964432
regulation of catabolic process	-358	0.00768848303632814	3	348	GO:0009894;GO:0031329	0.0921987760831809	-408	0.00129932754555139	4	332	GO:0009894;GO:0031329	0.0443559908451147
regulation of cell communication	-412	1.32361067904354e-06	4	930	GO:0009966;GO:0010646;GO:0023051	0.000154915393875256	-324	6.5673543325283e-05	2	874	GO:0009966;GO:0010646;GO:0023051	0.00512800917464918
regulation of cell cycle	-444	0.000620363253016006	2	375	GO:0051726	0.0183351805891397	-569	4.63711203417058e-06	2	348	GO:0051726	0.000577591589817597
regulation of cellular component organization	-469	2.68517853314577e-06	2	653	GO:0051128	0.000290993792147575	-278	0.00367547737790299	2	604	GO:0051128	0.097469499144201
regulation of developmental process	-553	3.39668673463087e-08	4	650	GO:2000026;GO:0050793	6.91914151137886e-06	-286	0.0027054333397458	2	612	GO:2000026;GO:0050793	0.0776017665104637
regulation of mitotic cell cycle	-703	3.95659489425601e-05	3	211	GO:0007346	0.00236265237971287	-807	1.28826442582426e-06	2	189	GO:0007346	0.000186148463869208
regulation of molecular function	-311	0.00030076351400097	2	912	GO:0050790;GO:0065009	0.0114290135320369	-307	0.000175036962035551	3	858	GO:0050790;GO:0065009	0.0109339755618208
regulation of nucleoside metabolic process	-519	0.0014869146771992	2	232	GO:0009118;GO:0030811;GO:0043087;GO:0033124;GO:0033121;GO:0043547	0.0345294630594036	-453	0.0034670011234532	2	219	GO:0009118;GO:0030811;GO:0043087;GO:0033124;GO:0033121;GO:0043547	0.0929118206302274
regulation of nucleotide metabolic process	-671	3.28906129750189e-06	2	300	GO:0006140;GO:1900542	0.000320793111883018	-554	5.53404086163614e-05	2	281	GO:0006140;GO:1900542	0.00457534966531153
regulation of phosphorus metabolic process	-477	9.55636974542425e-07	2	691	GO:0019220;GO:0051174	0.000127099717614143	-336	0.000300012234483961	3	648	GO:0019220;GO:0051174	0.0159119696440456
regulation of planar cell polarity pathway involved in neural tube closure	-2068	0.00353675868121062	2	12	GO:2000167	0.0584664175210298	-2371	0.000287758227627532	3	12	GO:2000167	0.015555545728096
regulation of Ras GTPase activity	-765	0.000376452292565618	3	132	GO:0032318;GO:0032320	0.0132710772053855	-657	0.00134275415895284	2	124	GO:0032318;GO:0032320	0.0449343088192433
single-organism organelle organization	-620	3.3627188111559e-11	2	756	GO:1902589	2.45982881036054e-08	-726	4.60682784846843e-16	2	704	GO:1902589	6.47489654102238e-13
specification of symmetry	-919	0.00609806765849227	4	54	GO:0007368;GO:0009855;GO:0009799	0.0807373120757845	-1252	6.00337191215955e-05	3	53	GO:0007368;GO:0009855;GO:0009799	0.004821565270023
translation	1135	6.83527401480423e-11	5	204	GO:0006412	4.00000235346344e-08	921	1.47491250245492e-08	3	199	GO:0006412	4.60664338266753e-06
translational elongation	2333	5.3015370890465e-06	3	23	GO:0006414	0.000484759297579689	1624	0.000777157890607506	5	22	GO:0006414	0.0321263357426132
tRNA aminoacylation for protein translation	-2259	1.03957977035022e-05	5	23	GO:0006418;GO:0043039;GO:0043038	0.000779951386678139	-1735	0.000241955975117963	8	23	GO:0006418;GO:0043039;GO:0043038	0.0141695467928457
Wnt signaling pathway	-714	0.000491374073724416	2	146	GO:0016055	0.0154597907496521	-593	0.00204302029016618	4	141	GO:0016055	0.0604518951121803
