name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
actin filament-based process	-768	0.000279252943039231	2	137	GO:0030029;GO:0030036	0.0107970979893091	982	6.70479816782655e-05	3	153	GO:0030029;GO:0030036	0.00648740016662733
anatomical structure morphogenesis	-298	0.00474283157277924	2	582	GO:0009653	0.0700885110199599	418	0.000409698630918041	2	702	GO:0009653	0.0261633545704261
calcium ion transmembrane transport	-725	0.00206850177331556	3	110	GO:0070588	0.0411596941996658	-780	0.00323025268434314	2	132	GO:0070588	0.0859534389619937
cell projection organization	-817	5.75810261453537e-10	3	362	GO:0030030	2.40688689287578e-07	511	0.000773300631195403	3	412	GO:0030030	0.0404778510722446
cellular component assembly involved in morphogenesis	-675	0.00145591053488776	2	136	GO:0030031;GO:0010927	0.0340799538006527	1157	1.4524907264918e-05	2	130	GO:0010927	0.00178377034218781
chromatin organization	-460	0.00189884332162034	2	284	GO:0006325;GO:0016568	0.0394043656671001	479	0.00414255825737097	3	339	GO:0006325;GO:0016568	0.0972587390866581
cofactor metabolic process	1219	3.54706502633913e-08	2	125	GO:0006732;GO:0051186	6.91914151137886e-06	1012	4.20795395247629e-05	4	152	GO:0006732;GO:0051186	0.00447866565675227
cytokinesis	-973	0.00221391721499997	4	60	GO:0000910	0.0423393579809798	1071	0.00386791345584567	4	67	GO:0000910	0.0944939880426844
cytoskeleton organization	-921	3.16807951023966e-10	2	291	GO:0007010	1.54496677449354e-07	893	1.43493323120931e-07	3	328	GO:0007010	3.81811817270944e-05
digestion	-1287	0.00226714808811887	3	34	GO:0007586	0.0427979051989407	-1804	0.000354125585442209	3	36	GO:0007586	0.0241815006186955
establishment of planar polarity of embryonic epithelium	-2342	0.00156334340860507	3	11	GO:0033690;GO:0042249;GO:0043932;GO:0090177	0.0360184473510113	-2500	0.00289477545395751	2	13	GO:0033690;GO:0042249;GO:0043932;GO:0090177	0.0817966196857197
extracellular structure organization	-629	0.0032308113660801	4	134	GO:0030198;GO:0043062	0.0549613607973859	-1049	1.10971595568477e-05	4	163	GO:0030198;GO:0043062	0.00147533509613675
intracellular signal transduction	-441	6.62318720530958e-05	2	526	GO:0035556	0.00356113757581643	398	0.00159606282668042	4	610	GO:0035556	0.0608165777735448
microtubule cytoskeleton organization	-841	8.80914445436003e-05	3	133	GO:0000226	0.00422550109400942	852	0.00066409980843828	2	148	GO:0000226	0.0372012401463759
microtubule-based process	-1023	1.03685981416571e-12	3	303	GO:0007017	1.01128393874962e-09	491	0.00313708879893921	3	343	GO:0007017	0.0859534389619937
monosaccharide metabolic process	985	0.000353377594352433	2	80	GO:0005996;GO:0019318	0.0126095468423807	916	0.0028405252898653	4	98	GO:0005996;GO:0019318	0.0817098851399991
organelle assembly	-543	0.00888437429118316	2	142	GO:0070925	0.0996003033563292	938	0.000103511967605379	4	159	GO:0070925	0.00944324893039929
oxidation-reduction process	1041	3.14187126122426e-24	2	618	GO:0055114	9.19311531034219e-21	677	1.87129785823558e-09	2	779	GO:0055114	1.24464995351553e-06
peptidyl-amino acid modification	-354	0.00657497371773147	5	371	GO:0018193	0.0842445879771555	489	0.00115117648782834	2	421	GO:0018193	0.0483645595478407
primary alcohol metabolic process	2822	1.09450690285213e-06	2	18	GO:0034308	0.000134398119458849	1773	0.00341272858642025	2	25	GO:0034308	0.0885922144426005
regulation of catabolic process	-358	0.00768848303632814	3	348	GO:0009894;GO:0031329	0.0921987760831809	483	0.00170470468636339	2	402	GO:0009894;GO:0031329	0.0623746175201316
regulation of cell cycle	-444	0.000620363253016006	2	375	GO:0051726	0.0183351805891397	425	0.00380306493042784	4	442	GO:0051726	0.094133227308962
regulation of cyclic nucleotide metabolic process	-1080	0.000200220714833979	2	72	GO:0030799;GO:0030814	0.00855042635850677	-1250	6.04956463348852e-05	2	95	GO:0030799;GO:0030814	0.00603633121085276
regulation of nucleoside metabolic process	-519	0.0014869146771992	2	232	GO:0009118;GO:0030811;GO:0043087;GO:0033124;GO:0033121;GO:0043547	0.0345294630594036	565	0.00255521454506446	3	268	GO:0009118;GO:0030811;GO:0043087;GO:0033124;GO:0033121;GO:0043547	0.0781066574776497
regulation of vasodilation	-1632	0.00378927051411492	2	19	GO:0042312	0.0615966973572236	-2042	0.000955955181562221	2	24	GO:0042312	0.0423939568712246
response to biotic stimulus	-492	0.00384039164587836	2	213	GO:0043207;GO:0009607	0.0616357598848269	-604	0.00161087307326462	2	256	GO:0009607;GO:0043207	0.0608165777735448
response to other organism	-566	0.00543053752058654	2	148	GO:0051707	0.0756654894535058	-660	0.00401435989630118	2	177	GO:0051707	0.0949470455473309
retinol metabolic process	2882	2.32369607475026e-05	3	13	GO:0042572	0.0015036987604569	2056	0.00396561052230495	2	18	GO:0042572	0.0944939880426844
single-organism biosynthetic process	666	3.82574328666593e-09	2	500	GO:0044711	1.01764771425314e-06	368	0.00325723962242444	2	620	GO:0044711	0.0859534389619937
single-organism organelle organization	-620	3.3627188111559e-11	2	756	GO:1902589	2.45982881036054e-08	561	1.42659464652269e-07	3	879	GO:1902589	3.81811817270944e-05
small molecule catabolic process	894	2.36398301370531e-05	3	137	GO:0046395;GO:0016054;GO:0044282	0.0015036987604569	800	0.000834067205927168	2	162	GO:0046395;GO:0016054;GO:0044282	0.0416121341957101
steroid biosynthetic process	881	0.00795992065410974	2	55	GO:0006694	0.0939142251367948	1568	3.56431088135461e-05	2	64	GO:0006694	0.0039244291876432
translation	1135	6.83527401480423e-11	5	204	GO:0006412	4.00000235346344e-08	-1167	2.15788056664204e-08	5	215	GO:0006412	9.84301807041148e-06
tRNA aminoacylation for protein translation	-2259	1.03957977035022e-05	5	23	GO:0006418;GO:0043039;GO:0043038	0.000779951386678139	-2737	9.52556164192274e-06	6	24	GO:0006418;GO:0043039;GO:0043038	0.00132239644881127
vitamin metabolic process	1421	0.000258508862592475	3	40	GO:0006766	0.0104272457858608	1262	0.00294350816006411	2	51	GO:0006766	0.0824440487288132
