name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
actin filament capping	-1905	0.00192192119611763	2	16	GO:0051693	0.0396024043650717	2476	0.000753737956270095	2	18	GO:0051693	0.0353492177752178
actin filament-based process	-768	0.000279252943039231	2	137	GO:0030029;GO:0030036	0.0107970979893091	922	0.000211579894788952	3	159	GO:0030029;GO:0030036	0.013693450790741
amine metabolic process	1165	0.000724244658871154	5	51	GO:0006576;GO:0044106;GO:0009308	0.0209302158834639	1214	0.00135760506471714	5	68	GO:0006576;GO:0044106;GO:0009308	0.0529302408364418
anatomical structure morphogenesis	-298	0.00474283157277924	2	582	GO:0009653	0.0700885110199599	386	0.00123688578121586	2	728	GO:0009653	0.0500320298501815
cardiac muscle cell action potential	-2778	0.00275921161446193	5	7	GO:0086001;GO:0086002;GO:0086014	0.0498361307649111	2887	0.00339694008422336	2	10	GO:0060306;GO:0061337;GO:0086001;GO:0086002;GO:0086091;GO:0086014	0.0990315145274486
cell surface receptor signaling pathway	-371	1.25690766873044e-05	2	938	GO:0007166	0.000919427959676317	338	0.000404523078592494	2	1192	GO:0007166	0.0229655558302686
cGMP metabolic process	-1965	0.00558390358334824	4	12	GO:0046068	0.0765517645696375	2158	0.00254668665496996	6	19	GO:0046068	0.0807948825047332
chromosome organization	-343	0.00667906033149603	2	394	GO:0051276	0.0847710005373561	-474	0.00101243890396824	3	488	GO:0051276	0.0439736076122538
neuropeptide signaling pathway	-601	0.00704316343083073	5	123	GO:0007218	0.0880696418744048	990	5.93115879282677e-05	2	162	GO:0007218	0.00518735941988849
nucleoside monophosphate biosynthetic process	1494	6.81557430778265e-05	6	43	GO:0009168;GO:0009127;GO:0009156;GO:0009124	0.00356113757581643	-1390	0.00164610850707427	5	50	GO:0009156;GO:0009124	0.0594682057962298
regulation of actin filament depolymerization	-1559	0.00187807009307472	6	24	GO:0030834;GO:0030835	0.0392516649452616	2434	6.91600216722296e-05	4	26	GO:0030834;GO:0030835	0.00573850846490603
regulation of cell proliferation	-375	0.00289864571577345	4	399	GO:0042127	0.0509773891434257	424	0.0030149485741041	3	498	GO:0042127	0.0911810615495408
regulation of localization	-373	0.000260146596844784	2	623	GO:0032879	0.0104272457858608	511	1.49192873696631e-05	2	749	GO:0032879	0.00185687745877807
regulation of metal ion transport	-938	0.00599490914142599	3	52	GO:0010959	0.0798017528178576	1161	0.00236106489503572	2	67	GO:0010959	0.077175818185208
regulation of multicellular organismal process	-356	0.000147477055988819	2	753	GO:0051239	0.00653814948217098	343	0.00144881169274955	2	911	GO:0051239	0.0553400234689258
regulation of protein complex disassembly	-1289	0.000917950735558958	3	40	GO:0043244	0.0246415032316102	1460	0.00215823705256814	2	43	GO:0043244	0.0735163694959
regulation of protein depolymerization	-1298	0.00208189840791201	2	34	GO:1901879;GO:1901880;GO:0043242	0.0411596941996658	1780	0.000520866638933843	3	37	GO:1901879;GO:1901880;GO:0043242	0.026754356247459
regulation of transport	-332	0.00551312005329973	3	443	GO:0051049	0.076452081876564	470	0.000655322818721244	3	537	GO:0051049	0.0326249944827992
response to mechanical stimulus	-852	0.000408963592171837	2	105	GO:0009612	0.0139142729150558	1224	9.17954552882862e-06	3	129	GO:0009612	0.00141452425387092
tRNA aminoacylation for protein translation	-2259	1.03957977035022e-05	5	23	GO:0006418;GO:0043039;GO:0043038	0.000779951386678139	-3855	1.39301175210737e-09	7	24	GO:0006418;GO:0043039;GO:0043038	1.19096953829463e-06
