name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
actin filament capping	-1922	0.00150547783332585	4	14	GO:0051693	0.0486425079250456	2476	0.000753737956270095	2	18	GO:0051693	0.0353492177752178
anatomical structure morphogenesis	-332	0.000940210098885977	2	548	GO:0009653	0.036204528602308	386	0.00123688578121586	2	728	GO:0009653	0.0500320298501815
chromosome organization	-494	4.11956610212207e-05	2	371	GO:0051276	0.00373551623002101	-474	0.00101243890396824	3	488	GO:0051276	0.0439736076122538
establishment of localization in cell	-342	0.000254038037718813	2	640	GO:0046907;GO:0051649	0.0145734882454609	-405	0.000487758162940369	2	777	GO:0051649	0.0258733114721879
oxidation-reduction process	361	0.000221899864349464	3	580	GO:0055114	0.0133836421536293	479	2.89270749681932e-05	3	797	GO:0055114	0.00312026715323577
protein folding	1124	1.02467428139813e-06	2	98	GO:0006457	0.000169432906177067	-1488	2.76102469098304e-07	2	117	GO:0006457	6.38191135715794e-05
proteolysis	757	4.2417362490709e-16	3	644	GO:0006508	6.47489654102238e-13	-564	1.88817705084143e-07	3	903	GO:0006508	5.09178411376906e-05
regulation of stem cell differentiation	1199	0.00130969307724814	2	37	GO:2000736	0.0443559908451147	1499	0.00112578467357253	2	46	GO:2000736	0.0473121974503988
sodium ion transport	855	0.00303875024996863	2	62	GO:0006814	0.0854192695266182	1242	9.23622145721573e-05	6	97	GO:0006814	0.00728985674037807
translation	921	1.47491250245492e-08	3	199	GO:0006412	4.60664338266753e-06	-872	4.26477010553854e-05	2	218	GO:0006412	0.00394308458900649
translational initiation	967	0.00194608477227788	3	53	GO:0006413	0.0588219816653024	-1852	1.09324654715896e-05	3	55	GO:0006413	0.00160806628482109
tRNA aminoacylation for protein translation	-1735	0.000241955975117963	8	23	GO:0006418;GO:0043039;GO:0043038	0.0141695467928457	-3855	1.39301175210737e-09	7	24	GO:0006418;GO:0043039;GO:0043038	1.19096953829463e-06
tRNA metabolic process	-984	0.00043842621104933	2	66	GO:0006399	0.0205402679876611	-1481	1.26233903387632e-05	3	85	GO:0006399	0.00163397164544951
