name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
aminoglycan catabolic process	-1449	0.00362988809851317	2	37	GO:0006026	0.0924968807271835	1460	0.00227041882668228	3	33	GO:0006026	0.044695232158598
anatomical structure morphogenesis	418	0.000409698630918041	2	702	GO:0009653	0.0261633545704261	-524	2.46491113944459e-06	2	653	GO:0009653	0.00036046390996354
calcium ion transmembrane transport	-780	0.00323025268434314	2	132	GO:0070588	0.0859534389619937	-834	0.000806451407549249	2	123	GO:0070588	0.0219169227662278
cell projection organization	511	0.000773300631195403	3	412	GO:0030030	0.0404778510722446	-870	8.89095166559369e-10	2	389	GO:0030030	6.82602814125956e-07
cellular component assembly involved in morphogenesis	1157	1.4524907264918e-05	2	130	GO:0010927	0.00178377034218781	-806	0.000411518549532185	3	147	GO:0010927;GO:0030031	0.0135889619958424
cilium organization	1124	0.000557367701161923	2	87	GO:0042384;GO:0044782	0.0323577285420004	-1091	0.00033387313648883	2	82	GO:0042384;GO:0044782	0.0118067265461406
cofactor metabolic process	1012	4.20795395247629e-05	4	152	GO:0006732;GO:0051186	0.00447866565675227	877	0.000156407103634506	2	142	GO:0006732;GO:0051186	0.007505097113462
covalent chromatin modification	804	0.000405835574004741	2	180	GO:0016569;GO:0016570	0.0261633545704261	-624	0.0033679795860797	6	169	GO:0016569;GO:0016570	0.056519482562026
cytoskeleton organization	893	1.43493323120931e-07	3	328	GO:0007010	3.81811817270944e-05	-623	8.29910565928552e-05	3	310	GO:0007010	0.00499736342738546
intracellular signal transduction	398	0.00159606282668042	4	610	GO:0035556	0.0608165777735448	-474	5.70659683228204e-05	2	578	GO:0035556	0.00427438021266784
microtubule-based process	491	0.00313708879893921	3	343	GO:0007017	0.0859534389619937	-627	5.32021751477741e-05	3	324	GO:0007017	0.00408459699697036
modification of morphology or physiology of other organism	-1267	0.00259295511826836	2	52	GO:0035821	0.0781066574776497	1229	0.00270543173019222	2	45	GO:0035821	0.0482024860498801
monosaccharide metabolic process	916	0.0028405252898653	4	98	GO:0005996;GO:0019318	0.0817098851399991	825	0.0045009194455113	2	90	GO:0005996;GO:0019318	0.0667745102278512
negative regulation of biosynthetic process	707	2.69007527560338e-07	4	509	GO:0010629;GO:2000113;GO:0010558;GO:0031327;GO:0009890	5.72627357000106e-05	-347	0.00689835528486017	2	479	GO:0010629;GO:2000113;GO:0010558;GO:0031327;GO:0009890	0.0871804488880888
negative regulation of coagulation	-2002	0.00244582480738248	2	21	GO:0030195;GO:0050819;GO:1900047;GO:0042730	0.0769719334207072	1657	0.0069600888015098	2	20	GO:0030195;GO:0050819;GO:1900047;GO:0042730	0.087600134055068
negative regulation of metabolic process	718	1.94902905342238e-09	3	683	GO:0010605;GO:0009892;GO:0031324	1.24464995351553e-06	-467	3.37808495274832e-05	5	637	GO:0010605;GO:0031324;GO:0009892	0.00324190590309065
negative regulation of protein metabolic process	624	0.00180872447214211	3	234	GO:0032269;GO:0051248	0.0648905307814579	-728	0.000108017817811305	6	218	GO:0032269;GO:0051248	0.00581969681576347
oxidation-reduction process	677	1.87129785823558e-09	2	779	GO:0055114	1.24464995351553e-06	844	5.02200995951985e-15	3	699	GO:0055114	1.54225925856855e-11
peptidyl-amino acid modification	489	0.00115117648782834	2	421	GO:0018193	0.0483645595478407	-488	0.000476088483064616	3	402	GO:0018193	0.0150728632112519
peptidyl-lysine modification	1032	0.000926642062795084	7	95	GO:0018205	0.0423939568712246	-885	0.00197266614799361	2	93	GO:0018205	0.0409328225708674
primary alcohol metabolic process	1773	0.00341272858642025	2	25	GO:0034308	0.0885922144426005	1695	0.00203460475880331	4	25	GO:0034308	0.0416551414285664
regulation of catabolic process	483	0.00170470468636339	2	402	GO:0009894;GO:0031329	0.0623746175201316	-528	0.000255506049693798	4	376	GO:0009894;GO:0031329	0.0096871491186377
regulation of cell cycle	425	0.00380306493042784	4	442	GO:0051726	0.094133227308962	-446	0.00126628695840488	2	411	GO:0051726	0.0298996722174552
regulation of chromatin organization	1670	0.000303208967548226	2	43	GO:0031056;GO:1902275	0.0230511007947973	-1367	0.0014580044476245	3	41	GO:0031056;GO:1902275	0.033166901175221
regulation of cyclic nucleotide metabolic process	-1250	6.04956463348852e-05	2	95	GO:0030799;GO:0030814	0.00603633121085276	-1236	3.93767026968078e-05	4	84	GO:0030799;GO:0030814	0.00354594150849894
regulation of intracellular protein transport	1109	0.000945890183876813	3	82	GO:0033157	0.0423939568712246	-838	0.00760532440104224	3	77	GO:0033157	0.0920761234999867
