name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
anatomical structure morphogenesis	418	0.000409698630918041	2	702	GO:0009653	0.0261633545704261	-332	0.000940210098885977	2	548	GO:0009653	0.036204528602308
cell projection assembly	1455	1.12815704263318e-07	2	123	GO:0030031	3.60220543712774e-05	-1031	2.58011620779275e-07	2	130	GO:0030031;GO:0010927	4.83513777340361e-05
cell projection organization	511	0.000773300631195403	3	412	GO:0030030	0.0404778510722446	-891	8.94935442227964e-13	3	345	GO:0030030	8.38554509367602e-10
cell redox homeostasis	-2134	1.8120477362647e-07	2	55	GO:0045454	4.45066801684091e-05	1272	0.000281727364570386	2	42	GO:0045454	0.015555545728096
chromatin organization	479	0.00414255825737097	3	339	GO:0006325;GO:0016568	0.0972587390866581	-531	0.000163108735647447	2	267	GO:0006325;GO:0016568	0.0104618578706215
cilium organization	1124	0.000557367701161923	2	87	GO:0042384;GO:0044782	0.0323577285420004	-1109	3.95178709132654e-05	2	71	GO:0042384;GO:0044782	0.00370282450457297
covalent chromatin modification	804	0.000405835574004741	2	180	GO:0016569;GO:0016570	0.0261633545704261	-622	0.000936236253118053	5	148	GO:0016569;GO:0016570	0.036204528602308
cytokinesis	1071	0.00386791345584567	4	67	GO:0000910	0.0944939880426844	-1051	0.000381841578353991	4	59	GO:0000910	0.0185061495991908
cytoskeleton organization	893	1.43493323120931e-07	3	328	GO:0007010	3.81811817270944e-05	-732	1.24029264912322e-07	2	277	GO:0007010	2.68189433591182e-05
digestion	-1804	0.000354125585442209	3	36	GO:0007586	0.0241815006186955	1933	4.44275201697465e-06	3	29	GO:0007586	0.000577591589817597
extracellular matrix disassembly	-1447	0.000511030468380232	4	53	GO:0022617	0.0310895984458942	1314	0.000356418877551876	3	38	GO:0022617	0.0178150862914739
intracellular signal transduction	398	0.00159606282668042	4	610	GO:0035556	0.0608165777735448	-401	0.000143710483541232	3	490	GO:0035556	0.00961833736272389
microtubule cytoskeleton organization	852	0.00066409980843828	2	148	GO:0000226	0.0372012401463759	-873	1.49104245422524e-05	2	128	GO:0000226	0.00172863389977581
microtubule-based process	491	0.00313708879893921	3	343	GO:0007017	0.0859534389619937	-952	2.11174251407846e-12	3	290	GO:0007017	1.48402705176864e-09
modification of morphology or physiology of other organism	-1267	0.00259295511826836	2	52	GO:0035821	0.0781066574776497	1374	0.000338784230995034	2	35	GO:0035821	0.0173149540604916
negative regulation of coagulation	-2002	0.00244582480738248	2	21	GO:0030195;GO:0050819;GO:1900047;GO:0042730	0.0769719334207072	2829	1.32442877174819e-06	3	15	GO:0030195;GO:0050819;GO:1900047;GO:0042730	0.000186148463869208
negative regulation of metabolic process	718	1.94902905342238e-09	3	683	GO:0010605;GO:0009892;GO:0031324	1.24464995351553e-06	-327	0.00109399582718819	2	551	GO:0010605;GO:0031324;GO:0009892	0.0389895817436416
organelle assembly	938	0.000103511967605379	4	159	GO:0070925	0.00944324893039929	-615	0.00189913357763379	3	133	GO:0070925	0.0586644449091053
organic cyclic compound catabolic process	396	0.00139804669165408	2	633	GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361	0.0565058618538162	-356	0.000766524923330229	2	487	GO:0019439;GO:1901361;GO:0044270;GO:0046700;GO:0034655	0.0321263357426132
oxidation-reduction process	677	1.87129785823558e-09	2	779	GO:0055114	1.24464995351553e-06	361	0.000221899864349464	3	580	GO:0055114	0.0133836421536293
proteolysis	-658	6.2887396452032e-10	3	881	GO:0006508	6.69331522904461e-07	757	4.2417362490709e-16	3	644	GO:0006508	6.47489654102238e-13
regulation of catabolic process	483	0.00170470468636339	2	402	GO:0009894;GO:0031329	0.0623746175201316	-408	0.00129932754555139	4	332	GO:0009894;GO:0031329	0.0443559908451147
regulation of cell cycle	425	0.00380306493042784	4	442	GO:0051726	0.094133227308962	-569	4.63711203417058e-06	2	348	GO:0051726	0.000577591589817597
regulation of chromosome organization	1176	0.00118193294992837	3	70	GO:0033044	0.0490118429756011	-980	0.00138138640943179	2	55	GO:0033044	0.0456832611401501
regulation of intracellular protein transport	1109	0.000945890183876813	3	82	GO:0033157	0.0423939568712246	-881	0.00109575843391949	2	71	GO:0033157	0.0389895817436416
regulation of intracellular transport	1206	8.62875240145853e-06	2	126	GO:0032386	0.00125234574626623	-759	0.000504794836718497	2	109	GO:0032386	0.0223471297639278
regulation of nucleocytoplasmic transport	1332	0.000216217689311412	2	71	GO:0042306;GO:0046822;GO:1900180	0.0172595770492835	-914	0.00200728526361813	4	59	GO:0042306;GO:0046822;GO:1900180	0.0600263710216017
