name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
cofactor metabolic process	1012	4.20795395247629e-05	4	152	GO:0006732;GO:0051186	0.00447866565675227	827	0.000526495617155094	3	144	GO:0006732;GO:0051186	0.0261827106118557
DNA integration	-1105	4.36772222367788e-09	3	265	GO:0015074	2.32435617670058e-06	-609	0.00156368800082881	2	223	GO:0015074	0.0499901480264965
establishment of planar polarity of embryonic epithelium	-2500	0.00289477545395751	2	13	GO:0033690;GO:0042249;GO:0043932;GO:0090177	0.0817966196857197	-2630	0.000849869478189628	4	13	GO:0033690;GO:0042249;GO:0043932;GO:0090177	0.0355881544665914
establishment of protein localization	354	0.00281743269576194	2	696	GO:0045184;GO:0015031	0.0817098851399991	-321	0.00457365841896696	2	676	GO:0045184;GO:0015031	0.0955284788441566
monosaccharide metabolic process	916	0.0028405252898653	4	98	GO:0005996;GO:0019318	0.0817098851399991	1334	5.21295097039068e-06	4	95	GO:0005996;GO:0019318	0.0010983043491288
nucleic acid phosphodiester bond hydrolysis	-688	4.72395273322949e-05	2	330	GO:0090305	0.00486567131522637	-562	0.00093505446315349	2	288	GO:0090305	0.0377146687407782
ossification	-1357	0.0003462134548414	3	64	GO:0001503	0.0241815006186955	-1284	0.000536603082234221	3	59	GO:0001503	0.0262683977599971
oxidation-reduction process	677	1.87129785823558e-09	2	779	GO:0055114	1.24464995351553e-06	1011	1.84113938832533e-20	3	733	GO:0055114	5.76828970362326e-17
oxidoreduction coenzyme metabolic process	1605	0.00171906243087115	2	35	GO:0006733	0.0623746175201316	2029	3.20591240810655e-05	5	34	GO:0006733	0.00418505148941576
peptidyl-proline modification	1388	0.00422452463200047	2	39	GO:0018208	0.098459176277208	1867	4.18894130519686e-05	3	39	GO:0018208	0.00500790547236324
positive regulation of blood coagulation	-2293	0.00334841048470143	3	15	GO:0030194;GO:0050820;GO:1900048	0.0876350383414071	-2834	0.000191786800589384	3	14	GO:0030194;GO:0050820;GO:1900048	0.0136560919601486
protein hydroxylation	2084	0.00270068136075386	2	19	GO:0018126	0.0791126200448355	1931	0.00308073296307097	6	19	GO:0018126	0.0752174855581129
proteolysis	-658	6.2887396452032e-10	3	881	GO:0006508	6.69331522904461e-07	-494	1.7667625280921e-06	3	823	GO:0006508	0.000425789769270196
regulation of cell division	1112	0.000736236986673917	2	85	GO:0051302	0.0392320117867108	1170	0.000291836719387279	2	78	GO:0051302	0.0163272221757204
regulation of cyclic nucleotide metabolic process	-1250	6.04956463348852e-05	2	95	GO:0030799;GO:0030814	0.00603633121085276	-906	0.00304614160003354	2	87	GO:0030799;GO:0030814	0.0752174855581129
response to biotic stimulus	-604	0.00161087307326462	2	256	GO:0009607;GO:0043207	0.0608165777735448	-751	5.65021301718858e-05	2	238	GO:0043207;GO:0009607	0.00610417840787994
response to other organism	-660	0.00401435989630118	2	177	GO:0051707	0.0949470455473309	-962	1.91498081438198e-05	2	162	GO:0051707	0.00315770257445197
RNA-dependent DNA replication	-1471	2.58624224874562e-19	2	353	GO:0006278	8.25787150024476e-16	-827	8.4919569806779e-07	2	295	GO:0006278	0.000221710843503865
single-organism biosynthetic process	368	0.00325723962242444	2	620	GO:0044711	0.0859534389619937	513	2.41497643836644e-05	2	582	GO:0044711	0.00349630411517102
small molecule catabolic process	800	0.000834067205927168	2	162	GO:0046395;GO:0016054;GO:0044282	0.0416121341957101	853	0.000218733479081879	3	154	GO:0046395;GO:0016054;GO:0044282	0.0139855508155822
steroid biosynthetic process	1568	3.56431088135461e-05	2	64	GO:0006694	0.0039244291876432	1246	0.000709033215815229	2	60	GO:0006694	0.0312873389457621
steroid metabolic process	814	0.00267003794147596	3	126	GO:0008202	0.0789391772882661	851	0.00116778348008288	3	119	GO:0008202	0.0435791653630863
translation	-1167	2.15788056664204e-08	5	215	GO:0006412	9.84301807041148e-06	-1389	1.91480306412944e-12	4	212	GO:0006412	2.99953899995877e-09
tRNA aminoacylation for protein translation	-2737	9.52556164192274e-06	6	24	GO:0006418;GO:0043039;GO:0043038	0.00132239644881127	-3262	3.77256244585843e-08	4	23	GO:0006418;GO:0043039;GO:0043038	1.96990635714574e-05
trypsinogen activation	2827	0.0031356246197139	2	10	GO:0006931;GO:0032023	0.0859534389619937	3264	0.00028130106208946	2	10	GO:0006931;GO:0032023	0.0160239314095687
