name	delta.rank.x	pval.x	level.x	nseqs.x	term.x	p.adj.x	delta.rank.y	pval.y	level.y	nseqs.y	term.y	p.adj.y
actin filament-based process	982	6.70479816782655e-05	3	153	GO:0030029;GO:0030036	0.00648740016662733	922	0.000211579894788952	3	159	GO:0030029;GO:0030036	0.013693450790741
anatomical structure morphogenesis	418	0.000409698630918041	2	702	GO:0009653	0.0261633545704261	386	0.00123688578121586	2	728	GO:0009653	0.0500320298501815
cation transport	-489	0.000324631642633193	2	520	GO:0006812	0.0241057868587857	783	1.36153471900237e-08	4	537	GO:0006812	6.2941805009881e-06
cell communication	-529	0.00257315513188555	3	306	GO:0007154	0.0781066574776497	672	0.000150017367628629	2	318	GO:0007154	0.0103297326287292
cellular response to DNA damage stimulus	445	0.00317980954096885	2	419	GO:0006974;GO:0006281	0.0859534389619937	-521	0.000693503719853602	3	428	GO:0006974;GO:0006281	0.0337151162013409
DNA integration	-1105	4.36772222367788e-09	3	265	GO:0015074	2.32435617670058e-06	-740	6.72521568123425e-05	2	289	GO:0015074	0.00572705209065106
DNA metabolic process	-458	7.32795320470341e-06	2	966	GO:0006259	0.00111419783726752	-767	6.15714130500364e-14	2	1028	GO:0006259	1.99245092629918e-10
DNA replication	-1102	2.91748550458086e-15	5	493	GO:0006260	4.65776560806334e-12	-979	1.1161513619103e-12	2	540	GO:0006260	1.80593290357087e-09
establishment of protein localization	354	0.00281743269576194	2	696	GO:0045184;GO:0015031	0.0817098851399991	-650	8.36122537141911e-08	2	706	GO:0045184;GO:0015031	2.70569253019122e-05
G-protein coupled receptor signaling pathway	-652	6.42545375698565e-06	2	458	GO:0007186	0.00106223757324146	626	1.80376300549298e-05	5	477	GO:0007186	0.00216184336510196
intracellular protein transport	576	0.00150823988093778	2	285	GO:0006886	0.0587293895101748	-763	4.2537312468218e-05	2	287	GO:0006886	0.00394308458900649
ion transmembrane transport	-646	6.65353945030664e-06	3	466	GO:0034220	0.00106223757324146	872	2.2234162396422e-09	2	478	GO:0034220	1.43899499029643e-06
metal ion transport	-504	0.00146005835307216	2	379	GO:0030001	0.0575551397698692	967	1.47215023274985e-09	2	394	GO:0030001	1.19096953829463e-06
mRNA metabolic process	885	2.16745603542346e-07	2	324	GO:0006397;GO:0016071	4.94334794364793e-05	-609	0.000464861275845584	2	331	GO:0006397;GO:0016071	0.0250715181439385
multicellular organismal development	571	8.31261985659219e-07	3	732	GO:0007275	0.000165888720013118	514	1.20686653846869e-05	3	755	GO:0007275	0.00162725838270195
nucleic acid phosphodiester bond hydrolysis	-688	4.72395273322949e-05	2	330	GO:0090305	0.00486567131522637	-692	3.82602850850949e-05	2	355	GO:0090305	0.00375182674349597
oxidation-reduction process	677	1.87129785823558e-09	2	779	GO:0055114	1.24464995351553e-06	479	2.89270749681932e-05	3	797	GO:0055114	0.00312026715323577
potassium ion transport	-1114	0.000265621068049193	3	99	GO:0006813;GO:0071804;GO:0071805	0.0206860504946603	1493	9.10270806106076e-07	2	106	GO:0006813;GO:0071804;GO:0071805	0.000173272725209368
protein hydroxylation	2084	0.00270068136075386	2	19	GO:0018126	0.0791126200448355	2250	0.00165393650236733	4	19	GO:0018126	0.0594682057962298
proteolysis	-658	6.2887396452032e-10	3	881	GO:0006508	6.69331522904461e-07	-564	1.88817705084143e-07	3	903	GO:0006508	5.09178411376906e-05
regulation of ion transport	-654	0.00245307063593114	2	200	GO:0043269	0.0769719334207072	1151	1.51202144137639e-07	4	206	GO:0043269	4.44809216754e-05
RNA processing	778	1.0652804397365e-07	2	446	GO:0006396	3.60220543712774e-05	-528	0.000397334405628984	2	456	GO:0006396	0.0229602524395606
RNA-dependent DNA replication	-1471	2.58624224874562e-19	2	353	GO:0006278	8.25787150024476e-16	-875	3.8892662896141e-08	2	397	GO:0006278	1.39840730146569e-05
single organism signaling	-658	0.00145659537605222	3	219	GO:0007267;GO:0044700;GO:0023052	0.0575551397698692	889	2.08035991971648e-05	3	227	GO:0007267;GO:0044700;GO:0023052	0.00240430167864376
system process	-414	0.00287930417384455	3	498	GO:0003008	0.0817966196857197	618	1.1467656389823e-05	2	514	GO:0003008	0.00161344939467249
translation	-1167	2.15788056664204e-08	5	215	GO:0006412	9.84301807041148e-06	-872	4.26477010553854e-05	2	218	GO:0006412	0.00394308458900649
tRNA aminoacylation for protein translation	-2737	9.52556164192274e-06	6	24	GO:0006418;GO:0043039;GO:0043038	0.00132239644881127	-3855	1.39301175210737e-09	7	24	GO:0006418;GO:0043039;GO:0043038	1.19096953829463e-06
