Query	Hit_Accession	Hit_Description
AIPGENE1	sp|O05083|Y1698_HAEIN	Uncharacterized glycosyltransferase HI_1698 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=HI_1698 PE=3 SV=1
AIPGENE2	gi|554886995|ref|XP_005953050.1|	PREDICTED: uncharacterized protein LOC102307237 [Haplochromis burtoni]
AIPGENE3		
AIPGENE4		
AIPGENE5	tr|H2ZWF0|H2ZWF0_LATCH	Uncharacterized protein (Fragment) OS=Latimeria chalumnae PE=4 SV=1
AIPGENE6		
AIPGENE7	sp|Q3T0J1|FBX4_BOVIN	F-box only protein 4 OS=Bos taurus GN=FBXO4 PE=2 SV=1
AIPGENE8	sp|Q57997|Y577_METJA	Universal stress protein MJ0577 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) GN=MJ0577 PE=1 SV=1
AIPGENE9	sp|P42297|YXIE_BACSU	Universal stress protein YxiE OS=Bacillus subtilis (strain 168) GN=yxiE PE=3 SV=1
AIPGENE10	sp|O35459|ECH1_MOUSE	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Ech1 PE=1 SV=1
AIPGENE11	sp|Q8N884|CGAS_HUMAN	Cyclic GMP-AMP synthase OS=Homo sapiens GN=MB21D1 PE=1 SV=2
AIPGENE12	sp|Q9ASR4|BCAL2_ARATH	Branched-chain-amino-acid aminotransferase-like protein 2 OS=Arabidopsis thaliana GN=At5g27410 PE=2 SV=1
AIPGENE13	sp|Q9UNH5|CC14A_HUMAN	Dual specificity protein phosphatase CDC14A OS=Homo sapiens GN=CDC14A PE=1 SV=1
AIPGENE14	tr|A7S145|A7S145_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g242112 PE=4 SV=1
AIPGENE15		
AIPGENE16	sp|Q9Y672|ALG6_HUMAN	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase OS=Homo sapiens GN=ALG6 PE=1 SV=1
AIPGENE17		
AIPGENE18	sp|P17972|KCNAW_DROME	Potassium voltage-gated channel protein Shaw OS=Drosophila melanogaster GN=Shaw PE=2 SV=1
AIPGENE19	sp|Q93149|ACR3_CAEEL	Acetylcholine receptor subunit beta-type acr-3 OS=Caenorhabditis elegans GN=acr-3 PE=2 SV=1
AIPGENE20	sp|Q9VXX8|RL371_DROME	Probable 60S ribosomal protein L37-A OS=Drosophila melanogaster GN=RpL37a PE=1 SV=1
AIPGENE21		
AIPGENE22	sp|Q9N5Y2|TECR_CAEEL	Probable very-long-chain enoyl-CoA reductase art-1 OS=Caenorhabditis elegans GN=art-1 PE=3 SV=1
AIPGENE23	sp|P20420|ACHA5_RAT	Neuronal acetylcholine receptor subunit alpha-5 OS=Rattus norvegicus GN=Chrna5 PE=2 SV=1
AIPGENE24		
AIPGENE25	tr|A7SDI5|A7SDI5_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g114326 PE=4 SV=1
AIPGENE26	sp|P04757|ACHA3_RAT	Neuronal acetylcholine receptor subunit alpha-3 OS=Rattus norvegicus GN=Chrna3 PE=1 SV=1
AIPGENE27	sp|Q8C456|FRITZ_MOUSE	WD repeat-containing and planar cell polarity effector protein fritz homolog OS=Mus musculus GN=Wdpcp PE=2 SV=1
AIPGENE28		
AIPGENE29	sp|Q99MU5|SPAT6_RAT	Spermatogenesis-associated protein 6 OS=Rattus norvegicus GN=Spata6 PE=2 SV=2
AIPGENE30	sp|Q9M571|PEAMT_SPIOL	Phosphoethanolamine N-methyltransferase OS=Spinacia oleracea GN=PEAMT PE=1 SV=1
AIPGENE31	sp|Q2KJ97|NCDN_BOVIN	Neurochondrin OS=Bos taurus GN=NCDN PE=2 SV=1
AIPGENE32		
AIPGENE33		
AIPGENE34	sp|Q5R806|PTGR2_PONAB	Prostaglandin reductase 2 OS=Pongo abelii GN=PTGR2 PE=2 SV=2
